Player,Team,PA,YdA,TD,Sack,Int,Fum Rec,Saf,Blk
Arizona Cardinals,ARI,18.8,303.0,0.11,2.4,0.8,0.5,0.06,0.0
Atlanta Falcons,ATL,20.4,325.0,0.1,1.9,0.7,0.4,0.0,0.0
Baltimore Ravens,BAL,22.41,354.0,0.1,1.86,0.8,0.5,0.02,0.0
Buffalo Bills,BUF,24.0,304.0,0.11,1.7,0.5,0.3,0.0,0.0
Carolina Panthers,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chicago Bears,CHI,19.2,338.0,0.16999999999999998,2.18,0.8,0.6,0.0,0.07
Cincinnati Bengals,CIN,23.32,342.0,0.1,1.5,0.6,0.3,0.0,0.07
Cleveland Browns,CLE,21.5,333.0,0.1,1.8,0.8,0.6,0.0,0.0
Dallas Cowboys,DAL,20.61,347.0,0.0,2.24,0.6,0.57,0.0,0.0
Denver Broncos,DEN,22.41,352.0,0.15000000000000002,2.03,0.4,0.4,0.0,0.1
Detroit Lions,DET,22.5,312.0,0.1,1.8,0.8,0.4,0.0,0.09
Green Bay Packers,GB,17.3,302.0,0.11,3.0,0.8,0.4,0.0,0.0
Houston Texans,HOU,22.95,320.0,0.1,2.34,0.7,0.5,0.03,0.0
Indianapolis Colts,IND,21.47,367.0,0.1,2.5,1.0,0.5,0.0,0.0
Jacksonville Jaguars,JAX,14.6,259.0,0.14,2.68,1.03,0.5,0.0,0.0
Kansas City Chiefs,KC,21.81,363.2,0.15000000000000002,1.7,0.8,0.5,0.0,0.0
Los Angeles Chargers,LAC,17.2,304.0,0.11,2.57,0.9,0.4,0.0,0.0
Los Angeles Rams,LAR,19.5,353.0,0.11,2.2,0.8,0.4,0.0,0.0
Miami Dolphins,MIA,25.36,353.0,0.1,1.5,0.5,0.37,0.0,0.0
Minnesota Vikings,MIN,24.59,346.0,0.1,1.9,0.7,0.4,0.07,0.0
New England Patriots,NE,17.7,364.0,0.1,2.2,0.8,0.4,0.0,0.1
New Orleans Saints,NO,19.9,350.0,0.11,2.15,0.8,0.5,0.0,0.0
New York Giants,NYG,25.03,409.676192483088,0.11,0.9,0.7,0.4,0.0,0.07
New York Jets,NYJ,23.6,323.0,0.1,1.5,0.72,0.5,0.0,0.0
Oakland Raiders,OAK,20.3,340.0,0.1,2.1,0.7,0.4,0.0,0.0
Philadelphia Eagles,PHI,19.0,293.2,0.11,1.9,0.9,0.5,0.0,0.09
Pittsburgh Steelers,PIT,23.8,338.0,0.12,2.28,0.8,0.5,0.0,0.09
San Francisco 49ers,SF,24.51,381.0,0.1,1.3,0.6,0.4,0.0,0.0
Seattle Seahawks,SEA,14.7,266.0,0.12,2.37,0.9,0.4,0.0,0.09
Tampa Bay Buccaneers,TB,20.4,323.0,0.13,2.2,0.7,0.5,0.0,0.1
Tennessee Titans,TEN,22.0,340.0,0.12,2.1,0.7,0.5,0.0,0.07
Washington Redskins,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
