Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Blk,Return Yds,PA,Pts Allow 0,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,YdA,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
San Francisco 49ers,SF,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,96.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,368.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,42.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,311.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,495.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Buffalo Bills,BUF,1.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,36.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,423.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,446.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,98.0,39.0,0.0,0.0,0.0,0.0,0.0,1.0,565.0,0.0,0.0,0.0,0.0,0.0,1.0,DST
Tampa Bay Buccaneers,TB,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,48.0,0.0,0.0,0.0,0.0,0.0,1.0,483.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Arizona Cardinals,ARI,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,55.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,331.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,82.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,364.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,385.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Indianapolis Colts,IND,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,51.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,466.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Dallas Cowboys,DAL,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,382.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,64.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,449.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,42.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,397.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,95.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,407.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
New York Giants,NYG,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,389.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,178.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,47.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,503.0,0.0,0.0,0.0,0.0,0.0,1.0,DST
Detroit Lions,DET,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,23.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,414.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,145.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
New England Patriots,NE,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,45.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,172.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,98.0,42.0,0.0,0.0,0.0,0.0,0.0,1.0,487.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Los Angeles Rams,LAR,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,57.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,446.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,61.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,284.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,32.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,299.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,104.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,263.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,83.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,451.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Houston Texans,HOU,1.0,4.0,0.0,2.0,2.0,0.0,1.0,0.0,89.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,478.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Tennessee Titans,TEN,1.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,8.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,432.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,556.0,0.0,0.0,0.0,0.0,0.0,1.0,DST
