Player,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,2PT
AJ McCarron,OAK,7.23,0.03,0.05,0.2950266449543884,0.0,0.0,0.0,0.0,0.03
Aaron Rodgers,GB,280.0,3.0,0.75,17.8,0.2,0.0,0.0,0.0,0.1
Andrew Luck,IND,288.0,2.0,1.0,19.1,0.1,0.0,0.0,0.0,0.09
Andy Dalton,CIN,280.0,2.0,1.0,10.4,0.1,0.0,0.0,0.0,0.0
Austin Davis,TEN,7.19,0.02,0.04,0.13,0.01,0.0,0.0,0.0,0.03
Baker Mayfield,CLE,273.0,2.0,0.91,20.0,0.2,0.0,0.0,0.0,0.09
Ben Roethlisberger,PIT,320.0,2.1,1.5,9.0,0.1,0.0,0.0,0.0,0.19
Blake Bortles,JAX,240.0,1.6,1.0,30.0,0.2,0.0,0.0,0.0,0.16
Brett Hundley,SEA,15.99,0.06,0.12,0.5938306128476282,0.01,0.0,0.0,0.0,0.03
Brian Hoyer,NE,7.5448513209922226,0.03,0.06,0.4425399674315826,0.01,0.0,0.0,0.0,0.01
Brock Osweiler,MIA,16.42,0.06,0.09,0.11619242858930455,0.01,0.0,0.0,0.0,0.06
C.J. Beathard,SF,246.8,1.1,1.4,31.89,0.3,0.0,0.0,0.0,0.07
Carson Wentz,PHI,263.0,2.0,1.0,18.71,0.13,0.0,0.0,0.0,0.22
Case Keenum,DEN,279.0,2.0,1.1,11.5,0.1,0.0,0.0,0.0,0.03
Chad Henne,KC,11.03,0.03,0.05,0.1521300505135674,0.0,0.0,0.0,0.0,0.02
Chad Kelly,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
Chase Daniel,CHI,9.56,0.03,0.05,0.14751332247719437,0.01,0.0,0.0,0.0,0.02
Cody Kessler,JAX,14.55,0.04,0.06,0.14751332247719437,0.01,0.0,0.0,0.0,0.03
Cooper Rush,DAL,7.82,0.03,0.06,0.7405045302273007,0.01,0.0,0.0,0.0,0.03
Dak Prescott,DAL,215.7,1.5,0.8,25.6,0.3,0.0,0.0,0.0,0.07
DeShone Kizer,GB,29.76,0.08,0.16,0.9766667103447595,0.02,0.0,0.0,0.0,0.03
Derek Carr,OAK,265.0,2.0,1.0,5.68,0.1,0.0,0.0,0.0,0.16
Deshaun Watson,HOU,282.0,2.0,1.3,37.0,0.3,0.0,0.0,0.0,0.16
Drew Brees,NO,330.0,3.0,1.0,3.96,0.2,0.0,0.0,0.0,0.06
Eli Manning,NYG,294.0,2.0,2.0,5.0,0.1,0.0,0.0,0.0,0.0
Geno Smith,LAC,12.55,0.04,0.04,0.2988039678932391,0.01,0.0,0.0,0.0,0.03
Jacoby Brissett,IND,13.94,0.1,0.05,0.606500558293755,0.01,0.0,0.0,0.0,0.03
Jameis Winston,TB,29.58,0.1,0.11,1.2,0.01,0.0,0.0,0.0,0.04
Jared Goff,LAR,276.0,2.0,1.0,6.4,0.1,0.0,0.0,0.0,0.05
Jeff Driskel,CIN,19.95,0.06,0.07,0.06,0.01,0.0,0.0,0.0,0.04
Joe Flacco,BAL,268.0,2.0,1.1,6.5,0.1,0.0,0.0,0.0,0.13
Joe Webb,HOU,6.89,0.02,0.04,0.03,0.01,0.0,0.0,0.0,0.0
Josh Allen,BUF,226.0,1.2,1.0,36.02,0.3,0.0,0.0,0.0,0.08
Josh McCown,NYJ,15.89,0.06,0.1,0.41121907354369297,0.0,0.0,0.0,0.0,0.02
Josh Rosen,ARI,228.9,1.3,1.5,15.95,0.12,0.0,0.0,0.0,0.09
Joshua Dobbs,PIT,13.89,0.1,0.11,0.11208876024369224,0.01,0.0,0.0,0.0,0.04
Kirk Cousins,MIN,279.6,2.0,1.1,13.7,0.2,0.0,0.0,0.0,0.03
Lamar Jackson,BAL,47.29,0.19,0.25,9.5,0.1,0.0,0.0,0.0,0.03
Marcus Mariota,TEN,220.2,1.4,1.0,28.71,0.2,0.0,0.0,0.0,0.03
Matt Cassel,DET,11.41,0.02,0.05,0.14751332247719415,0.0,0.0,0.0,0.0,0.05
Matt Ryan,ATL,297.0,2.0,1.0,12.5,0.2,0.0,0.0,0.0,0.06
Matt Schaub,ATL,8.14,0.02,0.06,0.14751332247719415,0.0,0.0,0.0,0.0,0.11
Matthew Stafford,DET,286.0,2.0,1.0,8.3,0.1,0.0,0.0,0.0,0.03
Mitchell Trubisky,CHI,244.8,1.6,1.0,21.4,0.3,0.0,0.0,0.0,0.08
Nathan Peterman,OAK,7.04,0.02,0.1,0.14751332247719415,0.0,0.0,0.0,0.0,0.03
Nick Foles,PHI,14.43,0.05,0.07,0.29670545514943336,0.0,0.0,0.0,0.0,0.03
Nick Mullens,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
Patrick Mahomes,KC,305.0,3.0,1.0,27.6,0.3,0.0,0.0,0.0,0.08
