Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD
Patrick Mahomes,QB,KC,284.6,2.3,0.7,13.7,0.1
Aaron Rodgers,QB,GB,262.6,2.3,0.4,16.5,0.1
Drew Brees,QB,NO,299.5,2.2,0.7,3.8,0.1
Deshaun Watson,QB,HOU,265.3,1.9,1.0,31.5,0.2
Tom Brady,QB,NE,283.0,2.1,0.5,2.8,0.1
Philip Rivers,QB,LAC,288.6,2.1,0.5,1.8,0.0
Russell Wilson,QB,SEA,249.2,1.7,0.7,22.0,0.1
Ben Roethlisberger,QB,PIT,286.7,2.0,1.1,4.6,0.1
Matt Ryan,QB,ATL,271.4,1.9,0.8,7.5,0.1
Ryan Fitzpatrick,QB,TB,283.5,1.7,1.1,13.0,0.1
Baker Mayfield,QB,CLE,260.4,1.6,0.6,12.8,0.1
Andrew Luck,QB,IND,246.4,1.8,0.8,14.3,0.1
Case Keenum,QB,DEN,269.5,1.7,0.8,7.4,0.1
Jared Goff,QB,LAR,264.1,1.9,0.7,4.2,0.1
Ryan Tannehill,QB,MIA,269.9,1.7,0.9,14.9,0.1
Kirk Cousins,QB,MIN,277.6,1.6,1.0,11.1,0.1
Matthew Stafford,QB,DET,280.7,1.7,0.8,5.9,0.0
Eli Manning,QB,NYG,273.7,1.8,1.2,4.5,0.0
Dak Prescott,QB,DAL,206.7,1.3,0.6,25.6,0.2
Blake Bortles,QB,JAX,232.0,1.3,0.9,24.9,0.1
Mitchell Trubisky,QB,CHI,232.8,1.3,0.8,18.6,0.2
Joe Flacco,QB,BAL,251.0,1.6,0.9,6.5,0.1
Derek Carr,QB,OAK,262.8,1.6,1.0,3.9,0.0
Josh Allen,QB,BUF,223.2,1.1,0.9,23.8,0.1
Marcus Mariota,QB,TEN,214.8,1.2,1.0,21.8,0.2
C.J. Beathard,QB,SF,230.5,1.1,1.1,17.2,0.1
Josh Rosen,QB,ARI,222.2,1.1,1.2,8.4,0.0
Sam Darnold,QB,NYJ,218.2,0.9,1.3,6.3,0.0
Lamar Jackson,QB,BAL,9.7,0.0,0.0,9.5,0.1
Jameis Winston,QB,TB,12.1,0.1,0.1,0.7,0.0
Jacoby Brissett,QB,IND,9.0,0.1,0.0,0.5,0.0
DeShone Kizer,QB,GB,5.4,0.0,0.0,0.7,0.0
Brian Hoyer,QB,NE,6.0,0.0,0.0,0.3,0.0
Chase Daniel,QB,CHI,5.0,0.0,0.0,0.1,0.0
Cooper Rush,QB,DAL,4.3,0.0,0.0,0.5,0.0
Trevor Siemian,QB,MIN,6.0,0.0,0.0,0.3,0.0
Brett Hundley,QB,SEA,5.6,0.0,0.0,0.4,0.0
Taysom Hill,QB,NO,0.0,0.0,0.0,3.0,0.0
Geno Smith,QB,LAC,4.8,0.0,0.0,0.2,0.0
Nick Foles,QB,PHI,5.1,0.0,0.0,0.2,0.0
Josh McCown,QB,NYJ,5.4,0.0,0.0,0.3,0.0
Sean Mannion,QB,LAR,4.3,0.0,0.0,0.2,0.0
AJ McCarron,QB,OAK,4.3,0.0,0.0,0.2,0.0
Cody Kessler,QB,JAX,4.0,0.0,0.0,0.1,0.0
Matt Schaub,QB,ATL,3.5,0.0,0.0,0.1,0.0
Joshua Dobbs,QB,PIT,3.6,0.1,0.0,0.1,0.0
Nathan Peterman,QB,OAK,4.0,0.0,0.0,0.1,0.0
Teddy Bridgewater,QB,NO,3.1,0.0,0.0,0.1,0.0
Chad Henne,QB,KC,2.9,0.0,0.0,0.1,0.0
Matt Cassel,QB,DET,2.3,0.0,0.0,0.1,0.0
Brock Osweiler,QB,MIA,1.9,0.0,0.0,0.1,0.0
Jeff Driskel,QB,CIN,0.7,0.0,0.0,0.0,0.0
Austin Davis,QB,TEN,0.6,0.0,0.0,0.0,0.0
Joe Webb,QB,HOU,0.0,0.0,0.0,0.0,0.0
