Player,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,2PT
AJ McCarron,OAK,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Aaron Rodgers,GB,265.69,2.1500000000000004,0.55,16.15,0.1,0.0,0.0,0.0,0.1
Andrew Luck,IND,251.15,1.835,0.91,13.350000000000001,0.1,0.0,0.0,0.0,0.09
Andy Dalton,CIN,261.34000000000003,1.8130628194933225,0.8,7.85,0.09,0.0,0.0,0.0,0.0
Austin Davis,TEN,0.8500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Baker Mayfield,CLE,257.29999999999995,1.4,0.75,12.64,0.1,0.0,0.0,0.0,0.09
Ben Roethlisberger,PIT,297.47,1.99,1.0,4.5,0.1,0.0,0.0,0.0,0.19
Blake Bortles,JAX,233.5,1.42,0.9,24.695,0.1,0.0,0.0,0.0,0.16
Brett Hundley,SEA,3.3499999999999996,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.03
Brian Hoyer,NE,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Brock Osweiler,MIA,2.15,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.06
C.J. Beathard,SF,226.57999999999998,1.0750000000000002,1.03,15.95,0.1,0.0,0.0,0.0,0.07
Carson Wentz,PHI,253.6018650432125,1.648648202741291,0.8199219637281795,15.9,0.07709934818349157,0.0,0.0,0.0,0.22
Case Keenum,DEN,268.25,1.65,0.81,7.08,0.1,0.0,0.0,0.0,0.03
Chad Henne,KC,2.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.02
Chad Kelly,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
Chase Daniel,CHI,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Cody Kessler,JAX,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Cooper Rush,DAL,2.7,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.03
Dak Prescott,DAL,205.065,1.3,0.6499999999999999,24.26,0.2,0.0,0.0,0.0,0.07
DeShone Kizer,GB,3.6,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.03
Derek Carr,OAK,261.9,1.56,1.0,4.45,0.0,0.0,0.0,0.0,0.16
Deshaun Watson,HOU,264.5,1.7999999999999998,1.0,32.68,0.2,0.0,0.0,0.0,0.16
Drew Brees,NO,308.0,2.085,0.74,2.25,0.1,0.0,0.0,0.0,0.06
Eli Manning,NYG,277.35,1.725,1.0,3.0,0.0,0.0,0.0,0.0,0.0
Geno Smith,LAC,2.95,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.03
Jacoby Brissett,IND,8.45,0.0564036295530683,0.0,0.2,0.0,0.0,0.0,0.0,0.03
Jameis Winston,TB,13.45,0.08479827425033834,0.09680497909311883,0.4234799604454183,0.0,0.0,0.0,0.0,0.04
