Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
Alvin Kamara,RB,NO,0.0,0.0,0.0,72.4,0.6,7.0,62.8,0.2
Todd Gurley,RB,LAR,0.0,0.0,0.0,82.7,0.7,3.6,35.8,0.2
Ezekiel Elliott,RB,DAL,0.0,0.0,0.0,92.2,0.8,2.9,26.2,0.1
Saquon Barkley,RB,NYG,0.0,0.0,0.0,81.2,0.5,4.2,38.8,0.1
Melvin Gordon,RB,LAC,0.0,0.0,0.0,79.8,0.6,3.6,31.2,0.2
James Conner,RB,PIT,0.0,0.0,0.0,74.5,0.6,4.6,36.4,0.1
David Johnson,RB,ARI,0.0,0.0,0.0,71.8,0.5,3.3,30.5,0.1
Giovani Bernard,RB,CIN,0.0,0.0,0.0,58.2,0.5,4.2,36.9,0.2
Jordan Howard,RB,CHI,0.0,0.0,0.0,78.5,0.6,2.5,19.6,0.1
Leonard Fournette,RB,JAX,0.0,0.0,0.0,65.7,0.6,2.6,21.1,0.1
Tevin Coleman,RB,ATL,0.0,0.0,0.0,68.5,0.3,2.5,24.7,0.2
Sony Michel,RB,NE,0.0,0.0,0.0,60.1,0.5,2.4,24.5,0.2
Lamar Miller,RB,HOU,0.0,0.0,0.0,64.7,0.4,2.6,22.9,0.1
Carlos Hyde,RB,JAX,0.0,0.0,0.0,57.2,0.4,3.0,26.7,0.1
Marshawn Lynch,RB,OAK,0.0,0.0,0.0,66.6,0.6,1.8,14.9,0.0
James White,RB,NE,0.0,0.0,0.0,13.9,0.1,5.6,47.4,0.4
Alex Collins,RB,BAL,0.0,0.0,0.0,62.2,0.5,2.0,18.7,0.0
Kenyan Drake,RB,MIA,0.0,0.0,0.0,56.2,0.4,2.3,18.8,0.1
Javorius Allen,RB,BAL,0.0,0.0,0.0,34.0,0.1,5.5,31.0,0.2
Royce Freeman,RB,DEN,0.0,0.0,0.0,55.6,0.4,2.2,18.2,0.1
Jay Ajayi,RB,PHI,0.0,0.0,0.0,59.1,0.4,1.7,12.3,0.1
Dalvin Cook,RB,MIN,0.0,0.0,0.0,51.3,0.4,2.1,16.9,0.1
LeSean McCoy,RB,BUF,0.0,0.0,0.0,55.3,0.3,2.0,17.7,0.1
Phillip Lindsay,RB,DEN,0.0,0.0,0.0,34.8,0.1,3.6,30.7,0.2
Matt Breida,RB,SF,0.0,0.0,0.0,34.4,0.3,3.1,27.0,0.1
Austin Ekeler,RB,LAC,0.0,0.0,0.0,26.6,0.1,3.3,34.5,0.1
Kerryon Johnson,RB,DET,0.0,0.0,0.0,55.2,0.3,1.5,9.5,0.1
Aaron Jones,RB,GB,0.0,0.0,0.0,39.3,0.3,1.9,14.7,0.1
Isaiah Crowell,RB,NYJ,0.0,0.0,0.0,46.4,0.3,2.0,12.8,0.1
Dion Lewis,RB,TEN,0.0,0.0,0.0,38.4,0.3,1.9,14.9,0.1
Tarik Cohen,RB,CHI,0.0,0.0,0.0,19.0,0.1,2.6,23.7,0.1
T.J. Yeldon,RB,JAX,0.0,0.0,0.0,29.4,0.0,3.4,25.0,0.1
Nyheim Hines,RB,IND,0.0,0.0,0.0,21.9,0.1,3.1,26.1,0.1
Jamaal Williams,RB,GB,0.0,0.0,0.0,37.4,0.3,1.4,9.4,0.0
Jalen Richard,RB,OAK,0.0,0.0,0.0,15.6,0.1,3.7,32.0,0.1
Bilal Powell,RB,NYJ,0.0,0.0,0.0,33.1,0.2,2.0,17.1,0.1
Alfred Morris,RB,SF,0.0,0.0,0.0,40.2,0.4,0.5,4.0,0.0
Derrick Henry,RB,TEN,0.0,0.0,0.0,38.7,0.3,0.7,5.1,0.0
Latavius Murray,RB,MIN,0.0,0.0,0.0,33.6,0.3,0.9,7.8,0.0
Jordan Wilkins,RB,IND,0.0,0.0,0.0,27.3,0.2,1.5,14.0,0.0
Peyton Barber,RB,TB,0.0,0.0,0.0,37.8,0.3,0.8,5.6,0.0
Ito Smith,RB,ATL,0.0,0.0,0.0,20.9,0.2,2.4,18.0,0.0
Theo Riddick,RB,DET,0.0,0.0,0.0,12.5,0.0,2.3,19.0,0.1
Ty Montgomery,RB,BAL,0.0,0.0,0.0,15.0,0.1,1.7,15.0,0.0
Wendell Smallwood,RB,PHI,0.0,0.0,0.0,24.6,0.0,1.9,13.2,0.0
Doug Martin,RB,OAK,0.0,0.0,0.0,28.9,0.1,0.8,5.6,0.0
LeGarrette Blount,RB,DET,0.0,0.0,0.0,28.0,0.2,0.2,1.1,0.0
Chris Ivory,RB,BUF,0.0,0.0,0.0,20.1,0.2,0.7,5.6,0.0
Frank Gore,RB,MIA,0.0,0.0,0.0,22.4,0.1,1.0,7.4,0.0
