Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,2PT,Tack,Ast,Sack,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Davante Adams,GB,1.0,0.07,0.0,5.88,72.47,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Nelson Agholor,PHI,1.0,2.57,0.03,4.46,50.48,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Kamar Aiken,FA,1.0,0.06,0.0,1.48,16.78,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Geronimo Allison,GB,1.0,0.19,0.0,3.03,40.72,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Danny Amendola,MIA,1.0,0.01,0.0,4.22,48.38,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robby Anderson,NYJ,1.0,1.27,0.0,2.91,38.19,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tavon Austin,DAL,1.0,10.62,0.05,0.87,8.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Doug Baldwin,SEA,1.0,0.56,0.0,2.96,49.43,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cole Beasley,DAL,1.0,0.25,0.0,3.02,35.42,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Odell Beckham,NYG,1.0,2.46,0.02,6.85,85.08,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Bellamy,CHI,1.0,0.61,0.01,1.71,24.46,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Kelvin Benjamin,KC,1.0,0.06,0.0,2.96,36.19,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Travis Benjamin,LAC,1.0,4.2,0.02,1.29,19.71,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Kendrick Bourne,SF,1.0,0.03,0.0,1.12,15.43,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tyler Boyd,CIN,1.0,1.54,0.01,4.63,61.59,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Antonio Brown,PIT,1.0,0.15,0.0,6.64,90.44,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.02
Jaron Brown,SEA,1.0,0.03,0.0,2.05,29.78,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
John Brown,BAL,1.0,1.55,0.01,3.54,52.19,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Martavis Bryant,OAK,1.0,1.92,0.01,2.5,33.69,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Antonio Callaway,CLE,1.0,3.39,0.02,3.52,44.5,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Austin Carr,NO,1.0,0.15,0.0,0.85,8.66,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
D.J. Chark,JAX,1.0,0.27,0.0,0.81,12.29,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Sammie Coates,FA,1.0,0.15,0.0,0.25,4.57,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Keelan Cole,JAX,1.0,0.1,0.0,3.69,61.4,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Stacy Coley,FA,1.0,0.38,0.0,0.24,4.31,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chris Conley,KC,1.0,0.07,0.0,2.25,30.05,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Brandin Cooks,LAR,1.0,2.01,0.0,4.49,75.93,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Amari Cooper,DAL,1.0,2.75,0.01,3.71,49.81,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cody Core,CIN,1.0,0.11,0.0,0.13,4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Keke Coutee,HOU,1.0,0.39,0.0,0.7,8.21,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Michael Crabtree,BAL,1.0,0.12,0.0,5.28,59.96,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Corey Davis,TEN,1.0,0.06,0.0,4.69,60.01,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Geremy Davis,LAC,1.0,0.06,0.0,0.03,2.23,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jawill Davis,NYG,1.0,0.1,0.0,0.25,3.78,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Stefon Diggs,MIN,1.0,2.73,0.0,5.24,71.16,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Phillip Dorsett,NE,1.0,0.33,0.0,2.67,38.46,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Quincy Enunwa,NYJ,1.0,0.43,0.0,4.83,62.4,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Alex Erickson,CIN,1.0,0.21,0.0,0.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Mike Evans,TB,1.0,0.03,0.0,5.29,79.64,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Larry Fitzgerald,ARI,1.0,0.09,0.0,5.02,57.47,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robert Foster,BUF,1.0,0.24,0.0,1.08,14.84,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Will Fuller,HOU,1.0,0.72,0.0,4.57,59.1,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.02
Taylor Gabriel,CHI,1.0,3.15,0.02,3.57,37.07,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Russell Gage,ATL,1.0,0.15,0.0,0.37,5.75,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Michael Gallup,DAL,1.0,0.18,0.0,1.23,16.47,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Pierre Garcon,SF,1.0,0.11,0.0,3.63,48.04,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Shelton Gibson,PHI,1.0,0.41,0.0,0.15,3.28,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Ted Ginn,NO,1.0,4.82,0.03,4.32,57.66,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chris Godwin,TB,1.0,0.03,0.0,3.16,44.77,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Kenny Golladay,DET,1.0,0.73,0.01,4.8,66.73,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marquise Goodwin,SF,1.0,2.82,0.02,3.41,49.52,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Gordon,NE,1.0,0.27,0.0,1.44,25.48,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jakeem Grant,MIA,1.0,1.05,0.01,2.34,23.76,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
