Player,Team,Rush Yds,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,Rush TD,2PT
A.J. Green,CIN,0.04,6.208333333333333,81.35000000000001,0.7349999999999999,0.0,0.0,0.0,0.0,0.0
Adam Humphries,TB,0.5039999999999999,2.6366666666666667,27.88166666666667,0.11333333333333334,0.0,0.0,0.0,0.0,0.0
Adam Thielen,MIN,0.7859999999999999,6.8183333333333325,84.51,0.51,0.0,0.0,0.0,0.0,0.0
Albert Wilson,MIA,2.8099999999999996,3.103333333333333,42.346666666666664,0.18666666666666668,0.0,0.0,0.0,0.006,0.0
Aldrick Robinson,MIN,0.006,0.45291620532765214,5.723442862489052,0.0057997331451694585,0.0,0.0,0.0,0.0,0.0
Alex Erickson,CIN,0.162,0.1783996269342503,2.9974519427691075,0.0,0.0,0.0,0.0,0.0,0.0
Allen Hurns,DAL,0.012,2.2533333333333334,29.71166666666667,0.12166666666666666,0.0,0.0,0.0,0.0,0.0
Allen Robinson,CHI,0.016,5.096666666666667,66.71666666666667,0.5466666666666666,0.0,0.0,0.0,0.0,0.0
Alshon Jeffery,PHI,0.03,3.453333333333333,49.59833333333333,0.4666666666666666,0.0,0.0,0.0,0.0,0.0
Amari Cooper,DAL,1.65,4.421530327602933,57.98485376005993,0.3830325303318336,0.0,0.0,0.0,0.002,0.0
Andre Holmes,DEN,0.092,1.600045426543273,20.53405909921375,0.11657128873709459,0.0,0.0,0.0,0.0,0.0
Andre Roberts,NYJ,0.11121540828711449,0.12563305632421384,1.8216437410156352,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Brown,PIT,0.05,6.906666666666666,92.65666666666665,0.6983333333333333,0.0,0.0,0.0,0.0,0.0
Antonio Callaway,CLE,1.998,3.6033333333333335,48.86666666666667,0.21833333333333335,0.0,0.0,0.0,0.004,0.0
Austin Carr,NO,0.05,0.7561335280319531,11.173828971536485,0.05435965440989019,0.0,0.0,0.0,0.0,0.0
Brandin Cooks,LAR,1.8619999999999997,4.864999999999999,72.63833333333334,0.515,0.0,0.0,0.0,0.0,0.0
Brandon Marshall,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Zylstra,MIN,0.022,0.05069415977837747,1.396960241515025,0.0019332443817231528,0.0,0.0,0.0,0.0,0.0
Calvin Ridley,ATL,2.356,4.1850000000000005,53.026666666666664,0.4483333333333333,0.0,0.0,0.0,0.006,0.0
Cameron Meredith,NO,0.09,2.1533333333333338,29.048333333333332,0.155,0.0,0.0,0.0,0.0,0.0
Chad Williams,ARI,1.336,1.75,20.13,0.08166666666666667,0.0,0.0,0.0,0.0,0.0
Chester Rogers,IND,0.496,2.4916666666666667,28.055000000000003,0.11833333333333333,0.0,0.0,0.0,0.002,0.0
Chris Conley,KC,0.034,1.925,25.058333333333334,0.11333333333333334,0.0,0.0,0.0,0.0,0.0
Chris Godwin,TB,0.006,3.393333333333333,46.995000000000005,0.2366666666666667,0.0,0.0,0.0,0.0,0.0
Chris Hogan,NE,1.04,3.8249999999999997,53.22666666666667,0.3516666666666666,0.0,0.0,0.0,0.0,0.0
Chris Moore,BAL,0.702,0.8801279490703783,10.925361759448931,0.07853318843493494,0.0,0.0,0.0,0.002,0.0
Christian Kirk,ARI,0.188,3.723333333333334,45.09666666666667,0.15333333333333332,0.0,0.0,0.0,0.0,0.0
Cody Core,CIN,0.0308582144901131,0.20771574708672894,3.503895096219574,0.0,0.0,0.0,0.0,0.0,0.0
Cole Beasley,DAL,0.06999999999999999,3.603333333333333,38.936666666666675,0.17833333333333334,0.0,0.0,0.0,0.0,0.0
Cooper Kupp,LAR,2.0780000000000003,4.718333333333334,60.25833333333333,0.3383333333333333,0.0,0.0,0.0,0.002,0.0
Cordarrelle Patterson,NE,5.01,1.1016666666666668,11.751666666666667,0.04833333333333334,0.0,0.0,0.0,0.02,0.0
Corey Davis,TEN,0.012,4.548333333333333,59.785000000000004,0.5066666666666666,0.0,0.0,0.0,0.0,0.0
