Player,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN,FPTS,POS
Tennessee Titans,3.2,1.1,0.6,0.8,0.2,0.0,17.1,284.1,9.0,DST
Carolina Panthers,3.1,0.9,0.7,1.2,0.2,0.0,18.2,332.1,8.8,DST
Baltimore Ravens,2.5,1.0,0.7,1.2,0.2,0.0,16.5,270.5,8.3,DST
Los Angeles Rams,3.1,1.1,0.7,1.0,0.2,0.1,20.4,335.6,8.3,DST
Dallas Cowboys,3.5,0.9,0.8,1.3,0.2,0.0,24.1,371.9,8.1,DST
Cincinnati Bengals,2.5,1.0,0.7,0.8,0.2,0.0,19.5,326.5,7.8,DST
San Francisco 49ers,2.2,0.9,0.6,0.8,0.2,0.0,19.4,312.4,7.7,DST
New York Jets,2.4,1.1,0.8,1.2,0.2,0.0,20.7,357.0,7.4,DST
New England Patriots,2.5,1.1,0.6,0.8,0.2,0.1,21.1,346.0,7.3,DST
Denver Broncos,2.5,1.1,0.6,1.0,0.2,0.0,20.3,289.4,7.2,DST
Arizona Cardinals,2.5,1.1,0.7,1.0,0.2,0.0,20.2,312.2,7.2,DST
Kansas City Chiefs,2.2,0.9,0.8,1.2,0.2,0.1,24.7,414.3,7.0,DST
Los Angeles Chargers,2.0,1.1,0.6,0.9,0.3,0.0,22.7,396.6,7.0,DST
Green Bay Packers,2.2,1.0,0.6,0.9,0.2,0.0,26.3,377.7,6.9,DST
Buffalo Bills,1.9,1.0,0.6,1.0,0.2,0.0,21.2,331.0,6.6,DST
Houston Texans,2.9,0.7,0.6,0.9,0.2,0.0,23.9,354.6,6.6,DST
Cleveland Browns,2.1,1.0,0.7,1.0,0.2,0.0,22.0,326.0,6.5,DST
Detroit Lions,2.7,0.7,0.6,0.8,0.2,0.0,26.2,386.2,6.5,DST
Pittsburgh Steelers,2.5,0.8,0.6,0.7,0.2,0.0,26.8,403.4,6.5,DST
Philadelphia Eagles,2.3,0.8,0.7,1.1,0.2,0.0,20.2,347.5,6.4,DST
Minnesota Vikings,2.4,0.9,0.6,1.0,0.2,0.0,24.3,348.0,6.4,DST
Miami Dolphins,1.7,1.1,0.6,0.9,0.2,0.0,25.7,356.7,6.3,DST
New Orleans Saints,2.5,0.6,0.7,1.1,0.2,0.0,24.2,386.6,6.2,DST
Atlanta Falcons,1.8,0.9,0.6,1.0,0.2,0.1,27.8,401.9,6.1,DST
Indianapolis Colts,2.3,0.7,0.7,1.0,0.2,0.1,30.5,392.8,6.1,DST
Jacksonville Jaguars,2.2,0.8,0.6,0.9,0.2,0.0,26.1,339.7,6.0,DST
Washington Redskins,1.8,0.8,0.7,1.1,0.2,0.0,30.0,407.1,5.9,DST
New York Giants,1.8,0.9,0.6,0.7,0.2,0.0,26.5,373.3,5.9,DST
Seattle Seahawks,1.9,0.7,0.7,0.9,0.2,0.0,28.7,383.4,5.7,DST
Oakland Raiders,1.6,0.8,0.7,0.9,0.2,0.0,28.9,431.7,5.6,DST
