Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Blk,Return Yds,PA,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,YdA,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
San Francisco 49ers,SF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,64.0,22.0,0.0,0.0,1.0,0.0,0.0,220.0,1.0,0.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,3.0,2.0,1.0,1.0,2.0,0.0,19.0,17.0,0.0,1.0,0.0,0.0,0.0,297.0,1.0,0.0,0.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,2.0,1.0,2.0,3.0,0.0,0.0,35.0,12.0,1.0,0.0,0.0,0.0,0.0,221.0,1.0,0.0,0.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28.0,34.0,0.0,0.0,0.0,1.0,0.0,512.0,0.0,0.0,0.0,0.0,1.0,DST
Cleveland Browns,CLE,1.0,2.0,1.0,1.0,2.0,0.0,1.0,23.0,9.0,1.0,0.0,0.0,0.0,0.0,410.0,0.0,0.0,1.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,4.0,2.0,3.0,3.0,1.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,447.0,0.0,0.0,1.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,3.0,1.0,1.0,1.0,0.0,0.0,86.0,10.0,1.0,0.0,0.0,0.0,0.0,289.0,1.0,0.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,5.0,4.0,1.0,1.0,1.0,0.0,13.0,14.0,0.0,1.0,0.0,0.0,0.0,502.0,0.0,0.0,0.0,0.0,1.0,DST
Indianapolis Colts,IND,1.0,0.0,2.0,0.0,0.0,0.0,0.0,53.0,38.0,0.0,0.0,0.0,0.0,1.0,438.0,0.0,0.0,1.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,1.0,1.0,1.0,1.0,0.0,0.0,22.0,19.0,0.0,1.0,0.0,0.0,0.0,462.0,0.0,0.0,0.0,1.0,0.0,DST
Miami Dolphins,MIA,1.0,2.0,1.0,0.0,0.0,1.0,1.0,174.0,15.0,0.0,1.0,0.0,0.0,0.0,332.0,0.0,1.0,0.0,0.0,0.0,DST
