Player,Team,PA,YdA,TD,Sack,Int,Fum Rec,Saf,Blk
Arizona Cardinals,ARI,21.079323186453543,341.77564360389886,0.25,2.8,1.0108699486811528,0.71,0.0,0.0
Atlanta Falcons,ATL,30.3,399.0,0.1,1.9098331487367886,0.6852880960644254,0.4,0.0,0.0
Baltimore Ravens,BAL,19.194316396143815,342.0,0.20588235294117646,2.990779817820405,1.1239756530837823,0.6,0.0,0.0
Buffalo Bills,BUF,20.707118899058344,350.68451071637446,0.2222222222222222,1.9404336629608008,0.8,0.7,0.0,0.0
Carolina Panthers,CAR,18.69,343.0,0.12,2.97925711197666,0.7743792101054061,0.8181818181818182,0.0,0.1
Chicago Bears,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cincinnati Bengals,CIN,19.9490185823235,336.14413672791517,0.2222222222222222,2.857468812936577,0.8046379298677092,0.7,0.0,0.09
Cleveland Browns,CLE,22.0,350.68451071637446,0.11,2.255200176989895,0.7155468158267285,0.7333333333333333,0.0,0.0
Dallas Cowboys,DAL,24.5,371.9,0.0,3.101302077987183,1.0959509236128222,0.8181818181818182,0.0,0.0
Denver Broncos,DEN,22.230184307077312,334.1512038279885,0.12,2.7,0.9739557927896364,0.8,0.0,0.1
Detroit Lions,DET,25.01165797492433,383.0645559466177,0.22,2.1647277131274327,0.7040547851912254,0.7,0.0,0.1
Green Bay Packers,GB,24.82,377.0594944188722,0.1,2.6,1.03,0.8,0.0,0.0
Houston Texans,HOU,21.0,356.67257663916524,0.1,3.1041653236926185,0.7040547851912254,0.5,0.0,0.0
Indianapolis Colts,IND,31.0,383.0645559466177,0.1,2.0024379637738723,0.6852880960644254,0.4,0.0,0.0
Jacksonville Jaguars,JAX,23.604782850764693,356.67257663916524,0.09,2.2435133003521033,0.7748479653246577,0.4,0.0,0.0
Kansas City Chiefs,KC,22.5,431.0,0.34,2.28632872441888,0.7040547851912254,0.5833333333333334,0.0,0.0
Los Angeles Chargers,LAC,21.343082441818282,393.0,0.33,2.353436532539327,1.0338437127171274,0.8,0.0,0.0
Los Angeles Rams,LAR,21.13714912924904,350.68451071637446,0.125,3.144040967514773,1.067253981739792,0.5,0.04,0.0
Miami Dolphins,MIA,23.4,356.67257663916524,0.11,1.8903352924092804,0.8432973712595616,0.46,0.0,0.0
Minnesota Vikings,MIN,24.65705747546445,362.7576956867843,0.25,2.366114792546865,0.7,0.4,0.0,0.0
New England Patriots,NE,20.74362386777096,362.7576956867843,0.12,2.5774359396471005,0.9,0.7,0.03,0.09
New Orleans Saints,NO,19.72,383.0645559466177,0.2222222222222222,2.6,0.7040547851912254,0.5,0.0,0.0
New York Giants,NYG,25.0,373.3,0.11,2.0030889936587766,0.7040547851912254,0.63,0.0,0.08
New York Jets,NYJ,20.275801764438604,357.3602389768276,0.34,2.139122493916424,1.0338437127171274,0.7333333333333333,0.0,0.0
Oakland Raiders,OAK,27.024242076922132,432.47408228755853,0.1,1.8307661112477052,0.6852880960644254,0.5,0.0,0.0
Philadelphia Eagles,PHI,21.212822235228295,353.0,0.2222222222222222,2.4474875384107224,0.7743792101054061,0.5,0.0,0.08
Pittsburgh Steelers,PIT,22.268392341587294,402.0,0.21,2.6,0.7,0.65,0.0,0.09
San Francisco 49ers,SF,19.4,301.0,0.2222222222222222,2.4,0.7906832978725552,0.8,0.0,0.0
Seattle Seahawks,SEA,29.0,378.0,0.1,1.9705477618298952,0.6852880960644254,0.5,0.0,0.08
Tampa Bay Buccaneers,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tennessee Titans,TEN,15.7,284.1,0.20588235294117646,3.0290494383887157,1.044280217703817,0.7,0.0,0.07
Washington Redskins,WAS,30.3,397.57356182623175,0.12,1.8789531407154667,0.6852880960644254,0.5,0.0,0.0
