Player,Team,Salary
Tom Brady,NE,8600
Aaron Rodgers,GB,8400
Drew Brees,NO,8600
Blake Bortles,JAX,7000
Andrew Luck,IND,7500
C.J. Beathard,SF,6300
Ben Roethlisberger,PIT,8400
Case Keenum,DEN,6500
Deshaun Watson,HOU,7600
Philip Rivers,LAC,8200
Eli Manning,NYG,6500
Carson Wentz,PHI,7500
Russell Wilson,SEA,7200
Sam Darnold,NYJ,6300
Baker Mayfield,CLE,7100
Cam Newton,CAR,8400
Patrick Mahomes,KC,8600
Jared Goff,LAR,8000
Matthew Stafford,DET,7600
Alex Smith,WAS,7400
Matt Ryan,ATL,8300
Derek Carr,OAK,7000
Kirk Cousins,MIN,7700
Andy Dalton,CIN,7500
Dak Prescott,DAL,6800
Joe Flacco,BAL,7200
Josh Rosen,ARI,6400
Josh Allen,BUF,6400
Ryan Tannehill,MIA,6600
Taysom Hill,NO,6100
Marcus Mariota,TEN,6800
Lamar Jackson,BAL,6100
Matt Schaub,ATL,6000
Joe Webb,HOU,6000
Teddy Bridgewater,NO,6000
Joshua Dobbs,PIT,6000
