Player,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,2PT
AJ McCarron,OAK,8.989600097336634,0.03,0.04,0.21961595110152887,0.0,0.0,0.0,0.0,0.03
Aaron Rodgers,GB,285.0,2.2,0.63,23.0,0.12,0.0,0.0,0.0,0.1
Alex Smith,WAS,306.0,2.0,0.75,21.1,0.1,0.0,0.0,0.0,0.06
Alex Tanney,NYG,19.27,0.09,0.18,0.2,0.0,0.0,0.0,0.0,0.03
Andrew Luck,IND,299.0,2.1,2.0,23.1,0.2,0.0,0.0,0.0,0.13
Andy Dalton,CIN,273.97,2.0,1.2,10.0,0.1,0.0,0.0,0.0,0.0
Baker Mayfield,CLE,260.0,2.0,1.1,20.0,0.12,0.0,0.0,0.0,0.08
Ben Roethlisberger,PIT,351.0,3.0,1.0,8.25,0.13,0.0,0.0,0.0,0.22
Blaine Gabbert,TEN,29.77,0.07,0.13,0.33801077460638207,0.01,0.0,0.0,0.0,0.03
Blake Bortles,JAX,277.0,2.0,1.0,42.7,0.2,0.0,0.0,0.0,0.13
Brett Hundley,SEA,13.48,0.05,0.13,0.41750224790947876,0.02,0.0,0.0,0.0,0.03
Brian Hoyer,NE,11.123326519758407,0.04,0.05,0.32942392665227305,0.02,0.0,0.0,0.0,0.01
Brock Osweiler,MIA,16.66,0.07,0.11,0.1164194003872778,0.01,0.0,0.0,0.0,0.06
C.J. Beathard,SF,245.0,1.22,1.2,26.64,0.4,0.0,0.0,0.0,0.07
Cam Newton,CAR,246.0,2.0,1.0,48.38,0.6,0.0,0.0,0.0,0.13
Carson Wentz,PHI,280.0,2.0,1.0,18.01,0.12,0.0,0.0,0.0,0.22
Case Keenum,DEN,268.0,1.4,1.2,9.9,0.1,0.0,0.0,0.0,0.03
Chad Henne,KC,8.96,0.03,0.06,0.21961595110137824,0.01,0.0,0.0,0.0,0.02
Chad Kelly,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
Cody Kessler,JAX,12.59,0.05,0.05,0.32942392665206743,0.0,0.0,0.0,0.0,0.03
Colt McCoy,WAS,11.07,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.03
Cooper Rush,DAL,9.77,0.03,0.04,0.5332364928126323,0.01,0.0,0.0,0.0,0.03
Dak Prescott,DAL,224.9,1.4,0.7,24.4,0.2,0.0,0.0,0.0,0.07
DeShone Kizer,GB,19.3,0.05,0.17,0.7522473317638936,0.01,0.0,0.0,0.0,0.03
Derek Carr,OAK,301.0,2.0,1.2,5.0,0.06,0.0,0.0,0.0,0.19
Deshaun Watson,HOU,290.0,2.0,1.1,39.3,0.4,0.0,0.0,0.0,0.15
Drew Brees,NO,305.0,3.0,1.0,6.56,0.2,0.0,0.0,0.0,0.06
Eli Manning,NYG,270.0,1.8,1.0,5.0,0.05,0.0,0.0,0.0,0.03
Geno Smith,LAC,11.428206186069914,0.03,0.05,0.2018371430429602,0.01,0.0,0.0,0.0,0.03
Jacoby Brissett,IND,13.73,0.19376123151321029,0.05,0.4,0.01,0.0,0.0,0.0,0.03
Jared Goff,LAR,306.0,2.1,1.0,6.87,0.1,0.0,0.0,0.0,0.04
Jeff Driskel,CIN,17.56,0.05,0.18,0.06,0.01,0.0,0.0,0.0,0.04
Joe Flacco,BAL,277.0,2.0,1.0,5.87,0.1,0.0,0.0,0.0,0.13
Joe Webb,HOU,6.51,0.02,0.03,0.07,0.02,0.0,0.0,0.0,0.0
Josh Allen,BUF,222.5,1.08,1.4,34.43,0.3,0.0,0.0,0.0,0.08
