Player,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,2PT
Aaron Jones,GB,63.38,1.0,2.4,18.8,0.2,0.0,0.0,0.0,0.01
Adrian Peterson,WAS,68.9,0.7,1.69,24.4,0.1,0.0,0.0,0.0,0.0
Alex Armah,CAR,3.0,0.1,0.14,1.4103250725204513,0.01,0.0,0.0,0.0,0.0
Alex Collins,BAL,55.0,0.43,2.5,21.69,0.1,0.0,0.0,0.0,0.01
Alfred Blue,HOU,62.7,0.5,2.0,15.0,0.1,0.0,0.0,0.0,0.0
Alfred Morris,SF,47.1,0.4,1.2,10.2,0.02,0.0,0.0,0.0,0.0
Alvin Kamara,NO,67.3,0.7,8.0,65.7,1.0,0.0,0.0,0.0,0.07
Andy Janovich,DEN,2.272589079094015,0.01,0.44,4.231560864776943,0.01,0.0,0.0,0.0,0.0
Anthony Sherman,KC,1.6,0.01,0.8,11.7,0.2,0.0,0.0,0.0,0.0
Austin Ekeler,LAC,37.9,0.29,3.4,35.1,0.3,0.0,0.0,0.0,0.0
Bilal Powell,NYJ,50.0,1.0,3.2,26.0,0.2,0.0,0.0,0.0,0.0
Brandon Bolden,MIA,4.75,0.03,0.38,4.33,0.01,0.0,0.0,0.0,0.0
Brandon Wilds,ARI,7.81,0.06,0.36,2.383830369536483,0.01,0.0,0.0,0.0,0.0
Brandon Wilson,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Anderson,LAR,27.395480680281374,0.13,0.9,8.290285565056255,0.1,0.0,0.0,0.0,0.0
C.J. Ham,MIN,0.7,0.01,1.4,11.9,0.1,0.0,0.0,0.0,0.0
Carlos Hyde,JAX,64.9,0.7,2.4,21.2,0.1,0.0,0.0,0.0,0.03
Chase Edmonds,ARI,18.71,0.11,1.6,12.1,0.05,0.0,0.0,0.0,0.0
Chris Carson,SEA,59.5,0.3,2.4,19.2,0.1,0.0,0.0,0.0,0.01
Chris Ivory,BUF,31.1,0.2,1.9,16.0,0.04,0.0,0.0,0.0,0.0
Chris Thompson,WAS,29.3,0.2,6.0,50.0,1.0,0.0,0.0,0.0,0.0
Christian McCaffrey,CAR,70.4,0.5,7.2,64.6,1.0,0.0,0.0,0.0,0.01
Corey Clement,PHI,26.9,0.3,1.7,20.4,0.13600068023750542,0.0,0.0,0.0,0.03
Corey Grant,JAX,41.7,0.2,2.6,21.6,0.1,0.0,0.0,0.0,0.0
Damien Williams,KC,5.91,0.03,0.75,6.59,0.03,0.0,0.0,0.0,0.0
David Fluellen,TEN,3.448430789113157,0.01,0.4,4.075222836484319,0.01,0.0,0.0,0.0,0.0
David Johnson,ARI,70.7,1.0,5.0,46.5,0.3,0.0,0.0,0.0,0.0
De'Anthony Thomas,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
De'Lance Turner,BAL,5.253282119008232,0.03,0.5,5.095928078745675,0.02,0.0,0.0,0.0,0.0
Derek Watt,LAC,1.815397550819212,0.02,0.17,1.7619309798704013,0.01,0.0,0.0,0.0,0.0
Derrick Coleman,ARI,1.0535668050228386,0.0,0.5,4.2,0.01,0.0,0.0,0.0,0.0
Derrick Henry,TEN,58.5,1.0,1.5,12.27,0.1,0.0,0.0,0.0,0.01
Devonta Freeman,ATL,61.0,0.6,3.0,27.0,0.15,0.0,0.0,0.0,0.0
Devontae Booker,DEN,17.6,0.1,2.0,20.0,0.06,0.0,0.0,0.0,0.0
Dion Lewis,TEN,51.0,1.0,4.0,30.0,0.1,0.0,0.0,0.0,0.0
Doug Martin,OAK,24.2,0.11,0.7,5.2,0.01,0.0,0.0,0.0,0.0
Duke Johnson,CLE,15.0,0.1,3.3,30.8,0.13,0.0,0.0,0.0,0.06
Dwayne Washington,NO,4.0,0.02,0.32,2.04,0.02,0.0,0.0,0.0,0.0
Elijhaa Penny,NYG,6.59,0.1,0.26,2.3387421633621446,0.01,0.0,0.0,0.0,0.0
Ezekiel Elliott,DAL,90.1,1.0,4.4,36.8,0.2,0.0,0.0,0.0,0.0
Frank Gore,MIA,40.3,0.2,1.6,12.4,0.1,0.0,0.0,0.0,0.0
Isaiah Crowell,NYJ,50.1,0.5,2.2,13.9,0.1,0.0,0.0,0.0,0.0
Ito Smith,ATL,20.1,0.2,1.2,11.0,0.1,0.0,0.0,0.0,0.0
Jalen Richard,OAK,19.9,0.1,3.8,33.0,0.1,0.0,0.0,0.0,0.0
Jamaal Williams,GB,43.2,0.2,1.2,8.95,0.1,0.0,0.0,0.0,0.0
James Conner,PIT,78.2,1.0,6.0,39.9,0.2,0.0,0.0,0.0,0.01
James Develin,NE,0.0,0.01,1.0,6.82,0.04,0.0,0.0,0.0,0.0
James White,NE,29.5,0.3,5.3,45.4,0.5,0.0,0.0,0.0,0.04
Jamize Olawale,DAL,1.8330155844391212,0.0,0.23,1.9,0.01,0.0,0.0,0.0,0.0
Javorius Allen,BAL,40.0,1.0,5.6,31.8,0.2,0.0,0.0,0.0,0.0
Jay Ajayi,PHI,71.7,0.6,2.06,16.11,0.1,0.0,0.0,0.0,0.0
Jaylen Samuels,PIT,4.28,0.04,0.26,2.31,0.02,0.0,0.0,0.0,0.0
Joe Mixon,CIN,80.42,1.0,3.5,28.7,0.1,0.0,0.0,0.0,0.01
Jordan Wilkins,IND,41.8,0.2,2.0,15.0,0.06,0.0,0.0,0.0,0.0
Justin Davis,LAR,2.7566420631019843,0.01,0.34,2.71,0.02,0.0,0.0,0.0,0.0
Justin Jackson,LAC,5.327018062110321,0.03,0.29,2.22,0.01,0.0,0.0,0.0,0.0
Kareem Hunt,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keith Smith,OAK,0.9301383249847155,0.0,0.6,5.0,0.01,0.0,0.0,0.0,0.0
Kenyan Drake,MIA,46.93,0.4,3.2,24.8,0.1,0.0,0.0,0.0,0.01
Kerryon Johnson,DET,62.77,1.0,3.1,22.89,0.1,0.0,0.0,0.0,0.01
Kyle Juszczyk,SF,1.3,0.01,3.0,29.08,0.16,0.0,0.0,0.0,0.0
Lamar Miller,HOU,62.4,0.3,2.4,16.62,0.2,0.0,0.0,0.0,0.0
Latavius Murray,MIN,50.0,0.4,3.0,22.8,0.1,0.0,0.0,0.0,0.0
LeGarrette Blount,DET,34.5,0.3,0.6,4.8,0.02,0.0,0.0,0.0,0.0
LeSean McCoy,BUF,50.56,0.3,3.2,23.6,0.13,0.0,0.0,0.0,0.03
Malcolm Brown,LAR,22.8,0.2,1.0,5.73,0.02,0.0,0.0,0.0,0.0
Mark Ingram,NO,61.5,1.0,3.0,21.6,0.1,0.0,0.0,0.0,0.03
Mark Walton,CIN,33.9,0.3,2.2,17.62,0.1,0.0,0.0,0.0,0.0
Marshawn Lynch,OAK,73.92,1.0,2.4,19.1,0.1,0.0,0.0,0.0,0.03
Melvin Gordon,LAC,82.4,1.0,5.1,45.2,0.4,0.0,0.0,0.0,0.03
Mike Boone,MIN,19.5,0.19410444493370027,1.1,9.0,0.02,0.0,0.0,0.0,0.0
Mike Davis,SEA,40.0,0.2,2.0,13.42,0.1,0.0,0.0,0.0,0.0
Nick Chubb,CLE,34.5,0.3,0.8,6.1,0.02,0.0,0.0,0.0,0.0
Nyheim Hines,IND,27.9,0.3,5.0,46.15,0.22,0.0,0.0,0.0,0.01
Patrick DiMarco,BUF,0.6806701481888455,0.01,0.3,3.321456687834354,0.02,0.0,0.0,0.0,0.0
Phillip Lindsay,DEN,62.4,0.5,3.5,30.6,0.3,0.0,0.0,0.0,0.0
Raheem Mostert,SF,3.65,0.03,0.44,5.27,0.02,0.0,0.0,0.0,0.0
Rashaad Penny,SEA,32.92,0.19,1.25,12.02,0.08,0.0,0.0,0.0,0.0
Ricky Ortiz,ATL,1.15,0.0,0.4,1.17,0.02,0.0,0.0,0.0,0.01
Robert Turbin,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
