Player,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,2PT
Aaron Jones,GB,49.89255738316507,1.0,1.1345316171646118,9.465464178903302,0.06663861870765686,0.0,0.0,0.0,0.01
Adrian Peterson,WAS,62.83680879625758,0.7,1.4043569564819336,16.500973170226956,0.032629698514938354,0.0,0.0,0.0,0.0
Alex Armah,CAR,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Collins,BAL,54.34892125857875,0.43,1.6251299381256104,11.060787490541085,0.03323480486869812,0.0,0.0,0.0,0.01
Alfred Blue,HOU,50.27981958675803,0.5,1.5490798950195312,14.460355631522708,0.1,0.0,0.0,0.0,0.0
Alfred Morris,SF,45.139009944615175,0.4,0.8096546530723572,10.2,0.0,0.0,0.0,0.0,0.0
Alvin Kamara,NO,61.900726480537465,0.7,6.1,55.4,0.2,0.0,0.0,0.0,0.07
Andy Janovich,DEN,0.3,0.01,0.38931435346603394,2.0,0.0,0.0,0.0,0.0,0.0
Anthony Sherman,KC,0.0,0.01,0.38931435346603394,0.0,0.014607280492782593,0.0,0.0,0.0,0.0
Austin Ekeler,LAC,34.612330331949856,0.29,2.314145565032959,33.473590056678354,0.3,0.0,0.0,0.0,0.0
Bilal Powell,NYJ,44.73459330276743,1.0,2.4559226036071777,20.43,0.06120350956916809,0.0,0.0,0.0,0.0
Brandon Bolden,MIA,0.0,0.03,0.38,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Wilds,ARI,0.0,0.06,0.36,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Wilson,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Anderson,LAR,21.41524715286247,0.13,0.6038025617599487,8.290285565056255,0.0,0.0,0.0,0.0,0.0
C.J. Ham,MIN,0.0,0.01,0.6922937035560608,11.374563022598736,0.0,0.0,0.0,0.0,0.0
Carlos Hyde,JAX,57.2819496458871,0.7,1.1,7.859151767396677,0.06549045443534851,0.0,0.0,0.0,0.03
Chase Edmonds,ARI,18.71,0.11,0.9936585426330566,7.467207647976757,0.0,0.0,0.0,0.0,0.0
Chris Carson,SEA,50.6881794927574,0.3,1.936422348022461,16.284710952752654,0.1,0.0,0.0,0.0,0.01
Chris Ivory,BUF,25.295288172682028,0.2,1.2188133001327515,10.01973417117594,0.0,0.0,0.0,0.0,0.0
Chris Thompson,WAS,22.78348662111945,0.2,4.61313533782959,47.57316154096073,0.2,0.0,0.0,0.0,0.0
Christian McCaffrey,CAR,65.70558303842712,0.5,5.2,48.173653562366205,0.4161859452724457,0.0,0.0,0.0,0.01
Corey Clement,PHI,14.1193544751231,0.3,0.7227779626846313,8.743546493962246,0.0541711151599884,0.0,0.0,0.0,0.03
Corey Grant,JAX,30.995393387006047,0.2,1.464112639427185,12.096792605281792,0.08047112822532654,0.0,0.0,0.0,0.0
Damien Williams,KC,0.4,0.03,0.38931435346603394,0.4,0.0,0.0,0.0,0.0,0.0
David Fluellen,TEN,0.0,0.01,0.38931435346603394,0.0,0.0,0.0,0.0,0.0,0.0
David Johnson,ARI,66.47936873034436,1.0,3.302307605743408,33.05255038555432,0.3,0.0,0.0,0.0,0.0
De'Anthony Thomas,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
De'Lance Turner,BAL,0.0,0.03,0.38931435346603394,0.0,0.0,0.0,0.0,0.0,0.0
Derek Watt,LAC,0.4,0.02,0.17,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Coleman,ARI,0.0,0.0,0.38931435346603394,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Henry,TEN,54.722581650273014,1.0,0.9,7.467207647976757,0.1,0.0,0.0,0.0,0.01
Devonta Freeman,ATL,46.801022470007005,0.6,2.6,22.4,0.1107248067855835,0.0,0.0,0.0,0.0
Devontae Booker,DEN,15.020222162729462,0.1,1.9352519512176514,14.387131354890887,0.0,0.0,0.0,0.0,0.0
Dion Lewis,TEN,43.685484556145205,1.0,2.991787910461426,20.81403791896681,0.1,0.0,0.0,0.0,0.0
Doug Martin,OAK,24.2,0.11,0.38931435346603394,0.0,0.0,0.0,0.0,0.0,0.0
Duke Johnson,CLE,14.512428121927163,0.1,2.6709415912628174,23.140543461756852,0.06120350956916809,0.0,0.0,0.0,0.06
Dwayne Washington,NO,2.0,0.02,0.32,0.0,0.0,0.0,0.0,0.0,0.0
Elijhaa Penny,NYG,0.0,0.1,0.26,0.0,0.0,0.0,0.0,0.0,0.0
