Player,Team,Salary
Eric Ebron,IND,4600
Zach Ertz,PHI,6500
Travis Kelce,KAN,6000
Austin Hooper,ATL,3000
Jimmy Graham,GNB,4700
Niles Paul,JAC,2500
Rob Gronkowski,NWE,6400
George Kittle,SFO,5400
David Njoku,CLE,3400
Ryan Griffin,HOU,2500
Josh Hill,NOR,2500
Kyle Rudolph,MIN,4500
Lance Kendricks,GNB,2500
Geoff Swaim,DAL,2800
Virgil Green,LAC,2500
Nick Vannett,SEA,2500
Ben Watson,NOR,3200
Ian Thomas,CAR,2800
C.J. Uzomah,CIN,2900
Jared Cook,OAK,4800
Rhett Ellison,NYG,2700
James O'Shaughnessy,JAC,2500
Mike Gesicki,MIA,2500
Gerald Everett,LAR,2500
Tyler Higbee,LAR,2500
Rico Gathers,DAL,2500
Jesse James,PIT,3100
Antonio Gates,LAC,2800
Matt LaCosse,DEN,2500
Jeff Heuerman,DEN,2600
Dallas Goedert,PHI,2700
Seth DeValve,CLE,2500
Vernon Davis,WAS,2800
Eric Tomlinson,NYJ,2500
Jordan Reed,WAS,5600
Jason Croom,BUF,2500
Maxx Williams,BAL,2500
Mark Andrews,BAL,2600
Charles Clay,BUF,2700
Blake Jarwin,DAL,2500
Jermaine Gresham,ARI,2500
Jordan Thomas,HOU,2500
Jordan Leggett,NYJ,2500
Nick Boyle,BAL,2500
Jordan Akins,HOU,2500
Xavier Grimble,PIT,2500
Darren Fells,CLE,2500
Eric Saubert,ATL,2500
Hayden Hurst,BAL,2800
Vance McDonald,PIT,3700
Demetrius Harris,KAN,2500
David Morgan,MIN,2500
Ricky Seals-Jones,ARI,2900
Garrett Celek,SFO,2500
Clark Harris,CIN,2500
Jeremy Sprinkle,WAS,2500
Logan Paulsen,ATL,2500
Chris Manhertz,CAR,2500
Austin Seferian-Jenkins,JAC,2900
Logan Thomas,BUF,2500
Marcedes Lewis,GNB,2500
Jonnu Smith,TEN,2700
Scott Simonson,NYG,2500
Derek Carrier,OAK,2500
Chris Herndon,NYJ,2500
Lee Smith,OAK,2500
Luke Willson,DET,2600
MyCole Pruitt,TEN,2500
Tyler Kroft,CIN,2900
Dwayne Allen,NWE,3000
Ryan Hewitt,IND,2500
Gabe Holmes,ARI,2500
Levine Toilolo,DET,2500
Luke Stocker,TEN,2500
Jacob Hollister,NWE,2500
Durham Smythe,MIA,2500
Tyler Conklin,MIN,2500
Cole Wick,SFO,2500
Orson Charles,CLE,2500
Brian Parker,DEN,2500
Joshua Perkins,PHI,2500
