Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Status
Zach Ertz,TE,PHI,0.0,0.0,0.0,0.0,0.0,6.1,67.9,0.5, 
Travis Kelce,TE,KC,0.0,0.0,0.0,0.4,0.0,5.7,67.9,0.5, 
Jordan Reed,TE,WAS,0.0,0.0,0.0,0.0,0.0,5.2,57.4,0.5,IR
Rob Gronkowski,TE,NE,0.0,0.0,0.0,0.0,0.0,4.0,56.6,0.5, 
Jared Cook,TE,OAK,0.0,0.0,0.0,0.0,0.0,4.7,56.9,0.3, 
Eric Ebron,TE,IND,0.0,0.0,0.0,0.0,0.0,4.5,46.4,0.4, 
Jimmy Graham,TE,GB,0.0,0.0,0.0,0.0,0.0,3.9,46.6,0.5, 
George Kittle,TE,SF,0.0,0.0,0.0,0.0,0.0,4.0,50.0,0.3, 
Vance McDonald,TE,PIT,0.0,0.0,0.0,0.0,0.0,3.2,35.4,0.3, 
Kyle Rudolph,TE,MIN,0.0,0.0,0.0,0.0,0.0,3.5,34.4,0.3, 
Austin Hooper,TE,ATL,0.0,0.0,0.0,0.0,0.0,3.2,35.1,0.3, 
David Njoku,TE,CLE,0.0,0.0,0.0,0.0,0.0,3.4,37.2,0.2, 
Austin Seferian-Jenkins,TE,JAX,0.0,0.0,0.0,0.0,0.0,3.3,30.1,0.3,IR
Antonio Gates,TE,LAC,0.0,0.0,0.0,0.0,0.0,2.5,28.3,0.4, 
Ricky Seals-Jones,TE,ARI,0.0,0.0,0.0,0.0,0.0,3.0,33.8,0.2,Q
Benjamin Watson,TE,NO,0.0,0.0,0.0,0.0,0.0,2.7,28.6,0.3,Q
C.J. Uzomah,TE,CIN,0.0,0.0,0.0,0.0,0.0,2.7,27.0,0.3, 
Nick Vannett,TE,SEA,0.0,0.0,0.0,0.0,0.0,2.6,28.2,0.3, 
Rhett Ellison,TE,NYG,0.0,0.0,0.0,0.0,0.0,3.0,29.3,0.2,Q
Geoff Swaim,TE,DAL,0.0,0.0,0.0,0.0,0.0,2.7,28.7,0.2,IR
Jeff Heuerman,TE,DEN,0.0,0.0,0.0,0.0,0.0,2.6,27.7,0.2,IR
Ian Thomas,TE,CAR,0.0,0.0,0.0,0.0,0.0,2.4,25.7,0.2, 
Mike Gesicki,TE,MIA,0.0,0.0,0.0,0.0,0.0,2.3,25.1,0.2, 
Charles Clay,TE,BUF,0.0,0.0,0.0,0.0,0.0,2.6,28.7,0.1, 
Hayden Hurst,TE,BAL,0.0,0.0,0.0,0.0,0.0,2.3,25.1,0.1, 
Ryan Griffin,TE,HOU,0.0,0.0,0.0,0.0,0.0,1.8,20.4,0.2, 
Luke Willson,TE,DET,0.0,0.0,0.0,0.0,0.0,1.8,17.9,0.2,Q
Vernon Davis,TE,WAS,0.0,0.0,0.0,0.0,0.0,1.6,23.0,0.1,Q
Demetrius Harris,TE,KC,0.0,0.0,0.0,0.0,0.0,1.6,18.3,0.2, 
Dallas Goedert,TE,PHI,0.0,0.0,0.0,0.0,0.0,1.5,16.7,0.1, 
Tyler Kroft,TE,CIN,0.0,0.0,0.0,0.0,0.0,1.4,15.1,0.1,IR
Nick Boyle,TE,BAL,0.0,0.0,0.0,0.0,0.0,1.7,13.9,0.1, 
Gerald Everett,TE,LAR,0.0,0.0,0.0,0.0,0.0,1.3,14.0,0.2, 
Luke Stocker,TE,TEN,0.0,0.0,0.0,0.0,0.0,1.4,15.5,0.1,Q
Jordan Akins,TE,HOU,0.0,0.0,0.0,0.0,0.0,1.3,14.7,0.1, 
Jason Croom,TE,BUF,0.0,0.0,0.0,0.0,0.0,1.4,16.1,0.1, 
Virgil Green,TE,LAC,0.0,0.0,0.0,0.0,0.0,1.2,12.5,0.2, 
Mark Andrews,TE,BAL,0.0,0.0,0.0,0.0,0.0,1.3,14.8,0.1, 
Darrell Daniels,TE,ARI,0.0,0.0,0.0,0.0,0.0,1.2,12.9,0.1, 
Matt LaCosse,TE,DEN,0.0,0.0,0.0,0.0,0.0,1.3,14.3,0.1, 
Jordan Leggett,TE,NYJ,0.0,0.0,0.0,0.0,0.0,1.3,14.1,0.1, 
Chris Herndon,TE,NYJ,0.0,0.0,0.0,0.0,0.0,1.3,14.5,0.1, 
Jonnu Smith,TE,TEN,0.0,0.0,0.0,0.0,0.0,1.2,12.8,0.1,IR
Jesse James,TE,PIT,0.0,0.0,0.0,0.0,0.0,1.1,12.6,0.1, 
Darren Fells,TE,CLE,0.0,0.0,0.0,0.0,0.0,1.2,12.7,0.1, 
Lance Kendricks,TE,GB,0.0,0.0,0.0,0.0,0.0,1.1,11.5,0.1, 
Maxx Williams,TE,BAL,0.0,0.0,0.0,0.5,0.0,1.1,11.5,0.1, 
James O'Shaughnessy,TE,JAX,0.0,0.0,0.0,0.0,0.0,1.0,11.2,0.1, 
Josh Hill,TE,NO,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.1, 
Tyler Higbee,TE,LAR,0.0,0.0,0.0,0.0,0.0,0.9,10.0,0.1, 
Durham Smythe,TE,MIA,0.0,0.0,0.0,0.0,0.0,0.9,10.0,0.1, 
Levine Toilolo,TE,DET,0.0,0.0,0.0,0.0,0.0,0.9,9.4,0.1, 
Eric Tomlinson,TE,NYJ,0.0,0.0,0.0,0.0,0.0,0.9,9.6,0.1,IR
Jacob Hollister,TE,NE,0.0,0.0,0.0,0.0,0.0,0.7,7.7,0.1,IR
David Morgan,TE,MIN,0.0,0.0,0.0,0.0,0.0,0.8,8.2,0.1, 
Garrett Celek,TE,SF,0.0,0.0,0.0,0.0,0.0,0.6,7.3,0.1,Q
Jermaine Gresham,TE,ARI,0.0,0.0,0.0,0.0,0.0,0.6,6.6,0.0, 
Rico Gathers,TE,DAL,0.0,0.0,0.0,0.0,0.0,0.6,6.8,0.0, 
Logan Thomas,TE,BUF,0.0,0.0,0.0,0.0,0.0,0.6,6.5,0.0, 
Logan Paulsen,TE,ATL,0.0,0.0,0.0,0.0,0.0,0.5,5.5,0.0, 
Derek Carrier,TE,OAK,0.0,0.0,0.0,0.0,0.0,0.5,5.7,0.0,Q
Lee Smith,TE,OAK,0.0,0.0,0.0,0.0,0.0,0.5,5.6,0.0, 
Jordan Thomas,TE,HOU,0.0,0.0,0.0,0.0,0.0,0.4,5.0,0.0, 
Blake Jarwin,TE,DAL,0.0,0.0,0.0,0.0,0.0,0.4,4.6,0.0, 
Tyler Conklin,TE,MIN,0.0,0.0,0.0,0.0,0.0,0.3,2.7,0.0, 
Mason Schreck,TE,CIN,0.0,0.0,0.0,0.0,0.0,0.2,2.5,0.0,IR
Josh Perkins,TE,PHI,0.0,0.0,0.0,0.0,0.0,0.2,2.8,0.0,IR
Seth DeValve,TE,CLE,0.0,0.0,0.0,0.0,0.0,0.2,2.5,0.0, 
Chris Manhertz,TE,CAR,0.0,0.0,0.0,0.0,0.0,0.2,2.2,0.0, 
Xavier Grimble,TE,PIT,0.0,0.0,0.0,0.0,0.0,0.1,1.4,0.0, 
Eric Saubert,TE,ATL,0.0,0.0,0.0,0.0,0.0,0.1,1.4,0.0, 
Dwayne Allen,TE,NE,0.0,0.0,0.0,0.0,0.0,0.1,1.3,0.0, 
Jeremy Sprinkle,TE,WAS,0.0,0.0,0.0,0.0,0.0,0.1,1.3,0.0, 
Marcedes Lewis,TE,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
MyCole Pruitt,TE,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
Nick O'Leary,TE,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
Cole Wick,TE,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IR
Brian Parker,TE,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
Sean Culkin,TE,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
Gabe Holmes,TE,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
Johnny Mundt,TE,LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
Garrett Dickerson,TE,NYG,,,,,,,,, 
