Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,POS
Jordan Akins,HOU,1.0,0.04,0.0,1.46,14.18,0.09,TE
Dwayne Allen,NE,1.0,0.03,0.0,0.48,4.35,0.03,TE
Mark Andrews,BAL,1.0,0.04,0.0,1.19,15.15,0.1,TE
Nick Boyle,BAL,1.0,0.07,0.0,2.41,22.37,0.1,TE
Derek Carrier,OAK,1.0,0.03,0.0,0.51,4.89,0.03,TE
Garrett Celek,SF,1.0,0.03,0.0,0.89,10.89,0.07,TE
Charles Clay,BUF,1.0,0.15,0.0,3.36,34.79,0.19,TE
Tyler Conklin,MIN,1.0,0.03,0.0,0.22,2.89,0.03,TE
Jared Cook,OAK,1.0,0.07,0.0,4.64,58.11,0.38,TE
Jason Croom,BUF,1.0,0.03,0.0,1.11,13.15,0.07,TE
Sean Culkin,LAC,1.0,0.02,0.0,0.16,2.0,0.02,TE
Darrell Daniels,ARI,1.0,0.03,0.0,0.49,4.97,0.04,TE
Vernon Davis,WAS,1.0,0.11,0.0,1.81,23.24,0.15,TE
Seth DeValve,CLE,1.0,0.02,0.0,0.88,11.73,0.08,TE
Garrett Dickerson,NYG,1.0,0.02,0.0,0.03,0.32,0.01,TE
Eric Ebron,IND,1.0,0.06,0.0,6.4,74.76,0.47,TE
Rhett Ellison,NYG,1.0,0.09,0.0,2.97,27.94,0.18,TE
Zach Ertz,PHI,1.0,0.08,0.0,6.25,68.47,0.41,TE
Gerald Everett,LAR,1.0,0.08,0.0,0.94,8.71,0.06,TE
Darren Fells,CLE,1.0,0.05,0.0,0.89,9.67,0.07,TE
Antonio Gates,LAC,1.0,0.01,0.0,2.49,26.94,0.18,TE
Rico Gathers,DAL,1.0,0.04,0.0,0.51,6.3,0.05,TE
Mike Gesicki,MIA,1.0,0.09,0.0,1.47,17.4,0.12,TE
Dallas Goedert,PHI,1.0,0.13,0.0,1.82,21.57,0.14,TE
Jimmy Graham,GB,1.0,0.11,0.0,4.15,43.06,0.36,TE
Virgil Green,LAC,1.0,0.09,0.0,1.59,17.76,0.1,TE
Jermaine Gresham,ARI,1.0,0.04,0.0,1.5,15.88,0.1,TE
Ryan Griffin,HOU,1.0,0.06,0.0,2.3,23.63,0.13,TE
Xavier Grimble,PIT,1.0,0.03,0.0,0.26,3.15,0.03,TE
Rob Gronkowski,NE,1.0,0.07,0.0,4.5,59.52,0.41,TE
Clark Harris,CIN,1.0,0.03,0.0,0.05,1.53,0.02,TE
Demetrius Harris,KC,1.0,0.02,0.0,1.44,17.65,0.11,TE
Chris Herndon,NYJ,1.0,0.13,0.0,1.49,16.13,0.09,TE
Jeff Heuerman,DEN,1.0,0.08,0.0,2.86,27.54,0.19,TE
Ryan Hewitt,IND,1.0,0.02,0.0,0.37,2.63,0.03,TE
Tyler Higbee,LAR,1.0,0.06,0.0,1.24,13.23,0.09,TE
Josh Hill,NO,1.0,0.11,0.0,1.63,17.69,0.09,TE
Jacob Hollister,NE,1.0,0.19,0.0,0.39,4.72,0.03,TE
Gabe Holmes,ARI,1.0,0.02,0.0,0.2,2.17,0.02,TE
Austin Hooper,ATL,1.0,0.05,0.0,2.82,28.51,0.23,TE
Hayden Hurst,BAL,1.0,0.08,0.0,0.67,6.88,0.06,TE
Jesse James,PIT,1.0,0.03,0.0,1.5,17.23,0.16,TE
Blake Jarwin,DAL,1.0,0.08,0.0,0.56,6.29,0.05,TE
Travis Kelce,KC,1.0,0.11,0.0,5.73,74.22,0.51,TE
Lance Kendricks,GB,1.0,0.03,0.0,0.83,7.57,0.06,TE
George Kittle,SF,1.0,0.15,0.0,5.14,64.11,0.38,TE
Tyler Kroft,CIN,1.0,0.07,0.0,2.29,25.26,0.13,TE
Matt LaCosse,DEN,1.0,0.03,0.0,0.18,2.16,0.02,TE
Jordan Leggett,NYJ,1.0,0.13,0.0,1.45,13.3,0.11,TE
Marcedes Lewis,GB,1.0,0.05,0.0,0.31,3.62,0.03,TE
Chris Manhertz,CAR,1.0,0.04,0.0,0.18,1.92,0.01,TE
Vance McDonald,PIT,1.0,0.22,0.0,4.15,46.79,0.28,TE
David Morgan,MIN,1.0,0.05,0.0,0.49,5.01,0.04,TE
Johnny Mundt,LAR,1.0,0.03,0.0,0.16,2.24,0.02,TE
