Player,Bye,Proj,Actual,Att,Att,Comp,Inc,Yds,Yds,Yds,Yds,TD,TD,TD,TD,Int,Pick Six,Sack,1st Downs,1st Downs,1st Downs,40 Yd Cmp,Att,Att,Yds,Yds,Yds,Yds,TD,TD,TD,TD,1st Downs,1st Downs,1st Downs,40 Yd Att,Tgt*,Rec,Yds,Yds,Yds,Yds,TD,TD,TD,TD,1st Downs,1st Downs,1st Downs,40 Yd Rec,Yds,Yds,Yds,Yds,TD,TD,TD,TD,2PT,Tot,Lost,POS
Player Note Z. Ertz Phi - TE Final (L) 23-21 vs Min,9,58,58,0.0,0.0,0.0,0.0,0.0,0.0,64.5,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,64.5,0.0,0.0,0.0,0.6,0.0,0.0,0.0,3.9,0.0,8.0,5.6,0.0,0.0,64.5,0.0,0.0,0.0,0.6,0.0,0.0,0.0,3.9,0.0,0.0,0.0,64.5,0.0,0.0,0.0,0.6,0.0,0.1,0.1,0.1,TE
Player Note T. Kelce KC - TE Final (W) 30-14 vs Jax,12,61,61,0.0,0.0,0.0,0.0,0.0,0.0,67.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,67.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.8,0.0,7.5,5.4,0.0,0.0,67.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.8,0.0,0.0,0.0,67.3,0.0,0.0,0.0,0.5,0.0,0.1,0.1,0.1,TE
Player Note R. Gronkowski NE - TE Final (W) 38-24 vs Ind,11,82,82,0.0,0.0,0.0,0.0,0.0,0.0,58.6,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,58.6,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.2,0.0,5.2,3.8,0.0,0.0,58.6,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.2,0.0,0.0,0.0,58.6,0.0,0.0,0.0,0.5,0.0,0.1,0.1,0.0,TE
No new player Notes J. Reed Was - TE IR Final (L) 43-19 @ NO,4,93,93,0.0,0.0,0.0,0.0,0.0,0.0,53.3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,53.3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,3.5,0.0,7.0,5.0,0.0,0.0,53.3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,3.5,0.0,0.0,0.0,53.3,0.0,0.0,0.0,0.4,0.0,0.0,0.1,0.0,TE
No new player Notes J. Graham GB - TE Final (L) 31-23 @ Det,7,95,95,0.0,0.0,0.0,0.0,0.0,0.0,50.4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,50.4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.9,0.0,6.1,4.1,0.0,0.0,50.4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.9,0.0,0.0,0.0,50.4,0.0,0.0,0.0,0.5,0.0,0.1,0.1,0.0,TE
No new player Notes J. Cook Oak - TE Final (L) 26-10 @ LAC,7,122,122,0.0,0.0,0.0,0.0,0.0,0.0,55.4,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,55.4,0.0,0.0,0.0,0.3,0.0,0.0,0.0,3.5,0.0,7.5,4.9,0.0,0.0,55.4,0.0,0.0,0.0,0.3,0.0,0.0,0.0,3.5,0.0,0.0,0.0,55.4,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.0,TE
Player Note E. Ebron Ind - TE Final (L) 38-24 @ NE,9,127,127,0.0,0.0,0.0,0.0,0.0,0.0,49.8,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,49.8,0.0,0.0,0.0,0.3,0.0,0.0,0.0,3.5,0.0,7.8,5.0,0.0,0.0,49.8,0.0,0.0,0.0,0.3,0.0,0.0,0.0,3.5,0.0,0.0,0.0,49.8,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.0,TE
No new player Notes K. Rudolph Min - TE Final (W) 23-21 @ Phi,10,151,151,0.0,0.0,0.0,0.0,0.0,0.0,37.1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,37.1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.6,0.0,5.4,3.7,0.0,0.0,37.1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.6,0.0,0.0,0.0,37.1,0.0,0.0,0.0,0.5,0.0,0.0,0.1,0.0,TE
No new player Notes G. Kittle SF - TE Final (L) 28-18 vs Ari,11,181,181,0.0,0.0,0.0,0.0,0.0,0.0,40.4,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,40.4,0.0,0.0,0.0,0.3,0.0,0.0,0.0,2.8,0.0,6.0,3.8,0.0,0.0,40.4,0.0,0.0,0.0,0.3,0.0,0.0,0.0,2.8,0.0,0.0,0.0,40.4,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.0,TE
No new player Notes V. McDonald Pit - TE Final (W) 41-17 vs Atl,7,198,198,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,2.2,0.0,4.3,3.2,0.0,0.0,38.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,2.2,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.4,0.0,0.0,0.1,0.0,TE
