Player,Team,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,2PT
Antonio Gates,LAC,2.265,25.006666666666664,0.21333333333333335,0,0,0,0.0025,0.0,0.0
Austin Hooper,ATL,2.953333333333333,31.61833333333333,0.205,0,0,0,0.0125,0.0,0.0
Austin Seferian-Jenkins,JAX,2.975,29.198333333333334,0.19666666666666666,0,0,0,0.015,0.0,0.0
Benjamin Watson,NO,2.754042300870223,32.283383482009484,0.2050280333575624,0,0,0,0.025,0.0,0.0
Blake Jarwin,DAL,0.7599999999999999,7.7316666666666665,0.025000000000000005,0,0,0,0.02,0.0,0.0
Brian Parker,DEN,0.1035471387123512,1.2247351881609807,0.003992940444841075,0,0,0,0.0075,0.0,0.0
C.J. Uzomah,CIN,2.7916666666666665,29.555000000000003,0.165,0,0,0,0.0175,0.0,0.0
Charles Clay,BUF,2.7600000000000002,29.14833333333333,0.09833333333333334,0,0,0,0.0375,0.0,0.0
Chris Herndon,NYJ,1.415,14.938333333333333,0.08166666666666667,0,0,0,0.0325,0.0,0.0
Chris Manhertz,CAR,0.2193063864688044,2.7008995183761777,0.0019964702224205375,0,0,0,0.01,0.0,0.0
Clark Harris,CIN,0.007622002801334093,0.24767538738697334,0.0049698618071354886,0,0,0,0.009809198062676444,0.0,0.0
Cole Wick,TEN,0.029526627890597446,0.6417357529006249,0.0050585652532909664,0,0,0,0.0075,0.0,0.0
Dallas Goedert,PHI,2.2533333333333334,24.078333333333337,0.14,0,0,0,0.0325,0.0,0.0
Darrell Daniels,ARI,0.4632838549324627,4.29758866575327,0.027448190268353406,0,0,0,0.0075,0.0,0.0
Darren Fells,CLE,1.0661761875318143,11.090187813251037,0.09401058933273841,0,0,0,0.0125,0.0,0.0
David Morgan,MIN,0.6747930188527244,5.849056870703187,0.09036293173997034,0,0,0,0.0125,0.0,0.0
David Njoku,CLE,3.591666666666667,38.09,0.37666666666666665,0,0,0,0.01,0.0,0.0
Demetrius Harris,KC,1.2066666666666666,13.391666666666666,0.10166666666666667,0,0,0,0.005,0.0,0.0
Derek Carrier,OAK,0.7876730780566743,8.14976472286271,0.004217135985406642,0,0,0,0.0075,0.0,0.0
Durham Smythe,MIA,0.411938715691677,3.8552988163744097,0.023455249823512284,0,0,0,0.0075,0.0,0.0
Dwayne Allen,NE,0.6966666666666667,6.908333333333334,0.021666666666666667,0,0,0,0.0075,0.0,0.0
Eric Ebron,IND,4.866666666666667,54.61000000000001,0.5116666666666666,0,0,0,0.015,0.0,0.0
Eric Saubert,ATL,0.2182104618515032,3.4696699405628375,0.00399294044484108,0,0,0,0.0075,0.0,0.0
Eric Tomlinson,NYJ,0.5697890792484439,6.939262744589726,0.06114079295308942,0,0,0,0.0075,0.0,0.0
Erik Swoope,IND,0.4300141445687095,4.920538937099893,0.06705646727676386,0,0,0,0.00653946537511763,0.0,0.0
Gabe Holmes,ARI,0.06122230494672617,0.7817442598909453,0.00673202924237355,0,0,0,0.008409895076870814,0.0,0.0
Garrett Celek,SF,0.9649999999999999,11.031666666666666,0.09500000000000001,0,0,0,0.0075,0.0,0.0
Garrett Dickerson,NYG,0.04531910163262413,0.9419773951844318,0.002484930903567751,0,0,0,0.00653946537511763,0.0,0.0
Geoff Swaim,DAL,2.4074957046602488,25.43804902061454,0.17779365944906014,0,0,0,0.0125,0.0,0.0
George Kittle,SF,4.506666666666667,55.968333333333334,0.4466666666666666,0,0,0,0.0375,0.0,0.0
Gerald Everett,LAR,1.0399999999999998,12.101666666666667,0.07666666666666667,0,0,0,0.045,0.0,0.0
Hayden Hurst,BAL,2.2008962558962604,23.25577098084672,0.13259079711669527,0,0,0,0.02,0.0,0.0
Ian Thomas,CAR,2.578333333333333,26.17833333333333,0.15500000000000003,0,0,0,0.0175,0.0,0.0
Jacob Hollister,NE,0.7927519520313506,8.611154684737118,0.08855628764842317,0,0,0,0.1225,0.0,0.0
James O'Shaughnessy,JAX,0.8742783095781846,10.138303301838361,0.05463699151423376,0,0,0,0.0075,0.0,0.0
Jared Cook,OAK,4.740000000000001,58.63499999999999,0.42999999999999994,0,0,0,0.0175,0.0,0.0
Jason Croom,BUF,1.3888038080553369,14.549239919227595,0.12429950465451972,0,0,0,0.0075,0.0,0.0
Jeff Heuerman,DEN,2.692932357243457,28.220172253023094,0.13819051150022685,0,0,0,0.02,0.0,0.0
Jeremy Sprinkle,WAS,0.13994784592823187,1.910963714437118,0.003992940444841078,0,0,0,0.005,0.0,0.0
Jermaine Gresham,ARI,1.2694004099956546,13.145031873505097,0.09424178965117525,0,0,0,0.01,0.0,0.0
Jesse James,PIT,1.3500000000000003,15.121666666666668,0.09333333333333334,0,0,0,0.0075,0.0,0.0
Jimmy Graham,GB,4.291666666666667,48.876666666666665,0.5766666666666667,0,0,0,0.0275,0.0,0.0
Johnny Mundt,LAR,0.04897784395703201,0.8069618162560831,0.00673202924237355,0,0,0,0.012614842615306222,0.0,0.0
Jonnu Smith,TEN,1.8437734351555843,18.954126073428526,0.12189155429081226,0,0,0,0.0175,0.0,0.0
Jordan Akins,HOU,1.2766666666666666,13.213333333333333,0.08166666666666667,0,0,0,0.01,0.0,0.0
Jordan Leggett,NYJ,1.2416666666666667,11.25,0.10166666666666667,0,0,0,0.0325,0.0,0.0
Jordan Reed,WAS,5.467009720721992,59.20194373252872,0.5310511842504958,0,0,0,0.0175,0.0,0.0
Jordan Thomas,HOU,1.1306979086783358,13.34991877366641,0.08882185737655894,0,0,0,0.0325,0.0,0.0
Josh Hill,NO,1.1300368859798597,11.042879995684766,0.07862494810013572,0,0,0,0.0,0.0,0.0
Josh Perkins,PHI,0.28633447499609826,3.9885689775892637,0.017426998636394145,0,0,0,0.012614842615306224,0.0,0.0
Kyle Rudolph,MIN,4.196666666666666,42.965,0.2816666666666667,0,0,0,0.0125,0.0,0.0
Lance Kendricks,GB,1.1383333333333334,11.928333333333333,0.07666666666666667,0,0,0,0.0075,0.0,0.0
Lee Smith,OAK,0.313543819461095,2.8894469231434776,0.0039929404448411044,0,0,0,0.0075,0.0,0.0
Levine Toilolo,DET,0.6253561585999844,6.083303015721939,0.05663346173665434,0,0,0,0.0075,0.0,0.0
Logan Paulsen,ATL,0.39853896019991736,4.284945112208773,0.026794984174488595,0,0,0,0.0175,0.0,0.0
Logan Thomas,BUF,0.5937267931532848,6.311455659281825,0.006023780076967641,0,0,0,0.0075,0.0,0.0
Luke Stocker,TEN,1.4767088821864605,14.938580337448514,0.1093949363156566,0,0,0,0.0175,0.0,0.0
Luke Willson,DET,1.635,16.481666666666666,0.09833333333333333,0,0,0,0.0175,0.0,0.0
Marcedes Lewis,GB,0.20193866403495078,2.4671304247357795,0.004217135985434273,0,0,0,0.0125,0.0,0.0
Mark Andrews,BAL,1.4036070304052473,15.836895497943082,0.09999999999999999,0,0,0,0.01,0.0,0.0
Mason Schreck,CIN,0.23143045115709174,2.487062152729553,0.003992940444841113,0,0,0,0.01,0.0,0.0
Matt LaCosse,DEN,0.8403219368421677,8.293831925441518,0.06645448352949494,0,0,0,0.012614842615306224,0.0,0.0
Maxx Williams,BAL,1.46,14.723333333333334,0.07833333333333335,0,0,0,0.8425,0.0025,0.0
Mike Gesicki,MIA,2.2116666666666664,23.46666666666667,0.1366666666666667,0,0,0,0.0225,0.0,0.0
MyCole Pruitt,TEN,0.10568965923072805,2.2765095881312694,0.0019964702224205566,0,0,0,0.0075,0.0,0.0
Nick Boyle,BAL,1.6516666666666666,15.678333333333333,0.06666666666666667,0,0,0,0.0175,0.0,0.0
Nick O'Leary,MIA,0.5272584512018704,6.921597798820344,0.03582820463219552,0,0,0,0.0075,0.0,0.0
Nick Vannett,SEA,2.6366666666666667,28.221666666666664,0.17500000000000002,0,0,0,0.015,0.0,0.0
Rhett Ellison,NYG,2.6950000000000003,26.689999999999998,0.16333333333333333,0,0,0,0.0225,0.0,0.0
Ricky Seals-Jones,ARI,2.7266666666666666,32.74666666666666,0.39333333333333337,0,0,0,0.0075,0.0,0.0
Rico Gathers,DAL,0.4169697012075955,4.506657160913243,0.009982351112102746,0,0,0,0.01,0.0,0.0
Rob Gronkowski,NE,4.033333333333333,58.60333333333333,0.40166666666666667,0,0,0,0.0175,0.0,0.0
Ryan Griffin,HOU,1.8166666666666664,20.388333333333332,0.12166666666666666,0,0,0,0.015,0.0,0.0
Ryan Hewitt,IND,0.3152325839726901,3.4932831004305176,0.007454792710703261,0,0,0,0.00653946537511763,0.0,0.0
Sean Culkin,LAC,0.11322658736860763,2.387018949197563,0.004979142467541191,0,0,0,0.008409895076870814,0.0,0.0
Seth DeValve,CLE,0.46950752410560104,7.108891540773931,0.037171152357983316,0,0,0,0.005,0.0,0.0
Travis Kelce,KC,5.9383333333333335,69.70333333333333,0.585,0,0,0,0.1275,0.0,0.0
Tyler Conklin,MIN,0.24078091099027146,2.303075858653204,0.0075878478799364935,0,0,0,0.0075,0.0,0.0
Tyler Higbee,LAR,1.1066666666666667,13.455,0.08166666666666667,0,0,0,0.015,0.0,0.0
Tyler Kroft,CIN,2.0792924046469383,20.648087598716483,0.12585785556674625,0,0,0,0.0175,0.0,0.0
Vance McDonald,PIT,3.6750000000000003,43.848333333333336,0.48000000000000004,0,0,0,0.055,0.0,0.0
Vernon Davis,WAS,1.785,24.956666666666663,0.09166666666666667,0,0,0,0.0275,0.0,0.0
Virgil Green,LAC,1.5316666666666665,16.993333333333336,0.09999999999999999,0,0,0,0.0225,0.0,0.0
Xavier Grimble,PIT,0.16995680809407546,1.6908407830371857,0.005989410667261646,0,0,0,0.0075,0.0,0.0
Zach Ertz,PHI,6.075,68.245,0.5683333333333334,0,0,0,0.02,0.0,0.0
