Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Block,Return Yds,Pts Allow,Pts Allow 0,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
San Francisco 49ers,SF,1.0,3.0,0.0,0.0,0.0,0.0,0.0,138.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,521.0,0.0,0.0,0.0,0.0,0.0,1.0,DST
Chicago Bears,CHI,1.0,0.0,2.0,1.0,1.0,0.0,0.0,21.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,541.0,0.0,0.0,0.0,0.0,0.0,1.0,DST
Cincinnati Bengals,CIN,1.0,0.0,0.0,0.0,1.0,0.0,0.0,128.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,481.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Buffalo Bills,BUF,1.0,7.0,2.0,1.0,3.0,0.0,0.0,51.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,216.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,5.0,1.0,0.0,0.0,0.0,0.0,48.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,444.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,1.0,1.0,0.0,0.0,0.0,0.0,171.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,449.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,1.0,0.0,0.0,1.0,0.0,0.0,55.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,417.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,4.0,1.0,1.0,1.0,1.0,0.0,77.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,411.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,5.0,2.0,0.0,0.0,0.0,0.0,83.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,317.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,2.0,0.0,1.0,2.0,0.0,0.0,190.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,500.0,0.0,0.0,0.0,0.0,0.0,1.0,DST
Indianapolis Colts,IND,1.0,2.0,1.0,1.0,2.0,0.0,0.0,50.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,374.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,3.0,1.0,1.0,1.0,0.0,0.0,9.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,204.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,467.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Philadelphia Eagles,PHI,1.0,4.0,1.0,0.0,1.0,0.0,0.0,81.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,401.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,2.0,2.0,0.0,0.0,0.0,0.0,33.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,510.0,0.0,0.0,0.0,0.0,0.0,1.0,DST
New York Giants,NYG,1.0,1.0,0.0,0.0,1.0,0.0,0.0,58.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,379.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,3.0,0.0,0.0,0.0,0.0,0.0,29.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,378.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,0.0,3.0,1.0,1.0,1.0,0.0,75.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,428.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,2.0,1.0,2.0,2.0,0.0,0.0,47.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,401.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,3.0,0.0,0.0,1.0,0.0,0.0,38.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,288.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
New England Patriots,NE,1.0,0.0,2.0,0.0,0.0,0.0,0.0,30.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,446.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,369.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Rams,LA,1.0,2.0,1.0,0.0,1.0,0.0,0.0,60.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,357.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,11.0,0.0,0.0,1.0,0.0,0.0,70.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,1.0,1.0,2.0,3.0,0.0,0.0,34.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,350.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,6.0,0.0,2.0,3.0,0.0,0.0,23.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,185.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,3.0,0.0,0.0,0.0,0.0,0.0,70.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,275.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Houston Texans,HOU,1.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,229.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,361.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,4.0,1.0,1.0,1.0,0.0,0.0,43.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,268.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
