Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Return TD,Fum Lost,2PT,Tack,Ast,Sack,Frc Fum,Fum Rec,Pass Def,POS
Josh Adams,PHI,1.0,13.23,0.08,0.45,2.47,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Javorius Allen,BAL,1.0,30.38,0.21,2.82,23.49,0.06,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
C.J. Anderson,LA,1.0,17.47,0.1,0.48,3.95,0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Alex Armah,CAR,1.0,1.8,0.02,0.12,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Peyton Barber,TB,1.0,46.93,0.37,1.33,9.25,0.05,0.0,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB
Saquon Barkley,NYG,1.0,70.97,0.37,5.69,47.92,0.28,0.0,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB
Kenjon Barner,CAR,1.0,3.4,0.03,0.27,2.1,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Kapri Bibbs,GB,1.0,8.75,0.06,0.95,8.74,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Alfred Blue,HOU,1.0,26.99,0.15,1.27,11.48,0.04,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Tommy Bohanon,JAX,1.0,0.0,0.0,0.62,4.12,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Brandon Bolden,MIA,1.0,4.6,0.03,0.37,4.7,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Devontae Booker,DEN,1.0,11.21,0.06,2.26,19.23,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Mike Boone,MIN,1.0,7.25,0.06,0.44,3.18,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Malcolm Brown,LA,1.0,12.99,0.08,0.56,4.33,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Trenton Cannon,NYJ,1.0,2.4,0.03,0.45,4.33,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Chris Carson,SEA,1.0,73.2,0.43,2.27,21.62,0.12,0.0,0.14,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jamaal Charles,,1.0,10.25,0.05,1.55,11.57,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Nick Chubb,CLE,1.0,13.8,0.11,0.48,4.5,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Corey Clement,PHI,1.0,28.65,0.24,2.12,17.59,0.11,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB
Tarik Cohen,CHI,1.0,28.74,0.16,3.74,32.73,0.14,0.04,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB
Derrick Coleman,ARI,1.0,0.0,0.0,0.25,1.36,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Tevin Coleman,ATL,1.0,67.05,0.42,2.57,21.31,0.15,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB
Alex Collins,BAL,1.0,53.21,0.32,2.37,21.14,0.11,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
James Conner,PIT,1.0,75.84,0.51,3.93,36.34,0.1,0.0,0.13,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB
Isaiah Crowell,NYJ,1.0,52.54,0.37,1.31,12.11,0.03,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Benny Cunningham,CHI,1.0,2.52,0.01,0.81,6.8,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Justin Davis,LA,1.0,0.27,0.01,0.39,3.14,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Mike Davis,SEA,1.0,31.28,0.22,1.81,16.42,0.07,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
James Develin,NE,1.0,0.07,0.01,0.84,5.34,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Patrick DiMarco,BUF,1.0,0.0,0.0,0.27,1.96,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Kenyan Drake,MIA,1.0,36.66,0.2,2.66,21.68,0.13,0.0,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB
Chase Edmonds,ARI,1.0,12.54,0.07,1.14,7.89,0.05,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Gus Edwards,BAL,1.0,4.66,0.03,0.41,2.85,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Austin Ekeler,LAC,1.0,28.26,0.21,2.36,22.7,0.12,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Ezekiel Elliott,DAL,1.0,86.1,0.52,2.98,28.74,0.17,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Tyler Ervin,BAL,1.0,2.34,0.02,0.36,2.9,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
David Fluellen,TEN,1.0,1.71,0.01,0.32,3.3,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Royce Freeman,DEN,1.0,47.6,0.39,1.31,10.47,0.05,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB
Wayne Gallman,NYG,1.0,13.12,0.06,1.12,9.07,0.04,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Melvin Gordon,LAC,1.0,76.28,0.48,4.91,43.63,0.29,0.0,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB
Frank Gore,MIA,1.0,42.29,0.2,1.19,10.32,0.06,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Todd Gurley,LA,1.0,93.14,0.81,4.48,45.06,0.29,0.0,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0,RB
C.J. Ham,MIN,1.0,0.26,0.01,0.95,6.92,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Derrick Henry,TEN,1.0,55.63,0.31,1.26,10.63,0.05,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB
Nyheim Hines,IND,1.0,23.47,0.15,4.17,33.76,0.14,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jordan Howard,CHI,1.0,55.66,0.37,1.67,13.15,0.03,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
