Player,Team,GP,Rush Yds,Receptions,Rec Yds,Rec TD,POS
Jordan Akins,HOU,1.0,0.03,1.12,11.05,0.08,TE
Mo Alie-Cox,IND,1.0,0.04,0.57,5.76,0.04,TE
Dwayne Allen,NE,1.0,0.03,0.19,2.72,0.03,TE
Mark Andrews,BAL,1.0,0.04,1.45,17.24,0.1,TE
Antony Auclair,TB,1.0,0.03,0.14,1.21,0.02,TE
Nick Boyle,BAL,1.0,0.06,1.94,17.94,0.1,TE
Cameron Brate,TB,1.0,0.03,2.04,23.45,0.17,TE
Ben Braunecker,CHI,1.0,0.03,0.07,1.6,0.01,TE
Daniel Brown,CHI,1.0,0.03,0.16,2.07,0.02,TE
Trey Burton,CHI,1.0,0.67,2.79,36.14,0.24,TE
Derek Carrier,OAK,1.0,0.03,0.52,4.38,0.04,TE
Garrett Celek,SF,1.0,0.03,0.88,9.6,0.09,TE
Charles Clay,BUF,1.0,0.14,3.02,33.09,0.19,TE
Tyler Conklin,MIN,1.0,0.03,0.21,3.03,0.03,TE
Jared Cook,OAK,1.0,0.07,4.85,55.62,0.37,TE
Jason Croom,BUF,1.0,0.03,1.16,13.15,0.09,TE
Alan Cross,TB,1.0,0.03,0.11,1.35,0.02,TE
Sean Culkin,LAC,1.0,0.03,0.11,0.66,0.01,TE
Darrell Daniels,ARI,1.0,0.06,0.68,6.68,0.06,TE
Vernon Davis,WAS,1.0,0.11,1.56,19.75,0.08,TE
Seth DeValve,CLE,1.0,0.03,0.6,8.09,0.06,TE
Garrett Dickerson,NYG,1.0,0.04,0.67,5.65,0.05,TE
Eric Ebron,IND,1.0,0.09,5.77,65.14,0.46,TE
Zach Ertz,PHI,1.0,0.08,6.25,70.15,0.44,TE
Gerald Everett,LAR,1.0,0.09,1.19,11.47,0.08,TE
Darren Fells,CLE,1.0,0.06,0.78,9.17,0.06,TE
Anthony Firkser,TEN,1.0,0.04,0.13,2.63,0.02,TE
Antonio Gates,LAC,1.0,0.02,2.29,26.59,0.15,TE
Rico Gathers,DAL,1.0,0.04,0.57,8.71,0.05,TE
Mike Gesicki,MIA,1.0,0.08,1.54,18.67,0.11,TE
Dallas Goedert,PHI,1.0,0.14,1.91,20.84,0.09,TE
Jimmy Graham,GB,1.0,0.09,4.16,49.89,0.32,TE
Virgil Green,LAC,1.0,0.12,1.67,18.47,0.11,TE
Jermaine Gresham,ARI,1.0,0.05,1.2,12.16,0.08,TE
Ryan Griffin,HOU,1.0,0.06,2.7,29.2,0.16,TE
Xavier Grimble,PIT,1.0,0.03,0.34,2.25,0.02,TE
David Grinnage,FA,1.0,0.04,0.1,1.21,0.02,TE
Rob Gronkowski,NE,1.0,0.1,4.99,63.68,0.36,TE
Clark Harris,CIN,1.0,0.03,0.05,1.74,0.02,TE
Demetrius Harris,KC,1.0,0.02,1.47,16.35,0.11,TE
Chris Herndon,NYJ,1.0,0.04,0.43,6.78,0.04,TE
Jeff Heuerman,DEN,1.0,0.06,2.49,25.7,0.17,TE
Ryan Hewitt,IND,1.0,0.03,0.1,0.84,0.02,TE
