Player,Team,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,2PT
Alan Cross,TB,0.055,0.675,0.0,0,0,0,0.0,0,0.0
Anthony Firkser,TEN,0.04346844357478346,1.0674997429448452,0.006393152560679587,0,0,0,0.008238284216254475,0,0.0
Antonio Gates,LAC,2.2,22.75,0.125,0,0,0,0.0,0,0.0
Antony Auclair,TB,0.23982554893649058,2.85,0.0,0,0,0,0.0,0,0.0
Austin Hooper,ATL,3.75,39.32,0.3,0,0,0,0.0,0,0.0
Ben Braunecker,CHI,0.085,1.4,0.0,0,0,0,0.0,0,0.0
Blake Jarwin,DAL,0.755,7.885,0.0,0,0,0,0.0,0,0.0
Brian Parker,DEN,0.07722181937619935,1.05,0.0,0,0,0,0.0,0,0.0
C.J. Uzomah,CIN,3.0,33.95,0.3,0,0,0,0.0,0,0.0
Cameron Brate,TB,2.4,27.15,0.3,0,0,0,0.0,0,0.0
Charles Clay,BUF,2.55,28.5,0.1,0,0,0,0.0,0,0.0
Chris Herndon,NYJ,0.95,10.2,0.1,0,0,0,0.0,0,0.0
Chris Manhertz,CAR,0.11192072519393356,1.1600000000000001,0.0,0,0,0,0.0,0,0.0
Clark Harris,CIN,0.00567675274762185,0.0,0.002103789751013529,0,0,0,0.005038897191253943,0,0.0
Dallas Goedert,PHI,2.0,23.15,0.1,0,0,0,0.0,0,0.0
Daniel Brown,CHI,0.04474800144917143,0.85,0.0,0,0,0,0.0,0,0.0
Darrell Daniels,ARI,1.4910027474906287,15.170455749882548,0.2,0,0,0,0.0,0,0.0
Darren Fells,CLE,0.89,10.835,0.1,0,0,0,0.0,0,0.0
David Morgan,MIN,0.6752017508356124,6.37,0.042598808120372686,0,0,0,0.0,0,0.0
David Njoku,CLE,4.2,45.095,0.305,0,0,0,0.0,0,0.0
Demetrius Harris,KC,1.1,12.399999999999999,0.1,0,0,0,0.0,0,0.0
Derek Carrier,OAK,0.75,6.64177047195403,0.1,0,0,0,0.0,0,0.0
Dion Sims,CHI,0.55,5.4,0.0,0,0,0,0.0,0,0.0
Durham Smythe,MIA,0.24643740081372992,3.505,0.0,0,0,0,0.0,0,0.0
Dwayne Allen,NE,0.23730438167986734,3.16,0.065,0,0,0,0.0,0,0.0
Eric Ebron,IND,4.85,56.45,0.5,0,0,0,0.0,0,0.0
Eric Saubert,ATL,0.25,2.98,0.0,0,0,0,0.0,0,0.0
Eric Tomlinson,NYJ,0.8068368127015733,10.31136229296434,0.010277379388790038,0,0,0,0.0,0,0.0
Erik Swoope,IND,1.3669997095206385,15.352890208954104,0.12796910659669802,0,0,0,0.005038897191253943,0,0.0
Gabe Holmes,ARI,0.11703042502363908,0.9903799906194299,0.009589728841017093,0,0,0,0.010297855270318092,0,0.0
Garrett Celek,SF,0.94,9.8,0.045,0,0,0,0.0,0,0.0
Garrett Dickerson,NYG,0.7636410937987167,7.407627786331881,0.042283922310673724,0,0,0,0.0067185295883385905,0,0.0
Geoff Swaim,DAL,2.8124983410923754,29.0,0.195,0,0,0,0.0,0,0.0
George Kittle,SF,4.5,54.3,0.365,0,0,0,0.0,0,0.0
Gerald Everett,LAR,1.245,13.95,0.1,0,0,0,0.045,0,0.0
Greg Olsen,CAR,3.4150386177985723,42.40529842510723,0.2170373912642557,0,0,0,0.0,0,0.0
Hayden Hurst,BAL,2.05,21.05,0.1,0,0,0,0.0,0,0.0
Ian Thomas,CAR,1.05,10.2,0.095,0,0,0,0.0,0,0.0
Jacob Hollister,NE,0.6035270298442659,6.30765250787872,0.1,0,0,0,0.05,0,0.0
James O'Shaughnessy,JAX,1.77,17.55,0.1,0,0,0,0.0,0,0.0
Jared Cook,OAK,4.875,55.51,0.385,0,0,0,0.0,0,0.0
Jason Croom,BUF,1.2799999999999998,14.325,0.1,0,0,0,0.0,0,0.0
Jeff Heuerman,DEN,2.597531918052348,26.587178414073463,0.15131807919987367,0,0,0,0.0,0,0.0
Jeremy Sprinkle,WAS,0.15000000000000002,1.8499999999999999,0.0,0,0,0,0.0,0,0.0
Jermaine Gresham,ARI,1.2072390484914934,13.379999999999999,0.1,0,0,0,0.0,0,0.0
Jesse James,PIT,1.695,19.75,0.1,0,0,0,0.0,0,0.0
Jimmy Graham,GB,4.13,49.295,0.5,0,0,0,0.0,0,0.0
Johnny Mundt,LAR,0.046812170015211166,0.7590207310661837,0.006393152560678057,0,0,0,0.006178713162190854,0,0.0
Jonnu Smith,TEN,1.5920544742014606,16.400466915715246,0.1,0,0,0,0.0,0,0.0
Jordan Akins,HOU,1.06,10.525,0.09,0,0,0,0.0,0,0.0
Jordan Leggett,NYJ,0.95,9.8,0.07500000000000001,0,0,0,0.0,0,0.0
Jordan Reed,WAS,4.89648656314772,52.814438556536054,0.45,0,0,0,0.0,0,0.0
Jordan Thomas,HOU,0.9974490650632513,11.32777341778736,0.057401191879621755,0,0,0,0.0,0,0.0
Josh Perkins,PHI,0.3307045176075398,3.801822480066429,0.003943847799332208,0,0,0,0.006178713162190855,0,0.0
Kyle Rudolph,MIN,3.9,42.315,0.36,0,0,0,0.0,0,0.0
Lance Kendricks,GB,0.75,8.065,0.03,0,0,0,0.0,0,0.0
Lee Smith,OAK,0.3,2.4721417326525676,0.0,0,0,0,0.0,0,0.0
Logan Paulsen,ATL,0.37035487379190213,2.941316552031452,0.012941781428791987,0,0,0,0.0,0,0.0
Logan Thomas,BUF,0.7082949204247275,7.15,0.0,0,0,0,0.0,0,0.0
Luke Stocker,TEN,0.905,9.899999999999999,0.07500000000000001,0,0,0,0.0,0,0.0
Marcedes Lewis,GB,0.18658671924831682,2.3729280219161697,0.07,0,0,0,0.0,0,0.0
Mark Andrews,BAL,1.375,15.124668000363023,0.1,0,0,0,0.0,0,0.0
Mason Schreck,CIN,0.743618317678445,8.898637708342603,0.095,0,0,0,0.0,0,0.0
Matt LaCosse,DEN,1.0139981840573933,8.424723064610127,0.085,0,0,0,0.006178713162190854,0,0.0
Matt Lengel,CIN,0.0,0.0,0.0,0,0,0,0.0,0,0.0
Maxx Williams,BAL,1.2000000000000002,12.0,0.04,0,0,0,0.56,0,0.0
Mike Gesicki,MIA,2.05,20.3,0.1,0,0,0,0.0,0,0.0
Mo Alie-Cox,IND,0.31159746643145564,3.0494151132759075,0.004207579502026233,0,0,0,0.0067185295883385905,0,0.0
MyCole Pruitt,TEN,0.055,0.9,0.0,0,0,0,0.0,0,0.0
Neal Sterling,NYJ,1.27,13.75,0.1,0,0,0,0.0,0,0.0
Nick Boyle,BAL,1.6,13.75,0.1,0,0,0,0.0,0,0.0
Nick O'Leary,MIA,0.0,0.0,0.0,0,0,0,0.0,0,0.0
O.J. Howard,TB,2.346642962735033,35.84629384817747,0.2589959048737005,0,0,0,0.0,0,0.0
Ricky Seals-Jones,ARI,2.5,29.4,0.2,0,0,0,0.0,0,0.0
Rico Gathers,DAL,0.6,6.75,0.0,0,0,0,0.0,0,0.0
Rob Gronkowski,NE,4.8,66.94999999999999,0.6,0,0,0,0.0,0,0.0
Ryan Griffin,HOU,2.5,27.15,0.13,0,0,0,0.0,0,0.0
Ryan Hewitt,IND,0.15101385277178345,2.07,0.002103789751013118,0,0,0,0.005038897191253943,0,0.0
Scott Simonson,NYG,1.865,18.25,0.1,0,0,0,0.0,0,0.0
Sean Culkin,LAC,0.15406645116884868,1.83,0.0009859619498329983,0,0,0,0.0061787131621908525,0,0.0
Seth DeValve,CLE,0.8,10.05,0.1,0,0,0,0.0,0,0.0
Travis Kelce,KC,6.12,78.75,0.5700000000000001,0,0,0,0.055,0,0.0
Trey Burton,CHI,3.481809413074431,43.633439028737456,0.27,0,0,0,0.35,0,0.0
Tyler Conklin,MIN,0.21021312386993618,2.6359281952953815,0.003451422901191606,0,0,0,0.0,0,0.0
Tyler Higbee,LAR,1.25,14.75,0.1,0,0,0,0.0,0,0.0
Vance McDonald,PIT,3.1500000000000004,39.144999999999996,0.2,0,0,0,0.0,0,0.0
Vernon Davis,WAS,2.1,26.7,0.1,0,0,0,0.0,0,0.0
Virgil Green,LAC,1.55,15.2,0.1,0,0,0,0.0,0,0.0
Xavier Grimble,PIT,0.2,2.075,0.0,0,0,0,0.0,0,0.0
Zach Ertz,PHI,6.45,70.825,0.5,0,0,0,0.0,0,0.0
