Player,Team,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,2PT
Alan Cross,TB,0.3,0.0,0.02,0,0,0,0.03,0,0.0
Anthony Firkser,TEN,0.13,0.0,0.02,0,0,0,0.04,0,0.0
Antonio Gates,LAC,2.5,22.020342978106175,0.3,0,0,0,0.02,0,0.0
Antony Auclair,TB,0.4,0.0,0.02,0,0,0,0.03,0,0.0
Austin Hooper,ATL,4.05,43.1,0.4,0,0,0,0.09,0,0.0
Ben Braunecker,CHI,0.2,0.0,0.01,0,0,0,0.03,0,0.0
Blake Jarwin,DAL,1.3,8.322161581112548,0.1,0,0,0,0.03,0,0.0
Brian Parker,DEN,0.2,0.0,0.03,0,0,0,0.03,0,0.0
C.J. Uzomah,CIN,3.6,30.00740752509526,1.0,0,0,0,0.06,0,0.0
Cameron Brate,TB,4.0,23.45,1.0,0,0,0,0.03,0,0.0
Charles Clay,BUF,3.02,23.220259778592894,0.19,0,0,0,0.14,0,0.0
Chris Herndon,NYJ,1.8,19.3,0.2,0,0,0,0.04,0,0.0
Chris Manhertz,CAR,0.3,0.0,0.01,0,0,0,0.03,0,0.0
Clark Harris,CIN,0.05,0.0,0.02,0,0,0,0.03,0,0.0
Dallas Goedert,PHI,2.8,18.887992717657323,0.3,0,0,0,0.14,0,0.0
Daniel Brown,CHI,0.16,0.0,0.02,0,0,0,0.03,0,0.0
Darrell Daniels,ARI,1.6,16.299906803548318,0.3032152035186919,0,0,0,0.06,0,0.0
Darren Fells,CLE,1.2,10.770317421929729,0.1,0,0,0,0.06,0,0.0
David Morgan,MIN,0.7,8.322161581112548,0.1,0,0,0,0.04,0,0.0
David Njoku,CLE,5.0,42.61645238999057,1.0,0,0,0,0.09,0,0.0
Demetrius Harris,KC,1.47,12.382003731320626,0.2,0,0,0,0.02,0,0.0
Derek Carrier,OAK,0.9,8.3,0.14269423297051667,0,0,0,0.03,0,0.0
Dion Sims,CHI,0.7105172228102394,8.322161581112548,0.04,0,0,0,0.03,0,0.0
Durham Smythe,MIA,0.4,0.0,0.03,0,0,0,0.03,0,0.0
Dwayne Allen,NE,0.4,0.0,0.2354848089256709,0,0,0,0.03,0,0.0
Eric Ebron,IND,5.77,52.652894245645484,1.0,0,0,0,0.09,0,0.0
Eric Saubert,ATL,0.5,0.4,0.03,0,0,0,0.03,0,0.0
Eric Tomlinson,NYJ,1.31,11.062532052406755,0.1,0,0,0,0.06,0,0.0
Erik Swoope,IND,2.0,14.4,0.2,0,0,0,0.03,0,0.0
Gabe Holmes,ARI,0.35,0.0,0.03,0,0,0,0.05,0,0.0
Garrett Celek,SF,1.5,8.966902665110366,0.2,0,0,0,0.03,0,0.0
Garrett Dickerson,NYG,0.8,7.833141513626181,0.1,0,0,0,0.04,0,0.0
Geoff Swaim,DAL,3.0,26.8,0.2,0,0,0,0.06,0,0.0
George Kittle,SF,6.0,52.29766878865509,1.0,0,0,0,0.15,0,0.0
Gerald Everett,LAR,2.0,15.54773881125846,0.2,0,0,0,0.3,0,0.0
Greg Olsen,CAR,4.2,45.48637253013934,0.3,0,0,0,0.07,0,0.0
Hayden Hurst,BAL,3.5,15.228216516141648,0.2,0,0,0,0.06,0,0.0
Ian Thomas,CAR,1.69,9.859748330086104,0.1,0,0,0,0.13,0,0.0
Jacob Hollister,NE,1.4,9.436970342145566,0.25137289421299996,0,0,0,0.1,0,0.0
James O'Shaughnessy,JAX,2.2316530836140287,16.468898107867446,0.21571941906137204,0,0,0,0.06,0,0.0
Jared Cook,OAK,6.0,53.6,1.0,0,0,0,0.07,0,0.0
Jason Croom,BUF,1.9,12.744144052138282,0.3,0,0,0,0.03,0,0.0
Jeff Heuerman,DEN,2.9,23.529617438162898,0.2,0,0,0,0.06,0,0.0
Jeremy Sprinkle,WAS,0.3,0.0,0.02,0,0,0,0.03,0,0.0
Jermaine Gresham,ARI,1.7,11.219126120738428,0.10704075781758297,0,0,0,0.05,0,0.0
Jesse James,PIT,2.0,22.630440598056012,0.14,0,0,0,0.07,0,0.0
Jimmy Graham,GB,4.7,47.27855938821508,1.0,0,0,0,0.09,0,0.0
Johnny Mundt,LAR,0.14,0.0,0.02,0,0,0,0.03,0,0.0
Jonnu Smith,TEN,2.0,13.217947025694684,0.2,0,0,0,0.06,0,0.0
Jordan Akins,HOU,1.3,8.966902665110366,0.1,0,0,0,0.03,0,0.0
Jordan Leggett,NYJ,1.0,8.770970279921247,0.1,0,0,0,0.03,0,0.0
Jordan Reed,WAS,7.0,45.39,1.0,0,0,0,0.07,0,0.0
Jordan Thomas,HOU,1.8,10.374824287360266,0.1,0,0,0,0.05,0,0.0
Josh Perkins,PHI,0.44,0.0,0.04,0,0,0,0.03,0,0.0
Kyle Rudolph,MIN,4.6,41.126896387307816,0.4,0,0,0,0.04,0,0.0
Lance Kendricks,GB,1.0,8.966902665110366,0.1,0,0,0,0.03,0,0.0
Lee Smith,OAK,0.5,0.0,0.03,0,0,0,0.03,0,0.0
Logan Paulsen,ATL,0.7,0.8,0.1,0,0,0,0.03,0,0.0
Logan Thomas,BUF,1.0,8.966902665110366,0.1,0,0,0,0.12,0,0.0
Luke Stocker,TEN,1.3,11.219126120738428,0.24058691445615346,0,0,0,0.06,0,0.0
Marcedes Lewis,GB,0.4,0.0,0.22657144013402825,0,0,0,0.04,0,0.0
Mark Andrews,BAL,1.6,14.345388322043412,0.1,0,0,0,0.04,0,0.0
Mason Schreck,CIN,1.41,10.308557028894803,0.17717822308829545,0,0,0,0.07,0,0.0
Matt LaCosse,DEN,1.5,11.312258603369497,0.14838280640621315,0,0,0,0.03,0,0.0
Matt Lengel,CIN,0.1,0.0,0.03,0,0,0,0.03,0,0.0
Maxx Williams,BAL,2.0,11.511340751215455,0.1,0,0,0,1.3,0,0.0
Mike Gesicki,MIA,2.5,19.810385718651293,0.2,0,0,0,0.08,0,0.0
Mo Alie-Cox,IND,0.57,0.0,0.04,0,0,0,0.04,0,0.0
MyCole Pruitt,TEN,0.3,0.0,0.02,0,0,0,0.03,0,0.0
Neal Sterling,NYJ,1.5,10.075577265430821,0.10704075781653694,0,0,0,0.09,0,0.0
Nick Boyle,BAL,2.0,13.297769274424365,0.1,0,0,0,0.06,0,0.0
Nick O'Leary,MIA,0.68,0.0,0.07,0,0,0,0.02,0,0.0
O.J. Howard,TB,3.8,34.14673677918728,0.3,0,0,0,0.14,0,0.0
Ricky Seals-Jones,ARI,3.0,24.99,0.3,0,0,0,0.02,0,0.0
Rico Gathers,DAL,0.9,8.71,0.1,0,0,0,0.04,0,0.0
Rob Gronkowski,NE,4.99,71.5,1.0,0,0,0,0.1,0,0.0
Ryan Griffin,HOU,3.0,23.6,0.2,0,0,0,0.06,0,0.0
Ryan Hewitt,IND,0.3,0.5,0.02,0,0,0,0.03,0,0.0
Scott Simonson,NYG,2.0,16.25450408526512,0.11,0,0,0,0.02,0,0.0
Sean Culkin,LAC,0.3,0.0,0.01,0,0,0,0.03,0,0.0
Seth DeValve,CLE,1.0,9.730083203362447,0.12486749539030918,0,0,0,0.03,0,0.0
Travis Kelce,KC,7.0,76.6,1.0,0,0,0,0.4,0,0.0
Trey Burton,CHI,4.4,39.76142790047109,0.3,0,0,0,0.67,0,0.0
Tyler Conklin,MIN,0.3,0.6,0.03,0,0,0,0.03,0,0.0
Tyler Higbee,LAR,1.63,11.713521116962912,0.13,0,0,0,0.06,0,0.0
Vance McDonald,PIT,4.0,48.0,0.3,0,0,0,0.22,0,0.0
Vernon Davis,WAS,2.2,25.479909528566136,0.2,0,0,0,0.11,0,0.0
Virgil Green,LAC,2.0,13.297769274424365,0.11,0,0,0,0.12,0,0.0
Xavier Grimble,PIT,0.34,0.0,0.02,0,0,0,0.03,0,0.0
Zach Ertz,PHI,8.0,80.0,1.0,0,0,0,0.08,0,0.0
