Player,Team,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,2PT
Alan Cross,TB,0.0,0.0,0.0,0,0,0,0,0,0.0
Anthony Firkser,TEN,0.0,0.0,0.0,0,0,0,0,0,0.0
Antonio Gates,LAC,1.7147206844140537,22.020342978106175,0.11437609075043631,0,0,0,0,0,0.0
Antony Auclair,TB,0.0,0.0,0.0,0,0,0,0,0,0.0
Austin Hooper,ATL,3.8718885013784052,43.1,0.4,0,0,0,0,0,0.0
Ben Braunecker,CHI,0.0,0.0,0.0,0,0,0,0,0,0.0
Blake Jarwin,DAL,0.3,8.322161581112548,0.0,0,0,0,0,0,0.0
Brian Parker,DEN,0.0,0.0,0.0,0,0,0,0,0,0.0
C.J. Uzomah,CIN,3.0691820350548507,30.00740752509526,0.1917883211678832,0,0,0,0,0,0.0
Cameron Brate,TB,2.04,23.45,0.1917883211678832,0,0,0,0,0,0.0
Charles Clay,BUF,2.246277494317306,23.220259778592894,0.11437609075043631,0,0,0,0,0,0.0
Chris Herndon,NYJ,1.8,19.3,0.08208442408376963,0,0,0,0,0,0.0
Chris Manhertz,CAR,0.0,0.0,0.0,0,0,0,0,0,0.0
Clark Harris,CIN,0.0,0.0,0.0,0,0,0,0,0,0.0
Dallas Goedert,PHI,1.7736790974769443,18.887992717657323,0.11437609075043631,0,0,0,0,0,0.0
Daniel Brown,CHI,0.0,0.0,0.0,0,0,0,0,0,0.0
Darrell Daniels,ARI,1.6,16.299906803548318,0.20369318181818183,0,0,0,0,0,0.0
Darren Fells,CLE,0.6,10.770317421929729,0.08208442408376963,0,0,0,0,0,0.0
David Morgan,MIN,0.3,8.322161581112548,0.0,0,0,0,0,0,0.0
David Njoku,CLE,3.8718885013784052,42.61645238999057,0.2,0,0,0,0,0,0.0
Demetrius Harris,KC,1.47,12.382003731320626,0.2,0,0,0,0,0,0.0
Derek Carrier,OAK,0.5,8.3,0.08208442408376963,0,0,0,0,0,0.0
Dion Sims,CHI,0.1,8.322161581112548,0.0,0,0,0,0,0,0.0
Durham Smythe,MIA,0.0,0.0,0.0,0,0,0,0,0,0.0
Dwayne Allen,NE,0.0,0.0,0.021875,0,0,0,0,0,0.0
Eric Ebron,IND,5.0064627096348415,52.652894245645484,1.0,0,0,0,0,0,0.0
Eric Saubert,ATL,0.1,0.4,0.0,0,0,0,0,0,0.0
Eric Tomlinson,NYJ,0.3,11.062532052406755,0.0,0,0,0,0,0,0.0
Erik Swoope,IND,1.642662235940752,14.4,0.1,0,0,0,0,0,0.0
Gabe Holmes,ARI,0.0,0.0,0.0,0,0,0,0,0,0.0
Garrett Celek,SF,0.5,8.966902665110366,0.2,0,0,0,0,0,0.0
Garrett Dickerson,NYG,0.0,7.833141513626181,0.0,0,0,0,0,0,0.0
Geoff Swaim,DAL,2.7,26.8,0.11437609075043631,0,0,0,0,0,0.0
George Kittle,SF,3.9923538828046077,52.29766878865509,0.5873765564620008,0,0,0,0,0,0.0
Gerald Everett,LAR,1.6788723360657052,15.54773881125846,0.11437609075043631,0,0,0,0,0,0.0
Greg Olsen,CAR,3.5673955740154932,45.48637253013934,0.11437609075043631,0,0,0,0,0,0.0
Hayden Hurst,BAL,1.7016206490036427,15.228216516141648,0.11437609075043631,0,0,0,0,0,0.0
Ian Thomas,CAR,1.642662235940752,9.859748330086104,0.05416666666666667,0,0,0,0,0,0.0
Jacob Hollister,NE,0.3,9.436970342145566,0.08208442408376963,0,0,0,0,0,0.0
James O'Shaughnessy,JAX,1.6788723360657052,16.468898107867446,0.08208442408376963,0,0,0,0,0,0.0
Jared Cook,OAK,4.5,53.6,0.22205147906262004,0,0,0,0,0,0.0
Jason Croom,BUF,1.642662235940752,12.744144052138282,0.09,0,0,0,0,0,0.0
Jeff Heuerman,DEN,2.0,23.529617438162898,0.11437609075043631,0,0,0,0,0,0.0
Jeremy Sprinkle,WAS,0.0,0.0,0.0,0,0,0,0,0,0.0
Jermaine Gresham,ARI,1.642662235940752,11.219126120738428,0.08208442408376963,0,0,0,0,0,0.0
Jesse James,PIT,1.7147206844140537,22.630440598056012,0.11437609075043631,0,0,0,0,0,0.0
Jimmy Graham,GB,3.8718885013784052,47.27855938821508,0.32,0,0,0,0,0,0.0
Johnny Mundt,LAR,0.0,0.0,0.0,0,0,0,0,0,0.0
Jonnu Smith,TEN,1.6788723360657052,13.217947025694684,0.11437609075043631,0,0,0,0,0,0.0
Jordan Akins,HOU,1.3,8.966902665110366,0.1,0,0,0,0,0,0.0
Jordan Leggett,NYJ,0.58,8.770970279921247,0.1,0,0,0,0,0,0.0
Jordan Reed,WAS,3.9725829458228503,45.39,0.27,0,0,0,0,0,0.0
Jordan Thomas,HOU,1.642662235940752,10.374824287360266,0.1,0,0,0,0,0,0.0
Josh Perkins,PHI,0.0,0.0,0.0,0,0,0,0,0,0.0
Kyle Rudolph,MIN,3.7842423025479963,41.126896387307816,0.26334004530581423,0,0,0,0,0,0.0
Lance Kendricks,GB,0.5,8.966902665110366,0.0,0,0,0,0,0,0.0
Lee Smith,OAK,0.0,0.0,0.0,0,0,0,0,0,0.0
Logan Paulsen,ATL,0.1,0.8,0.0,0,0,0,0,0,0.0
Logan Thomas,BUF,0.6,8.966902665110366,0.0,0,0,0,0,0,0.0
Luke Stocker,TEN,0.3,11.219126120738428,0.08208442408376963,0,0,0,0,0,0.0
Marcedes Lewis,GB,0.0,0.0,0.021875,0,0,0,0,0,0.0
Mark Andrews,BAL,1.6,14.345388322043412,0.1,0,0,0,0,0,0.0
Mason Schreck,CIN,0.0,10.308557028894803,0.08208442408376963,0,0,0,0,0,0.0
Matt LaCosse,DEN,1.5,11.312258603369497,0.08208442408376963,0,0,0,0,0,0.0
Matt Lengel,CIN,0.0,0.0,0.0,0,0,0,0,0,0.0
Maxx Williams,BAL,1.6788723360657052,11.511340751215455,0.0,0,0,0,0,0,0.0
Mike Gesicki,MIA,1.6788723360657052,19.810385718651293,0.11437609075043631,0,0,0,0,0,0.0
Mo Alie-Cox,IND,0.0,0.0,0.0,0,0,0,0,0,0.0
MyCole Pruitt,TEN,0.0,0.0,0.0,0,0,0,0,0,0.0
Neal Sterling,NYJ,1.5,10.075577265430821,0.08208442408376963,0,0,0,0,0,0.0
Nick Boyle,BAL,1.7147206844140537,13.297769274424365,0.1,0,0,0,0,0,0.0
Nick O'Leary,MIA,0.0,0.0,0.0,0,0,0,0,0,0.0
O.J. Howard,TB,2.0,34.14673677918728,0.3,0,0,0,0,0,0.0
Ricky Seals-Jones,ARI,2.0,24.99,0.11437609075043631,0,0,0,0,0,0.0
Rico Gathers,DAL,0.4726120551636525,8.71,0.0,0,0,0,0,0,0.0
Rob Gronkowski,NE,4.093048327249053,71.5,0.6052631578947368,0,0,0,0,0,0.0
Ryan Griffin,HOU,2.2,23.6,0.11437609075043631,0,0,0,0,0,0.0
Ryan Hewitt,IND,0.1,0.5,0.0,0,0,0,0,0,0.0
Scott Simonson,NYG,1.7147206844140537,16.25450408526512,0.08208442408376963,0,0,0,0,0,0.0
Sean Culkin,LAC,0.0,0.0,0.0,0,0,0,0,0,0.0
Seth DeValve,CLE,0.5,9.730083203362447,0.08208442408376963,0,0,0,0,0,0.0
Travis Kelce,KC,6.525383047369665,76.6,0.5,0,0,0,0,0,0.0
Trey Burton,CHI,3.666074261214954,39.76142790047109,0.3,0,0,0,0,0,0.0
Tyler Conklin,MIN,0.1,0.6,0.0,0,0,0,0,0,0.0
Tyler Higbee,LAR,1.63,11.713521116962912,0.11437609075043631,0,0,0,0,0,0.0
Vance McDonald,PIT,3.373155415514942,48.0,0.11437609075043631,0,0,0,0,0,0.0
Vernon Davis,WAS,1.6788723360657052,25.479909528566136,0.11437609075043631,0,0,0,0,0,0.0
Virgil Green,LAC,1.6788723360657052,13.297769274424365,0.11,0,0,0,0,0,0.0
Xavier Grimble,PIT,0.0,0.0,0.0,0,0,0,0,0,0.0
Zach Ertz,PHI,7.121705798692416,80.0,0.646551724137931,0,0,0,0,0,0.0
