Player,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,2PT
A.J. Green,CIN,0.0,0.0,5.4,78.6,0.54,0.0,0.0,0.0,0.0
Adam Humphries,TB,0.0,0.0,2.2,25.1,0.0,0.0,0.0,0.0,0.0
Adam Thielen,MIN,0.14,0.0,6.6,83.5,0.4,0.0,0.0,0.0,0.0
Albert Wilson,MIA,0.6,0.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0
Aldrick Robinson,MIN,0.0,0.0,0.6,6.9,0.05420018139829253,0.0,0.0,0.0,0.0
Alex Erickson,CIN,0.0,0.0,0.87,10.77,0.0,0.0,0.0,0.0,0.0
Allen Hurns,DAL,0.0,0.0,1.2,14.5,0.0,0.0,0.0,0.0,0.0
Allen Robinson,CHI,0.0,0.0,4.0,54.1,0.0,0.0,0.0,0.0,0.0
Alshon Jeffery,PHI,0.0,0.0,3.9,55.8,0.4,0.0,0.0,0.0,0.0
Amari Cooper,DAL,0.9,0.0,3.77,51.8,0.2,0.0,0.0,0.0,0.0
Andre Holmes,DEN,0.0,0.0,0.9,10.9,0.08,0.0,0.0,0.0,0.0
Andre Roberts,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Miller,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Brown,PIT,0.0,0.0,6.6,80.5,0.6,0.0,0.0,0.0,0.0
Antonio Callaway,CLE,0.0,0.0,3.1,43.5,0.0,0.0,0.0,0.0,0.0
Brandin Cooks,LAR,1.69,0.0,4.5,70.0,0.4,0.0,0.0,0.0,0.0
Brandon Marshall,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Zylstra,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Quick,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Goodwin,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calvin Ridley,ATL,0.3,0.0,3.1,45.7,0.3,0.0,0.0,0.0,0.0
Chad Williams,ARI,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Chester Rogers,IND,0.0,0.0,4.0,44.9,0.0,0.0,0.0,0.0,0.0
Chris Conley,KC,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0
Chris Godwin,TB,0.0,0.0,3.0,35.0,0.0,0.0,0.0,0.0,0.0
Chris Hogan,NE,0.6,0.0,2.1,29.2,0.0,0.0,0.0,0.0,0.0
Chris Moore,BAL,0.3,0.0,0.7,8.053764955190179,0.0,0.0,0.0,0.0,0.0
Christian Kirk,ARI,1.2,0.0,3.0,39.8,0.1,0.0,0.0,0.0,0.0
Cody Core,CIN,0.0,0.0,0.14,3.63,0.0,0.0,0.0,0.0,0.0
Cody Latimer,NYG,0.0,0.0,1.4,13.515206883667567,0.1,0.0,0.0,0.0,0.0
Cole Beasley,DAL,0.0,0.0,2.66,27.6,0.0,0.0,0.0,0.0,0.0
Cooper Kupp,LAR,0.0,0.0,4.8,60.0,0.4,0.0,0.0,0.0,0.0
Cordarrelle Patterson,NE,1.78,0.0,1.4,11.72,0.06,0.0,0.0,0.0,0.0
Corey Davis,TEN,0.0,0.0,4.7,57.8,0.3,0.0,0.0,0.0,0.0
Courtland Sutton,DEN,0.0,0.0,1.5,20.1,0.1,0.0,0.0,0.0,0.0
Curtis Samuel,CAR,1.6,0.0,1.15,15.02,-0.040342531084193806,0.0,0.0,0.0,0.0
