Player,Team,PA,YdA,TD,Sack,Int,Fum Rec,Saf,Blk
Arizona Cardinals,ARI,21.153009119891653,367.3648411568489,0.30000000000000004,2.23,0.9469405106523957,0.8,0.1,0.07
Atlanta Falcons,ATL,24.3,377.0594944188722,0.25,2.6333357811610796,0.6,0.8,0.03,0.09
Baltimore Ravens,BAL,21.460843407365246,367.3648411568489,0.26,2.02,0.5,0.8,0.1,0.07
Buffalo Bills,BUF,24.9902566304481,341.77564360389886,0.27,1.7,0.8,1.0,0.1,0.07
Carolina Panthers,CAR,26.308793984528542,362.7576956867843,0.27,2.4087069764476343,0.7,1.2,0.03,0.1
Chicago Bears,CHI,24.090189190514128,367.3648411568489,0.30000000000000004,2.05,0.9001849051636716,0.9,0.1,0.1
Cincinnati Bengals,CIN,31.6,392.4,0.2759891801253244,1.7109603979321952,0.8,0.6662852563206128,0.02,0.1
Cleveland Browns,CLE,28.0,371.6,0.28,2.403727898913191,1.4,0.9,0.03,0.09
Dallas Cowboys,DAL,20.0,330.4400111240504,0.23,2.455585662550041,0.4,1.3,0.02,0.07
Denver Broncos,DEN,19.693098460785887,279.05881575624005,0.30000000000000004,2.549601604779225,1.4,0.7,0.03,0.11
Detroit Lions,DET,20.818920014897095,317.01395716387435,0.32,1.8767483514612502,0.8,0.9,0.02,0.1
Green Bay Packers,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Houston Texans,HOU,22.5,337.11573938450357,0.25,3.0,0.9223397635766519,1.0,0.1,0.07
Indianapolis Colts,IND,19.3632133508109,291.2647370136319,0.25,2.100306355408838,1.1,0.7,0.03,0.09
Jacksonville Jaguars,JAX,19.0,315.0,0.36,3.0,1.0,0.8,0.1,0.08
Kansas City Chiefs,KC,23.00272670144707,383.0645559466177,0.34,2.099801304127476,0.9275701219951772,0.8,0.03,0.1
Los Angeles Chargers,LAC,19.7,311.18107875196364,0.26,2.487540825660585,0.9001808392542849,0.62,0.05,0.07
Los Angeles Rams,LAR,20.77686484436527,362.7576956867843,0.4,3.1,1.4,1.1,0.1,0.12
Miami Dolphins,MIA,24.5,368.7,0.28,2.0,0.7,0.8,0.04,0.12
Minnesota Vikings,MIN,21.011349897414014,312.8,0.37,2.8,1.7,1.1,0.1,0.08
New England Patriots,NE,24.0,362.7576956867843,0.25,2.6,0.89,0.8,0.1,0.1
New Orleans Saints,NO,25.8,367.3648411568489,0.24,2.195750342473983,0.8,0.7,0.02,0.09
New York Giants,NYG,26.82904336864299,391.11434523637,0.30000000000000004,2.01,0.6,0.58,0.02,0.1
New York Jets,NYJ,24.3,382.1,0.27,2.1869951995427943,0.7,1.1,0.05,0.07
Oakland Raiders,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philadelphia Eagles,PHI,20.0,356.7696297639935,0.28,2.6,0.8,0.8,0.1,0.1
Pittsburgh Steelers,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Francisco 49ers,SF,33.1,401.0,0.22,1.8575808269574166,0.6,0.7,0.04,0.08
Seattle Seahawks,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tampa Bay Buccaneers,TB,24.5,392.6784490763887,0.27,2.6,0.7,1.2,0.05,0.1
Tennessee Titans,TEN,24.31,391.11434523637,0.30000000000000004,1.868682896123579,0.6,0.72,0.02,0.1
Washington Redskins,WAS,20.5,370.97437537125313,0.23,2.6,0.7,0.9,0.05,0.07
