Player,Team,Bye,Rec,Yard,TD,FPts
Rob Gronkowski,NE,11,81,1140,9,168.0
Travis Kelce,KC,12,87,1056,7,147.6
Zach Ertz,PHI,9,75,845,6,120.5
Evan Engram,NYG,9,60,716,5,101.6
Delanie Walker,TEN,8,61,713,5,101.3
Jimmy Graham,GB,7,52,516,7,93.6
Kyle Rudolph,MIN,10,53,549,6,90.9
Trey Burton,CHI,5,57,665,4,90.5
Greg Olsen,CAR,4,56,656,4,89.6
Jack Doyle,IND,9,66,605,4,84.5
David Njoku,CLE,11,50,585,4,82.5
George Kittle,SF,11,44,513,5,81.3
Vance McDonald,PIT,7,51,556,4,79.6
Charles Clay,BUF,11,51,545,4,78.5
Jared Cook,OAK,7,43,545,4,78.5
Eric Ebron,IND,9,50,515,4,75.5
Cameron Brate,TB,5,43,506,4,74.6
Austin Hooper,ATL,8,44,505,4,74.5
Jordan Reed,WAS,4,47,550,3,73.0
O.J. Howard,TB,5,38,485,4,72.5
Ricky Seals-Jones,ARI,9,39,456,4,69.6
Tyler Eifert,CIN,9,40,455,4,69.5
Antonio Gates,LAC,8,40,416,4,65.6
Nick Vannett,SEA,7,41,454,3,63.4
Vernon Davis,WAS,4,36,429,3,60.9
Mike Gesicki,MIA,11,38,427,3,60.7
Ben Watson,NO,6,40,417,3,59.7
Austin Seferian-Jenkins,JAC,9,42,451,2,57.1
Jake Butt,DEN,10,32,356,3,53.6
Garrett Celek,SF,11,30,366,2,48.6
Hayden Hurst,BAL,10,33,335,2,45.5
Luke Willson,DET,6,33,326,2,44.6
Nick Boyle,BAL,10,35,325,2,44.5
Tyler Higbee,LAR,12,29,315,2,43.5
Dallas Goedert,PHI,9,29,305,2,42.5
Blake Jarwin,DAL,8,27,300,2,42.0
Marcedes Lewis,GB,7,23,235,3,41.5
Ryan Griffin,HOU,10,27,286,2,40.6
Chris Herndon,NYJ,11,27,285,2,40.5
Tyler Kroft,CIN,9,24,256,2,37.6
Jonnu Smith,TEN,8,23,248,2,36.8
Gerald Everett,LAR,12,23,225,2,34.5
Levine Toilolo,DET,6,25,245,1,30.5
Jordan Akins,HOU,10,25,245,1,30.5
Logan Thomas,BUF,11,20,245,1,30.5
Jesse James,PIT,7,23,235,1,29.5
Virgil Green,LAC,8,24,225,1,28.5
Jermaine Gresham,ARI,9,20,215,1,27.5
Adam Shaheen,CHI,5,19,205,1,26.5
Jordan Leggett,NYJ,11,18,189,1,24.9
Jeff Heuerman,DEN,10,16,188,1,24.8
Dwayne Allen,NE,11,11,125,2,24.5
Demetrius Harris,KC,12,17,182,1,24.2
Josh Hill,NO,6,16,182,1,24.2
Seth Devalve,CLE,11,15,156,1,21.6
Will Dissly,SEA,7,16,155,1,21.5
Lance Kendricks,GB,7,14,146,1,20.6
James O'Shaughnessy,JAC,9,15,145,1,20.5
Ian Thomas,CAR,4,13,135,1,19.5
David Morgan,MIN,10,11,127,1,18.7
Geoff Swaim,DAL,8,11,124,1,18.4
Ed Dickson,SEA,7,12,115,1,17.5
Erik Swoope,IND,9,10,100,1,16.0
A.J. Derby,MIA,11,9,86,1,14.6
Logan Paulsen,ATL,8,8,85,1,14.5
Richard Rodgers,PHI,9,8,84,1,14.4
Maxx Williams,BAL,10,12,118,0,11.8
Rico Gathers,DAL,8,5,56,1,11.6
Jerell Adams,NYG,9,9,103,0,10.3
Tyler Conklin,MIN,10,7,86,0,8.6
C.J. Uzomah,CIN,9,9,82,0,8.2
Dalton Schultz,DAL,8,7,77,0,7.7
Michael Roberts,DET,6,7,77,0,7.7
Lee Smith,OAK,7,5,55,0,5.5
Rhett Ellison,NYG,9,4,41,0,4.1
Daniel Brown,CHI,5,3,39,0,3.9
