Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
Zach Ertz,TE,PHI,0.0,0.0,0.0,0.0,0.0,6.3,68.3,0.5
Travis Kelce,TE,KC,0.0,0.0,0.0,0.0,0.0,5.4,66.6,0.5
Eric Ebron,TE,IND,0.0,0.0,0.0,0.0,0.0,5.3,53.0,0.4
Greg Olsen,TE,CAR,0.0,0.0,0.0,0.0,0.0,4.6,55.1,0.3
George Kittle,TE,SF,0.0,0.0,0.0,0.0,0.0,4.5,48.1,0.4
David Njoku,TE,CLE,0.0,0.0,0.0,0.0,0.0,4.0,47.4,0.4
Evan Engram,TE,NYG,0.0,0.0,0.0,0.0,0.0,4.0,48.1,0.4
Trey Burton,TE,CHI,0.0,0.0,0.0,0.0,0.0,4.4,47.6,0.3
Kyle Rudolph,TE,MIN,0.0,0.0,0.0,0.0,0.0,4.1,41.2,0.5
Jordan Reed,TE,WAS,0.0,0.0,0.0,0.0,0.0,4.3,45.6,0.4
Austin Hooper,TE,ATL,0.0,0.0,0.0,0.0,0.0,4.0,44.4,0.4
O.J. Howard,TE,TB,0.0,0.0,0.0,0.0,0.0,3.8,44.6,0.3
C.J. Uzomah,TE,CIN,0.0,0.0,0.0,0.0,0.0,3.6,36.7,0.3
Ricky Seals-Jones,TE,ARI,0.0,0.0,0.0,0.0,0.0,3.0,32.2,0.3
Benjamin Watson,TE,NO,0.0,0.0,0.0,0.0,0.0,2.7,31.0,0.3
Nick O'Leary,TE,MIA,0.0,0.0,0.0,0.0,0.0,2.2,28.7,0.2
Dallas Goedert,TE,PHI,0.0,0.0,0.0,0.0,0.0,2.3,26.0,0.2
Cameron Brate,TE,TB,0.0,0.0,0.0,0.0,0.0,2.4,24.9,0.2
Antonio Gates,TE,LAC,0.0,0.0,0.0,0.0,0.0,2.0,22.1,0.3
Charles Clay,TE,BUF,0.0,0.0,0.0,0.0,0.0,2.5,28.2,0.1
Geoff Swaim,TE,DAL,0.0,0.0,0.0,0.0,0.0,2.4,22.9,0.2
Jeff Heuerman,TE,DEN,0.0,0.0,0.0,0.0,0.0,2.3,25.4,0.1
Hayden Hurst,TE,BAL,0.0,0.0,0.0,0.0,0.0,2.1,23.0,0.1
