Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS,POS
Julio Jones ATL,6.9,104.2,0.6,0.1,0.7,0.0,0.0,14.1,WR
Adam Thielen MIN,7.9,101.9,0.7,0.1,0.5,0.0,0.1,14.0,WR
Tyreek Hill KC,5.6,85.4,0.7,1.0,6.1,0.0,0.0,13.5,WR
Robert Woods LAR,5.9,81.1,0.7,0.8,5.4,0.0,0.0,12.6,WR
Brandin Cooks LAR,5.4,81.5,0.6,0.4,2.4,0.0,0.0,12.2,WR
DeAndre Hopkins HOU,6.3,85.8,0.6,0.1,0.3,0.0,0.1,11.8,WR
Mike Evans TB,6.0,80.6,0.6,0.0,0.0,0.0,0.1,11.8,WR
Michael Thomas NO,6.9,82.7,0.6,0.0,0.0,0.0,0.1,11.6,WR
Golden Tate PHI,6.9,81.5,0.5,0.3,1.3,0.0,0.1,11.3,WR
Keenan Allen LAC,6.4,79.6,0.5,0.2,1.5,0.0,0.1,11.2,WR
Stefon Diggs MIN,5.9,73.3,0.6,0.6,3.5,0.0,0.0,11.2,WR
Jarvis Landry CLE,6.6,81.1,0.5,0.0,0.1,0.0,0.1,11.1,WR
Kenny Golladay DET,5.1,72.9,0.6,0.0,0.1,0.0,0.0,10.6,WR
Tyler Boyd CIN,5.6,72.0,0.6,0.2,1.2,0.0,0.1,10.6,WR
T.Y. Hilton IND,5.2,71.6,0.5,0.0,0.0,0.0,0.0,10.4,WR
Alshon Jeffery PHI,4.7,65.4,0.6,0.0,0.0,0.0,0.0,10.4,WR
John Brown BAL,4.2,66.9,0.5,0.3,1.7,0.0,0.0,10.1,WR
Julian Edelman NE,5.8,70.1,0.5,0.3,1.4,0.0,0.1,9.9,WR
Michael Crabtree BAL,5.0,60.9,0.5,0.0,0.0,0.0,0.0,9.3,WR
Corey Davis TEN,4.8,65.5,0.5,0.0,0.0,0.0,0.0,9.2,WR
Allen Robinson CHI,4.4,57.4,0.5,0.0,0.0,0.0,0.0,8.9,WR
Marquise Goodwin SF,3.7,55.9,0.5,0.4,2.3,0.0,0.0,8.7,WR
Devin Funchess CAR,4.0,56.4,0.5,0.0,0.1,0.0,0.0,8.5,WR
DeSean Jackson TB,3.6,56.1,0.5,0.1,0.8,0.0,0.0,8.5,WR
Mohamed Sanu ATL,3.8,48.9,0.5,0.1,0.3,0.0,0.0,7.7,WR
Jermaine Kearse NYJ,4.7,59.3,0.2,0.0,0.0,0.0,0.0,7.2,WR
Calvin Ridley ATL,3.5,46.5,0.4,0.4,2.1,0.0,0.0,7.1,WR
Robby Anderson NYJ,3.4,54.3,0.3,0.3,1.3,0.0,0.1,7.1,WR
Sterling Shepard NYG,4.7,54.4,0.3,0.0,0.3,0.0,0.0,7.1,WR
Sammy Watkins KC,3.8,49.0,0.3,0.4,2.9,0.0,0.0,6.8,WR
