Player,Team,Salary
New England Patriots,NE,4600
Cincinnati Bengals,CIN,3700
New Orleans Saints,NO,3300
Washington Redskins,WAS,4100
San Francisco 49ers,SF,3900
Seattle Seahawks,SEA,4000
Kansas City Chiefs,KC,3900
Jacksonville Jaguars,JAX,4100
Carolina Panthers,CAR,4300
Arizona Cardinals,ARI,3400
Philadelphia Eagles,PHI,4700
Los Angeles Rams,LAR,4000
Pittsburgh Steelers,PIT,3800
Chicago Bears,CHI,5000
Green Bay Packers,GB,3300
Houston Texans,HOU,4800
Cleveland Browns,CLE,3100
Denver Broncos,DEN,3200
Buffalo Bills,BUF,3000
New York Giants,NYG,3400
New York Jets,NYJ,3400
Minnesota Vikings,MIN,4100
Tampa Bay Buccaneers,TB,3000
Detroit Lions,DET,3700
Indianapolis Colts,IND,4400
Oakland Raiders,OAK,3300
Miami Dolphins,MIA,3500
Baltimore Ravens,BAL,3700
