Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,TD
Chicago Bears,DST,CHI,17.0,292.9,1.2,0.8,2.8,0.0,0.3
Pittsburgh Steelers,DST,PIT,18.7,343.9,1.0,0.6,3.4,0.1,0.2
New England Patriots,DST,NE,16.3,308.2,1.3,0.5,2.1,0.0,0.3
Houston Texans,DST,HOU,19.2,304.1,1.1,0.7,2.4,0.0,0.2
Philadelphia Eagles,DST,PHI,18.4,331.7,1.1,0.7,2.2,0.0,0.2
Arizona Cardinals,DST,ARI,20.0,320.1,1.1,0.7,2.7,0.0,0.2
Miami Dolphins,DST,MIA,26.1,387.8,1.2,0.7,2.6,0.0,0.2
Los Angeles Rams,DST,LAR,23.4,377.4,0.8,0.7,3.2,0.0,0.2
San Francisco 49ers,DST,SF,19.7,296.2,1.0,0.6,2.2,0.0,0.2
Cincinnati Bengals,DST,CIN,24.5,410.9,1.2,0.6,2.3,0.0,0.2
Kansas City Chiefs,DST,KC,23.4,411.7,1.1,0.7,2.2,0.0,0.3
Detroit Lions,DST,DET,24.9,383.0,0.8,0.8,3.0,0.1,0.2
Washington Redskins,DST,WAS,20.9,359.8,0.8,0.8,2.7,0.0,0.2
Baltimore Ravens,DST,BAL,20.0,314.5,1.0,0.6,2.6,0.0,0.2
Indianapolis Colts,DST,IND,23.1,355.3,0.9,0.8,2.2,0.0,0.2
Carolina Panthers,DST,CAR,23.9,367.3,0.9,0.6,2.3,0.0,0.2
New Orleans Saints,DST,NO,26.0,384.7,0.8,0.7,2.4,0.0,0.2
Green Bay Packers,DST,GB,33.5,426.0,0.8,0.7,2.3,0.1,0.2
Cleveland Browns,DST,CLE,26.9,369.3,1.0,0.6,1.8,0.1,0.2
Seattle Seahawks,DST,SEA,23.0,336.5,0.9,0.6,2.2,0.0,0.2
Jacksonville Jaguars,DST,JAX,21.8,332.8,0.7,0.7,2.4,0.0,0.2
Oakland Raiders,DST,OAK,28.5,419.4,1.0,0.6,1.6,0.1,0.2
Tampa Bay Buccaneers,DST,TB,28.7,389.2,0.9,0.7,1.9,0.0,0.2
New York Jets,DST,NYJ,23.6,339.9,0.9,0.6,2.0,0.0,0.2
Minnesota Vikings,DST,MIN,27.7,392.8,0.7,0.7,1.9,0.0,0.2
Denver Broncos,DST,DEN,31.0,390.9,0.8,0.5,1.8,0.0,0.2
Buffalo Bills,DST,BUF,29.7,378.6,0.8,0.7,1.8,0.0,0.2
New York Giants,DST,NYG,23.5,364.7,0.6,0.6,2.0,0.0,0.1
