Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Return Yds,Pts Allow,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
San Francisco 49ers,SF,1.0,3.0,1.0,1.0,1.0,1.0,0.0,84.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,321.0,0.0,1.0,0.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,207.0,1.0,0.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,6.0,4.0,0.0,0.0,0.0,1.0,60.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,576.0,0.0,0.0,0.0,0.0,1.0,DST
Buffalo Bills,BUF,1.0,2.0,0.0,0.0,1.0,0.0,0.0,96.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,387.0,0.0,1.0,0.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,2.0,1.0,0.0,0.0,0.0,0.0,82.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,340.0,0.0,1.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,1.0,1.0,1.0,2.0,0.0,0.0,88.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,421.0,0.0,0.0,1.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,402.0,0.0,0.0,1.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,267.0,1.0,0.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,5.0,1.0,1.0,2.0,0.0,0.0,102.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,411.0,0.0,0.0,1.0,0.0,0.0,DST
Indianapolis Colts,IND,1.0,0.0,0.0,1.0,1.0,0.0,0.0,27.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,347.0,0.0,1.0,0.0,0.0,0.0,DST
