Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
Deshaun Watson,QB,HOU,303.0,2.1,1.7,38.5,0.4,0.0,0.0,0.0
Andrew Luck,QB,IND,324.0,2.4,1.2,17.5,0.1,0.0,0.0,0.0
Patrick Mahomes,QB,KC,265.0,2.3,0.8,15.6,0.3,0.0,0.0,0.0
Jameis Winston,QB,TB,337.0,1.9,1.3,18.8,0.2,0.0,0.0,0.0
Jared Goff,QB,LAR,308.0,2.3,0.9,5.7,0.0,0.0,0.0,0.0
Andy Dalton,QB,CIN,303.0,2.2,0.9,6.9,0.1,0.0,0.0,0.0
Aaron Rodgers,QB,GB,291.0,1.9,0.6,21.5,0.1,0.0,0.0,0.0
Mitchell Trubisky,QB,CHI,242.0,1.9,0.8,34.0,0.3,0.0,0.0,0.0
Tom Brady,QB,NE,289.0,2.2,0.7,2.8,0.1,0.0,0.0,0.0
Ben Roethlisberger,QB,PIT,319.0,2.2,1.2,4.1,0.1,0.0,0.0,0.0
Drew Brees,QB,NO,310.0,1.8,0.6,2.2,0.2,0.0,0.0,0.0
Kirk Cousins,QB,MIN,287.0,1.6,0.8,10.0,0.2,0.0,0.0,0.0
Russell Wilson,QB,SEA,242.0,1.8,0.8,22.6,0.1,0.0,0.0,0.0
Alex Smith,QB,WAS,258.0,1.5,0.6,14.7,0.2,0.0,0.0,0.0
Cam Newton,QB,CAR,189.0,1.3,1.2,41.7,0.4,0.0,0.0,0.0
Carson Wentz,QB,PHI,243.0,1.7,0.7,14.6,0.0,0.0,0.0,0.0
Joe Flacco,QB,BAL,276.0,1.5,1.0,4.4,0.0,0.0,0.0,0.0
Case Keenum,QB,DEN,292.0,1.4,1.0,3.7,0.1,0.0,0.0,0.0
Derek Carr,QB,OAK,266.0,1.6,0.8,4.7,0.0,0.0,0.0,0.0
Baker Mayfield,QB,CLE,277.0,1.3,1.1,15.3,0.0,0.0,0.0,0.0
C.J. Beathard,QB,SF,248.0,1.3,1.5,16.5,0.4,0.0,0.0,0.0
Eli Manning,QB,NYG,267.0,1.4,0.8,2.1,0.0,0.0,0.0,0.0
Matthew Stafford,QB,DET,239.0,1.5,0.8,8.0,0.0,0.0,0.0,0.0
Josh Rosen,QB,ARI,229.0,1.5,1.7,7.9,0.0,0.0,0.0,0.0
Brock Osweiler,QB,MIA,219.0,1.4,1.3,0.6,0.0,0.0,0.0,0.0
Blake Bortles,QB,JAX,180.0,0.9,0.8,23.6,0.1,0.0,0.0,0.0
Sam Darnold,QB,NYJ,218.0,1.1,1.6,3.5,0.1,0.0,0.0,0.0
Derek Anderson,QB,BUF,176.0,0.9,1.4,5.8,0.0,0.0,0.0,0.0
Cody Kessler,QB,JAX,61.7,0.3,0.3,1.3,0.0,0.0,0.0,0.0
Taysom Hill,QB,NO,5.6,0.0,0.0,20.9,0.1,0.0,0.0,0.0
Lamar Jackson,QB,BAL,5.1,0.0,0.0,9.0,0.1,0.0,0.0,0.0
Chase Daniel,QB,CHI,0.1,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Josh McCown,QB,NYJ,2.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Kevin Hogan,QB,DEN,1.1,0.0,0.0,0.4,0.0,0.0,0.0,0.0
Trevor Siemian,QB,MIN,2.7,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Tyrod Taylor,QB,CLE,2.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Mike Glennon,QB,ARI,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Weeden,QB,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean Mannion,QB,LAR,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joshua Dobbs,QB,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Fales,QB,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Driskel,QB,CIN,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad Henne,QB,KC,0.1,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Joe Webb,QB,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeShone Kizer,QB,GB,1.9,0.0,0.0,0.2,0.0,0.0,0.0,0.0
Nick Foles,QB,PHI,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Hoyer,QB,NE,1.4,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Brett Hundley,QB,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacoby Brissett,QB,IND,2.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0
Taylor Heinicke,QB,CAR,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teddy Bridgewater,QB,NO,0.1,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Ryan Fitzpatrick,QB,TB,3.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0
Colt McCoy,QB,WAS,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ McCarron,QB,OAK,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan Peterman,QB,OAK,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Cassel,QB,DET,0.4,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
