Player,Team,Salary
James Conner,PIT,7500
Todd Gurley,LAR,9800
Marlon Mack,IND,5400
Joe Mixon,CIN,7300
Adrian Peterson,WAS,4900
Alvin Kamara,NOR,7400
James White,NWE,7200
Kenyan Drake,MIA,5100
Chris Carson,SEA,4300
Lamar Miller,HOU,4700
Christian McCaffrey,CAR,7000
Latavius Murray,MIN,4900
Phillip Lindsay,DEN,5200
Saquon Barkley,NYG,9300
Kareem Hunt,KAN,7100
Tarik Cohen,CHI,5800
Aaron Jones,GNB,4100
T.J. Yeldon,JAC,5200
LeSean McCoy,BUF,5500
Kerryon Johnson,DET,5300
Wendell Smallwood,PHI,3800
Peyton Barber,TAM,3600
Jalen Richard,OAK,4200
Jordan Howard,CHI,4800
Devontae Booker,DEN,3700
David Johnson,ARI,6700
Alex Collins,BAL,4600
Mark Ingram,NOR,5300
Javorius Allen,BAL,4000
Nyheim Hines,IND,3800
Doug Martin,OAK,4400
Nick Chubb,CLE,4700
Josh Adams,PHI,3000
Jacquizz Rodgers,TAM,3000
Jamaal Williams,GNB,3600
Frank Gore,MIA,3900
Chris Ivory,BUF,4400
Trenton Cannon,NYJ,3400
Isaiah Crowell,NYJ,3700
Mike Davis,SEA,3600
Chris Thompson,WAS,5500
Matt Breida,SFO,5000
Alfred Blue,HOU,4100
LeGarrette Blount,DET,3500
Duke Johnson,CLE,3900
Dontrell Hilliard,CLE,3000
Chase Edmonds,ARI,4200
Gus Edwards,BAL,3000
Alfred Morris,SFO,3500
Mark Walton,CIN,3500
Roc Thomas,MIN,3000
Stevan Ridley,PIT,4000
C.J. Anderson,CAR,3300
Anthony Sherman,KAN,3000
Raheem Mostert,SFO,3800
Keith Smith,OAK,3000
Jaylen Samuels,PIT,3000
James Develin,NWE,3000
Corey Clement,PHI,3900
Jordan Wilkins,IND,3400
Tyler Ervin,HOU,3000
Mike Boone,MIN,3000
Carlos Hyde,JAC,4100
Ronald Jones,TAM,3700
Patrick DiMarco,BUF,3000
Kyle Juszczyk,SFO,3400
Ty Montgomery,GNB,3600
Malcolm Brown,LAR,4200
Ameer Abdullah,DET,3000
Kalen Ballage,MIA,3300
Kenjon Barner,NWE,3500
DeAndre Washington,OAK,3400
C.J. Ham,MIN,3000
Tre Madden,SEA,3000
Dwayne Washington,NOR,3000
Nick Bellore,DET,3000
Zach Line,NOR,3000
David Williams,JAC,3000
Damien Williams,KAN,3000
Marcus Murphy,BUF,3300
Elijhaa Penny,NYG,3000
Benny Cunningham,CHI,3200
Senorise Perry,MIA,3000
Tommy Bohanon,JAC,3000
Brandon Bolden,MIA,3000
Spencer Ware,KAN,4000
Roosevelt Nix,PIT,3000
Alex Armah,CAR,3000
C.J. Prosise,SEA,3000
Derrick Coleman,ARI,3000
Andy Janovich,DEN,3000
Rashaad Penny,SEA,3900
Kapri Bibbs,WAS,3600
T.J. Logan,ARI,3000
Wayne Gallman,NYG,3600
