Player,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,2PT
Aaron Jones,GB,43.74267444153328,0.23142302639991114,1.4734009930726755,11.142371700473582,0.04415626039615283,0.0,0.0,0.0,0.0
Adrian Peterson,WAS,67.8,0.5,1.48,14.8,0.0,0.0,0.0,0.0,0.0
Alex Armah,CAR,1.7965979611716305,0.0,0.03824972756979961,0.24,0.0,0.0,0.0,0.0,0.0
Alex Collins,BAL,53.65387195793336,0.45,1.8364686242794566,14.85,0.06296739128027341,0.0,0.0,0.0,0.0
Alfred Blue,HOU,27.47,0.2,1.0,8.65,0.0,0.0,0.0,0.0,0.0
Alfred Morris,SF,22.05,0.15000000000000002,0.6499999999999999,5.35,0.0,0.0,0.0,0.0,0.0
Alvin Kamara,NO,48.95,0.55,5.8,50.85,0.2,0.0,0.0,0.0,0.03
Ameer Abdullah,MIN,5.5,0.013475641808993341,0.935,7.446492962872819,0.044397394332691895,0.0,0.0,0.0,0.0
Andy Janovich,DEN,1.7008002314668844,0.0,0.2649627430586017,2.15,0.0011999871471031274,0.0,0.0,0.0,0.01
Anthony Sherman,KC,0.2366365178481107,0.0,0.44,3.9299999999999997,0.060000000000000005,0.0,0.0,0.0,0.0
Benny Cunningham,CHI,1.358358641870802,0.0,0.2,1.5,0.0,0.0,0.0,0.0,0.0
Brandon Bolden,MIA,0.55,0.0,0.05,0.55,0.0,0.0,0.0,0.0,0.0
Brandon Wilson,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buddy Howell,HOU,0.19717833829942438,0.0,0.040434143889971796,0.32971246199576676,0.002461480401052109,0.0,0.0,0.0,0.0
C.J. Anderson,LAR,15.5,0.1,0.475,4.05,0.0,0.0,0.0,0.0,0.0
C.J. Ham,MIN,1.1,0.0,0.8500000000000001,7.8,0.0,0.0,0.0,0.0,0.0
Carlos Hyde,JAX,45.85,0.2,1.295,10.6,0.0,0.0,0.0,0.0,0.03
Chase Edmonds,ARI,11.95,0.09,0.9,6.25,0.0,0.0,0.0,0.0,0.0
Chris Carson,SEA,66.0,0.3,1.5550000000000002,14.35,0.1,0.0,0.0,0.0,0.01
Chris Ivory,BUF,32.2,0.2,1.7,15.65,0.0,0.0,0.0,0.0,0.0
Chris Thompson,WAS,24.6,0.15000000000000002,4.5,39.95,0.2,0.0,0.0,0.0,0.0
Christian McCaffrey,CAR,53.485,0.28500000000000003,5.1,40.4,0.2,0.0,0.0,0.0,0.0
Corey Clement,PHI,37.2,0.21500000000000002,2.05,16.73,0.1,0.0,0.0,0.0,0.03
Damien Williams,KC,1.1969706779585423,0.0,0.0907779841342425,0.8,0.0,0.0,0.0,0.0,0.0
David Johnson,ARI,64.65,0.7,3.55,30.7,0.1,0.0,0.0,0.0,0.0
David Williams,JAX,0.45,0.0,0.15035610287764356,1.05,0.0,0.0,0.0,0.0,0.0
De'Angelo Henderson Sr.,NYJ,3.610612220946652,0.0,0.5190813073904481,3.625416850683512,0.0,0.0,0.0,0.0,0.0
DeAndre Washington,OAK,10.15,0.1,0.9500000000000001,7.5,0.0,0.0,0.0,0.0,0.0
