Player,Team,GP,Receptions,Rec Yds,Rec TD,Fum Lost,Fum,Tack,Ast,POS
Mo Alie-Cox,IND,1.0,1.0,26.0,1.0,0.0,0.0,0.0,0.0,TE
Mark Andrews,BAL,1.0,4.0,31.0,0.0,0.0,0.0,0.0,0.0,TE
Blake Bell,JAX,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,TE
Nick Boyle,BAL,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,TE
Cameron Brate,TB,1.0,1.0,13.0,0.0,0.0,0.0,1.0,0.0,TE
Ben Braunecker,CHI,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Trey Burton,CHI,1.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,TE
Charles Clay,BUF,1.0,3.0,36.0,0.0,0.0,0.0,0.0,0.0,TE
Jared Cook,OAK,1.0,4.0,74.0,1.0,0.0,0.0,0.0,0.0,TE
Jason Croom,BUF,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,TE
Vernon Davis,WAS,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,TE
Seth DeValve,CLE,1.0,2.0,28.0,1.0,0.0,0.0,1.0,0.0,TE
Ed Dickson,SEA,1.0,2.0,54.0,1.0,0.0,0.0,0.0,0.0,TE
Jack Doyle,IND,1.0,6.0,70.0,1.0,0.0,0.0,0.0,0.0,TE
Eric Ebron,IND,1.0,3.0,37.0,1.0,0.0,0.0,0.0,0.0,TE
Rhett Ellison,NYG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Evan Engram,NYG,1.0,5.0,25.0,1.0,0.0,0.0,0.0,0.0,TE
Zach Ertz,PHI,1.0,4.0,26.0,1.0,0.0,0.0,0.0,0.0,TE
Gerald Everett,LA,1.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,TE
Darren Fells,CLE,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,TE
Jordan Franks,CIN,1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,TE
Mike Gesicki,MIA,1.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,TE
Dallas Goedert,PHI,1.0,1.0,32.0,1.0,0.0,0.0,0.0,0.0,TE
Jimmy Graham,GB,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,TE
Jermaine Gresham,ARI,1.0,3.0,22.0,0.0,1.0,1.0,0.0,0.0,TE
David Grinnage,,1.0,3.0,37.0,0.0,0.0,0.0,0.0,0.0,TE
Rob Gronkowski,NE,1.0,3.0,43.0,0.0,0.0,0.0,0.0,0.0,TE
Clark Harris,CIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Demetrius Harris,KC,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Chris Herndon,NYJ,1.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,TE
Jeff Heuerman,DEN,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,TE
Tyler Higbee,LA,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,TE
O.J. Howard,TB,1.0,4.0,68.0,1.0,0.0,0.0,0.0,0.0,TE
Hayden Hurst,BAL,1.0,2.0,29.0,1.0,0.0,0.0,0.0,0.0,TE
Jesse James,PIT,1.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,TE
Travis Kelce,KC,1.0,6.0,79.0,1.0,0.0,0.0,1.0,0.0,TE
George Kittle,SF,1.0,5.0,57.0,0.0,0.0,0.0,0.0,0.0,TE
Matt LaCosse,DEN,1.0,4.0,29.0,0.0,0.0,0.0,0.0,0.0,TE
Jordan Leggett,NYJ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Matt Lengel,CIN,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,TE
Vance McDonald,PIT,1.0,3.0,47.0,0.0,0.0,0.0,0.0,0.0,TE
David Morgan,MIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Nick O'Leary,MIA,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Greg Olsen,CAR,1.0,4.0,56.0,1.0,0.0,0.0,0.0,0.0,TE
Josh Perkins,PHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jordan Reed,WAS,1.0,7.0,38.0,0.0,0.0,0.0,0.0,0.0,TE
Michael Roberts,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Kyle Rudolph,MIN,1.0,4.0,39.0,0.0,0.0,0.0,0.0,0.0,TE
Ricky Seals-Jones,ARI,1.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,TE
Durham Smythe,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Neal Sterling,NYJ,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,TE
Ian Thomas,CAR,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,TE
Jordan Thomas,HOU,1.0,4.0,29.0,2.0,0.0,0.0,0.0,0.0,TE
Levine Toilolo,DET,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,TE
Eric Tomlinson,NYJ,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,TE
C.J. Uzomah,CIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Nick Vannett,SEA,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,TE
Luke Willson,DET,1.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,TE
