Player,Team,Rush Yds,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,Rush TD,2PT
A.J. Green,CIN,0.19,9.0,110.0,1.0,0.0,0.0,0.0,0.0,0.0
Adam Humphries,TB,1.4,3.5,39.04,0.21,0.0,0.0,0.0,0.01,0.0
Adam Thielen,MIN,1.3,10.0,118.0,1.0,0.0,0.0,0.0,0.0,0.0
Aldrick Robinson,MIN,0.03,1.6,19.6,0.2,0.0,0.0,0.0,0.0,0.0
Alex Erickson,CIN,1.6,2.32,29.7,0.3,0.0,0.0,0.0,0.01,0.0
Alshon Jeffery,PHI,0.12,5.1,70.0,1.0,0.0,0.0,0.0,0.0,0.0
Andre Holmes,DEN,0.16,2.4,32.3,0.1,0.0,0.0,0.0,0.0,0.0
Andre Roberts,NYJ,1.5,4.0,45.0,0.2,0.0,0.0,0.0,0.0,0.0
Anthony Miller,CHI,0.4,4.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0
Antonio Brown,PIT,0.19,8.0,110.0,1.0,0.0,0.0,0.0,0.0,0.0
Antonio Callaway,CLE,2.8,3.0,42.8,0.2,0.0,0.0,0.0,0.0,0.0
Austin Carr,NO,0.08,0.7,11.8,0.05,0.0,0.0,0.0,0.0,0.0
Bennie Fowler,NYG,0.03,1.2,13.2,0.07,0.0,0.0,0.0,0.0,0.0
Brandin Cooks,LAR,5.8,8.0,100.0,1.0,0.0,0.0,0.0,0.02,0.0
Brandon Marshall,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Zylstra,MIN,0.12,0.31,5.75,0.03,0.0,0.0,0.0,0.0,0.0
Breshad Perriman,CLE,0.1,2.0,28.3,0.15902836494430123,0.0,0.0,0.0,0.0,0.0
Cam Phillips,BUF,0.28,0.8,10.3,0.06,0.0,0.0,0.0,0.0,0.0
Cameron Meredith,NO,0.2,2.8,36.6,0.22,0.0,0.0,0.0,0.0,0.0
Chad Williams,ARI,0.9,2.26,28.57,0.2,0.0,0.0,0.0,0.0,0.0
Charone Peake,NYJ,0.03,0.8,9.8,0.02,0.0,0.0,0.0,0.0,0.0
Chester Rogers,IND,1.0,4.5,51.0,0.4,0.0,0.0,0.0,0.0,0.0
Chris Conley,KC,0.05,2.0,23.4,0.2,0.0,0.0,0.0,0.0,0.0
Chris Godwin,TB,0.03,4.6,55.0,1.0,0.0,0.0,0.0,0.0,0.0
Chris Hogan,NE,3.77,3.57,51.23,0.3,0.0,0.0,0.0,0.0,0.0
Chris Moore,BAL,3.3,1.3,15.4,0.1,0.0,0.0,0.0,0.0,0.0
Christian Kirk,ARI,4.1,4.17,57.16,1.0,0.0,0.0,0.0,0.01,0.0
Cody Core,CIN,1.4,2.5,32.8,0.2,0.0,0.0,0.0,0.0,0.0
Cordarrelle Patterson,NE,6.3,1.35777520664139,15.06380409422451,0.21280683940462802,0.0,0.0,0.0,0.1,0.0
Corey Coleman,NYG,0.3,1.3926473954337228,18.0,0.2,0.0,0.0,0.0,0.0,0.0
Courtland Sutton,DEN,0.12,3.0,49.4,0.3,0.0,0.0,0.0,0.0,0.0
Curtis Samuel,CAR,5.7,2.0,24.8,0.2,0.0,0.0,0.0,0.01,0.0
D.J. Chark,JAX,0.2,2.1,27.8,0.11,0.0,0.0,0.0,0.0,0.0
D.J. Moore,CAR,6.0,3.44,43.31,0.3,0.0,0.0,0.0,0.0,0.0
Damiere Byrd,CAR,0.29,0.48,6.59,0.04,0.0,0.0,0.0,0.0,0.0
Damion Ratley,CLE,0.8,3.03,36.6,0.2,0.0,0.0,0.0,0.0,0.0
Danny Amendola,MIA,0.2,7.0,65.0,0.33,0.0,0.0,0.0,0.0,0.0
Dante Pettis,SF,3.0,2.1,33.1,0.2,0.0,0.0,0.0,0.0,0.0
Davante Adams,GB,0.07,8.0,105.0,1.0,0.0,0.0,0.0,0.0,0.0
David Moore,SEA,1.13,2.4,38.6,0.4,0.0,0.0,0.0,0.01,0.0
DeAndre Carter,HOU,0.12,0.6,4.8,0.01,0.0,0.0,0.0,0.0,0.0
DeAndre Hopkins,HOU,1.8,8.5,131.0,1.0,0.0,0.0,0.0,0.0,0.0
DeSean Jackson,TB,4.49,4.0,65.0,0.33,0.0,0.0,0.0,0.01,0.0
DeVante Parker,MIA,0.04,3.9,53.7,0.4,0.0,0.0,0.0,0.0,0.0
Dede Westbrook,JAX,2.7,4.8,61.4,0.29,0.0,0.0,0.0,0.0,0.0
Demarcus Robinson,KC,0.03,1.0,14.0,0.1,0.0,0.0,0.0,0.0,0.0
Demaryius Thomas,HOU,0.13,5.5,68.0,0.4,0.0,0.0,0.0,0.0,0.0
Deontay Burnett,NYJ,0.17,1.5,20.8,0.15288736434992006,0.0,0.0,0.0,0.0,0.0
Devin Funchess,CAR,0.06,4.4,66.8,1.0,0.0,0.0,0.0,0.0,0.0
Donte Moncrief,JAX,0.21,4.0,49.5,0.31,0.0,0.0,0.0,0.0,0.0
Dontrelle Inman,IND,0.05,1.72,23.96,0.2,0.0,0.0,0.0,0.0,0.0
Doug Baldwin,SEA,0.7,7.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
Dwayne Harris,OAK,1.5,1.1,13.2,0.1,0.0,0.0,0.0,0.0,0.0
Emmanuel Sanders,DEN,5.7,7.0,95.3,1.0,0.0,0.0,0.0,0.02,0.0
Equanimeous St. Brown,GB,0.1,0.7736443025074945,13.225992408429804,0.2585118001174023,0.0,0.0,0.0,0.0,0.0
George Odum,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geronimo Allison,GB,0.18,4.2,58.8,0.3,0.0,0.0,0.0,0.0,0.0
Golden Tate,PHI,3.5,6.6075591513384335,73.0,0.5,0.0,0.0,0.0,0.0,0.0
Isaiah McKenzie,BUF,0.6,1.21,10.98,0.07,0.0,0.0,0.0,0.0,0.0
J.J. Nelson,ARI,2.6,1.4,20.0,0.1,0.0,0.0,0.0,0.01,0.2
Jakeem Grant,MIA,3.6,3.4,52.8,0.3,0.0,0.0,0.0,0.0,0.0
Jarius Wright,CAR,4.0,2.85,34.44,0.16,0.0,0.0,0.0,0.0,0.0
Jaron Brown,SEA,0.03,1.5,20.4,0.2,0.0,0.0,0.0,0.0,0.0
Jarvis Landry,CLE,0.4,7.1,85.0,1.0,0.0,0.0,0.0,0.0,0.0
Jehu Chesson,WAS,0.1,0.2107556163005211,2.8616438057823412,0.01,0.0,0.0,0.0,0.0,0.0
Jermaine Kearse,NYJ,0.04,4.7,55.4,0.3,0.0,0.0,0.0,0.0,0.0
JoJo Natson,LAR,0.7,0.4078104160961221,5.9051145461340155,0.02,0.0,0.0,0.0,0.0,0.0
John Brown,BAL,1.5,5.0,80.0,1.0,0.0,0.0,0.0,0.01,0.0
Jordan Matthews,PHI,0.03,2.3,28.1,0.2,0.0,0.0,0.0,0.0,0.0
Jordy Nelson,OAK,0.03,4.7,59.1,0.6,0.0,0.0,0.0,0.0,0.0
Josh Bellamy,CHI,1.1,1.7,23.6,0.2,0.0,0.0,0.0,0.0,0.0
Josh Doctson,WAS,0.4,2.88,37.59,0.3,0.0,0.0,0.0,0.0,0.0
Josh Gordon,NE,1.2,4.0,60.0,0.4,0.0,0.0,0.0,0.0,0.0
Josh Malone,CIN,0.45,0.47,5.4148100521906315,0.04,0.0,0.0,0.0,0.0,0.0
Josh Reynolds,LAR,1.4,2.9,37.0,0.3,0.0,0.0,0.0,0.01,0.0
JuJu Smith-Schuster,PIT,0.12,6.5,86.1,1.0,0.0,0.0,0.0,0.0,0.0
Julian Edelman,NE,9.59,6.5,80.0,1.0,0.0,0.0,0.0,0.04,0.0
Justin Hardee,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Hunter,PIT,0.03,0.82,11.55,0.1,0.0,0.0,0.0,0.0,0.0
Justin Watson,TB,0.13,0.21,4.72,0.01,0.0,0.0,0.0,0.0,0.0
Keelan Cole,JAX,0.07,4.7,62.8,0.32,0.0,0.0,0.0,0.0,0.0
Kelvin Benjamin,KC,0.05,3.2,47.0,0.3,0.0,0.0,0.0,0.0,0.0
Kendrick Bourne,SF,0.04,2.0,24.18,0.2,0.0,0.0,0.0,0.0,0.0
Kenny Golladay,DET,1.1,6.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0
Kevin White,CHI,1.0,2.2,29.7,0.3,0.0,0.0,0.0,0.0,0.0
KhaDarel Hodge,LAR,0.12,0.4,4.8,0.02,0.0,0.0,0.0,0.0,0.0
Laquon Treadwell,MIN,0.03,2.6,28.8,0.2,0.0,0.0,0.0,0.0,0.0
Larry Fitzgerald,ARI,0.1,4.99,54.59,0.3,0.0,0.0,0.0,0.0,0.0
Leonte Carroo,MIA,0.04,1.3,16.6,0.16425479162790022,0.0,0.0,0.0,0.0,0.0
Marcus Kemp,KC,0.06,0.32624083570035817,4.6,0.02,0.0,0.0,0.0,0.0,0.0
Marquez Valdes-Scantling,GB,0.4,3.0,40.0,0.1,0.0,0.0,0.0,0.0,0.0
Marquise Goodwin,SF,4.9,4.1,60.0,0.4,0.0,0.0,0.0,0.04,0.0
Martavis Bryant,OAK,2.2,3.9,54.0,0.3,0.0,0.0,0.0,0.02,0.0
Marvin Jones,DET,0.16,4.0,60.99,0.6,0.0,0.0,0.0,0.0,0.0
Maurice Harris,WAS,1.7,2.4,29.9,0.2,0.0,0.0,0.0,0.0,0.0
Michael Crabtree,BAL,0.09,5.7,66.9,0.4,0.0,0.0,0.0,0.0,0.0
Michael Floyd,WAS,0.03,1.6,20.0,0.1,0.0,0.0,0.0,0.0,0.0
