Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Blk,Return Yds,PA,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,YdA,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,POS
San Francisco 49ers,SF,1.0,8.0,0.0,0.0,2.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,242.0,0.0,1.0,0.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,4.0,3.0,1.0,1.0,2.0,0.0,48.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,264.0,0.0,1.0,0.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,1.0,1.0,0.0,2.0,0.0,0.0,13.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,190.0,1.0,0.0,0.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,290.0,0.0,1.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,2.0,1.0,0.0,0.0,0.0,0.0,17.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,499.0,0.0,0.0,0.0,0.0,1.0,DST
Tampa Bay Buccaneers,TB,1.0,2.0,0.0,0.0,1.0,0.0,0.0,40.0,42.0,0.0,0.0,0.0,0.0,0.0,1.0,407.0,0.0,0.0,0.0,1.0,0.0,DST
Los Angeles Chargers,LAC,1.0,4.0,1.0,0.0,0.0,1.0,0.0,37.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,356.0,0.0,0.0,1.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,2.0,1.0,0.0,0.0,0.0,1.0,53.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,388.0,0.0,0.0,1.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,4.0,0.0,2.0,1.0,0.0,0.0,30.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,340.0,0.0,0.0,1.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,4.0,4.0,0.0,0.0,1.0,0.0,61.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,282.0,0.0,1.0,0.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,366.0,0.0,0.0,1.0,0.0,0.0,DST
New York Jets,NYJ,1.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,168.0,1.0,0.0,0.0,0.0,0.0,DST
Detroit Lions,DET,1.0,1.0,1.0,1.0,0.0,0.0,0.0,58.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,283.0,0.0,1.0,0.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,2.0,0.0,0.0,0.0,0.0,0.0,43.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,433.0,0.0,0.0,0.0,1.0,0.0,DST
Carolina Panthers,CAR,1.0,3.0,2.0,0.0,1.0,0.0,0.0,12.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,301.0,0.0,0.0,1.0,0.0,0.0,DST
New England Patriots,NE,1.0,1.0,0.0,1.0,2.0,0.0,0.0,64.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,367.0,0.0,0.0,1.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,405.0,0.0,0.0,0.0,1.0,0.0,DST
Los Angeles Rams,LAR,1.0,0.0,0.0,1.0,1.0,0.0,0.0,88.0,45.0,0.0,0.0,0.0,0.0,0.0,1.0,487.0,0.0,0.0,0.0,0.0,1.0,DST
Baltimore Ravens,BAL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,58.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,395.0,0.0,0.0,1.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,2.0,1.0,0.0,0.0,0.0,0.0,95.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,491.0,0.0,0.0,0.0,0.0,1.0,DST
New Orleans Saints,NO,1.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,483.0,0.0,0.0,0.0,0.0,1.0,DST
Seattle Seahawks,SEA,1.0,2.0,0.0,0.0,0.0,0.0,0.0,73.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,375.0,0.0,0.0,1.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,2.0,0.0,0.0,0.0,0.0,0.0,48.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,265.0,0.0,1.0,0.0,0.0,0.0,DST
Houston Texans,HOU,1.0,2.0,0.0,1.0,1.0,0.0,0.0,16.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,348.0,0.0,0.0,1.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,5.0,1.0,1.0,1.0,0.0,0.0,34.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,297.0,0.0,1.0,0.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,10.0,0.0,1.0,0.0,1.0,0.0,39.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,209.0,0.0,1.0,0.0,0.0,0.0,DST
