Player,Team,PA,YdA,TD,Sack,Int,Fum Rec,Saf,Blk
Arizona Cardinals,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atlanta Falcons,ATL,23.3,381.0,0.14321491,1.9038817882537842,0.6967825293540955,0.5178933143615723,0.0,0.0
Baltimore Ravens,BAL,19.971036911010742,377.3,0.14321491,2.2270259857177734,0.8503623008728027,0.5178933143615723,0.03,0.0
Buffalo Bills,BUF,24.444454193115234,376.0,0.14321491,2.6,0.74,0.5209376215934753,0.0,0.0
Carolina Panthers,CAR,24.4466495513916,420.0564880371094,0.14321491,2.3362934589385986,1.0636740922927856,0.6,0.0,0.08
Chicago Bears,CHI,11.6,269.0,0.22347185,2.9233155250549316,1.0636740922927856,0.5178933143615723,0.0,0.06
Cincinnati Bengals,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland Browns,CLE,30.2,420.0564880371094,0.14321491,1.8628535270690918,0.668899655342102,0.5209376215934753,0.0,0.0
Dallas Cowboys,DAL,18.32,289.0,0.22347185,2.9233155250549316,0.7804070711135864,0.5178933143615723,0.0,0.0
Denver Broncos,DEN,20.77,357.0,0.14321491,3.0334739685058594,1.0636740922927856,0.5178933143615723,0.0,0.1
Detroit Lions,DET,25.2,403.67327880859375,0.14321491,2.7,0.668899655342102,0.5178933143615723,0.0,0.08
Green Bay Packers,GB,27.07,413.0,0.14321491,2.0516483783721924,0.8822113275527954,0.5178933143615723,0.0,0.0
Houston Texans,HOU,24.697751998901367,366.2213134765625,0.14321491,2.8,0.8822113275527954,0.59,0.0,0.0
Indianapolis Colts,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacksonville Jaguars,JAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kansas City Chiefs,KC,21.386137008666992,364.9527282714844,0.22347185,3.0,1.0636740922927856,0.6,0.0,0.0
Los Angeles Chargers,LAC,21.16,349.92047119140625,0.14321491,2.8,0.8822113275527954,0.42661094665527344,0.0,0.0
Los Angeles Rams,LAR,29.8,404.23968505859375,0.14321491,1.8628535270690918,0.668899655342102,0.7124291658401489,0.0,0.0
Miami Dolphins,MIA,21.02,339.0,0.14321491,2.7,1.0636740922927856,0.5178933143615723,0.0,0.0
Minnesota Vikings,MIN,19.719511032104492,348.7599182128906,0.14321491,2.6,0.8,0.5178933143615723,0.0,0.0
New England Patriots,NE,22.02193260192871,407.0,0.14321491,2.7,0.8822113275527954,0.5178933143615723,0.0,0.1
New Orleans Saints,NO,31.6,420.0564880371094,0.14321491,2.4,0.668899655342102,0.5178933143615723,0.0,0.0
New York Giants,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New York Jets,NYJ,20.37420654296875,320.3096618652344,0.14321491,2.1990480422973633,0.9618697166442871,0.5178933143615723,0.0,0.0
Oakland Raiders,OAK,25.31,348.7925720214844,0.14321491,2.8,0.8782451152801514,0.5178933143615723,0.0,0.0
Philadelphia Eagles,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pittsburgh Steelers,PIT,25.3,357.0,0.14321491,2.5,0.7475047707557678,0.7086974382400513,0.0,0.1
San Francisco 49ers,SF,19.54,361.0,0.14321491,2.1990480422973633,0.8,0.5178933143615723,0.0,0.0
Seattle Seahawks,SEA,20.198720932006836,379.7739562988281,0.14321491,2.038231134414673,0.7,0.5178933143615723,0.0,0.06
Tampa Bay Buccaneers,TB,32.4,404.23968505859375,0.14321491,1.9038817882537842,0.668899655342102,0.5178933143615723,0.0,0.1
Tennessee Titans,TEN,22.3,341.4,0.14321491,2.6,0.6967825293540955,0.5178933143615723,0.0,0.06
Washington Redskins,WAS,23.8,379.7739562988281,0.14321491,2.9,0.668899655342102,0.58,0.0,0.0
