Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS,POS
Patrick Mahomes KC,36.6,23.6,299.1,2.6,0.7,3.4,14.4,0.2,0.2,22.9,QB
Aaron Rodgers GB,40.6,25.7,305.5,2.3,0.5,3.6,19.1,0.1,0.3,22.5,QB
Tom Brady NE,38.7,25.6,294.0,2.5,0.5,1.8,4.7,0.1,0.2,21.6,QB
Jared Goff LAR,37.0,24.5,311.4,2.2,0.7,2.3,7.0,0.1,0.2,20.5,QB
Kirk Cousins MIN,38.2,25.4,299.2,2.2,0.7,2.7,9.3,0.1,0.2,20.3,QB
Drew Brees NO,36.9,26.2,293.6,2.0,0.5,1.4,2.5,0.1,0.2,19.4,QB
Ryan Fitzpatrick TB,37.9,24.1,309.1,1.9,1.2,4.0,14.0,0.1,0.2,19.1,QB
Deshaun Watson HOU,33.6,20.6,256.7,1.7,1.0,5.3,29.5,0.1,0.3,18.3,QB
Mitch Trubisky CHI,34.0,21.6,244.6,1.6,1.0,5.6,30.9,0.2,0.2,18.0,QB
Matt Ryan ATL,37.5,24.8,291.1,1.7,0.8,2.0,7.3,0.1,0.2,17.8,QB
Russell Wilson SEA,29.9,19.0,235.2,2.0,0.7,3.2,16.6,0.1,0.2,17.5,QB
Philip Rivers LAC,35.1,23.2,275.6,1.9,0.9,1.2,2.1,0.0,0.1,16.8,QB
Baker Mayfield CLE,39.4,23.2,269.4,1.7,1.0,2.6,12.4,0.1,0.2,16.7,QB
Matthew Stafford DET,37.6,24.3,277.1,1.7,0.9,2.1,6.7,0.0,0.2,16.6,QB
Dak Prescott DAL,30.4,19.0,215.2,1.3,0.5,5.8,29.7,0.2,0.2,16.6,QB
Ben Roethlisberger PIT,39.0,24.3,285.3,1.7,1.1,1.7,4.6,0.1,0.2,16.5,QB
Joe Flacco BAL,38.8,23.8,259.0,1.7,0.9,2.1,7.2,0.1,0.2,16.3,QB
Derek Carr OAK,36.9,24.0,271.4,1.7,0.9,1.6,5.2,0.1,0.2,16.3,QB
Case Keenum DEN,36.0,22.6,261.3,1.5,0.9,1.6,6.3,0.1,0.3,15.3,QB
Marcus Mariota TEN,31.8,20.2,218.5,1.0,0.9,5.2,26.5,0.1,0.2,13.9,QB
Brock Osweiler MIA,33.3,20.1,235.6,1.4,1.1,1.9,7.5,0.0,0.1,13.6,QB
Sam Darnold NYJ,32.6,19.5,233.3,1.3,1.2,2.8,8.9,0.1,0.2,13.4,QB
Nick Mullens SF,30.4,18.1,220.3,1.1,1.1,2.4,9.9,0.1,0.2,12.2,QB
