Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,Return Yds,Fum Lost,Fum,2PT,Fum Rec,Fum Yds,POS
Tom Brady,NE,1.0,35.0,22.0,13.0,294.0,1.0,0.0,2.0,0.0,1.0,1.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Drew Brees,NO,1.0,36.0,25.0,11.0,346.0,4.0,0.0,0.0,1.0,1.0,1.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Derek Carr,OAK,1.0,21.0,16.0,5.0,171.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,QB
Kirk Cousins,MIN,1.0,22.0,18.0,4.0,164.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,-8.0,QB
Chase Daniel,CHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Sam Darnold,NYJ,1.0,39.0,21.0,18.0,229.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Joshua Dobbs,PIT,1.0,1.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Ryan Fitzpatrick,TB,1.0,40.0,24.0,16.0,243.0,4.0,2.0,3.0,0.0,0.0,0.0,5.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,QB
Joe Flacco,BAL,1.0,37.0,23.0,14.0,206.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jared Goff,LA,1.0,40.0,28.0,12.0,391.0,3.0,1.0,0.0,1.0,1.0,0.0,3.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,QB
Taysom Hill,NO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,QB
Lamar Jackson,BAL,1.0,1.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.0,QB
Case Keenum,DEN,1.0,42.0,26.0,16.0,290.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Patrick Mahomes,KC,1.0,32.0,23.0,9.0,375.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Marcus Mariota,TEN,1.0,29.0,21.0,8.0,240.0,2.0,0.0,4.0,0.0,0.0,0.0,10.0,32.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,QB
Baker Mayfield,CLE,1.0,42.0,29.0,13.0,297.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
AJ McCarron,OAK,1.0,3.0,1.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,QB
Nick Mullens,SF,1.0,22.0,16.0,6.0,262.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,-3.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,QB
Cam Newton,CAR,1.0,25.0,19.0,6.0,247.0,2.0,0.0,2.0,0.0,0.0,0.0,11.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Brock Osweiler,MIA,1.0,24.0,15.0,9.0,139.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Nathan Peterman,OAK,1.0,49.0,31.0,18.0,188.0,0.0,3.0,4.0,0.0,0.0,0.0,8.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Dak Prescott,DAL,1.0,31.0,21.0,10.0,243.0,2.0,1.0,5.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,QB
Philip Rivers,LAC,1.0,26.0,13.0,13.0,228.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Aaron Rodgers,GB,1.0,43.0,24.0,19.0,259.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,QB
Ben Roethlisberger,PIT,1.0,47.0,28.0,19.0,270.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Matt Ryan,ATL,1.0,38.0,26.0,12.0,350.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Alex Smith,WAS,1.0,46.0,30.0,16.0,306.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Matthew Stafford,DET,1.0,36.0,25.0,11.0,199.0,0.0,0.0,10.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,QB
Tyrod Taylor,CLE,1.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Mitchell Trubisky,CHI,1.0,20.0,12.0,8.0,135.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,QB
Deshaun Watson,HOU,1.0,24.0,17.0,7.0,213.0,2.0,0.0,4.0,0.0,0.0,0.0,6.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Russell Wilson,SEA,1.0,39.0,26.0,13.0,235.0,2.0,1.0,4.0,0.0,0.0,0.0,5.0,41.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,QB
