Player,Team,Salary
Kareem Hunt,KAN,8500
Alvin Kamara,NOR,8000
Christian McCaffrey,CAR,7900
Tevin Coleman,ATL,6600
James Conner,PIT,8000
James White,NWE,7800
Duke Johnson,CLE,5200
Dion Lewis,TEN,5800
Melvin Gordon,LAC,8600
Todd Gurley,LAR,11200
Jordan Howard,CHI,6200
Nick Chubb,CLE,6600
Raheem Mostert,SFO,5600
Mike Davis,SEA,5100
Ezekiel Elliott,DAL,8400
Ito Smith,ATL,5600
Dalvin Cook,MIN,6300
Latavius Murray,MIN,6700
Alex Collins,BAL,6200
Derrick Henry,TEN,5500
Spencer Ware,KAN,4600
Kapri Bibbs,WAS,4600
Phillip Lindsay,DEN,6700
Malcolm Brown,LAR,5000
Elijah McGuire,NYJ,4900
Aaron Jones,GNB,5800
Devontae Booker,DEN,4900
Doug Martin,OAK,6000
Theo Riddick,DET,5200
Chris Ivory,BUF,5500
Jalen Richard,OAK,5700
Isaiah Crowell,NYJ,5700
Jamaal Williams,GNB,4900
Frank Gore,MIA,5400
Alex Armah,CAR,4500
Kerryon Johnson,DET,6400
Lamar Miller,HOU,6500
Kenyan Drake,MIA,6900
Matt Breida,SFO,5900
Peyton Barber,TAM,5800
LeSean McCoy,BUF,6200
Adrian Peterson,WAS,7500
Chris Carson,SEA,6500
Javorius Allen,BAL,5400
Alfred Blue,HOU,5100
Rashaad Penny,SEA,4800
Austin Ekeler,LAC,6300
Samaje Perine,WAS,4500
DeAndre Washington,OAK,4500
Kalen Ballage,MIA,4500
Mark Ingram,NOR,7400
Kyle Juszczyk,SFO,5000
Jacquizz Rodgers,TAM,4500
Trenton Cannon,NYJ,5000
Tarik Cohen,CHI,7200
LeGarrette Blount,DET,5300
Marcus Murphy,BUF,5400
Andy Janovich,DEN,4500
Rod Smith,DAL,5000
Alfred Morris,SFO,5400
Gus Edwards,BAL,4500
Taquan Mizzell,CHI,4500
Zach Line,NOR,4500
Shaun Wilson,TAM,4500
James Develin,NWE,4500
Kenjon Barner,NWE,5500
Jaylen Samuels,PIT,4500
C.J. Anderson,CAR,4700
Mike Boone,MIN,4500
Dwayne Washington,NOR,4500
Michael Burton,CHI,4500
Nick Bellore,DET,4500
C.J. Ham,MIN,4500
Damien Williams,KAN,4500
Tre Madden,SEA,4500
Ricky Ortiz,ATL,4500
Benny Cunningham,CHI,4500
Senorise Perry,MIA,4500
Anthony Sherman,KAN,4500
Brandon Bolden,MIA,4700
Derek Watt,LAC,4500
Keith Smith,OAK,4500
Roosevelt Nix,PIT,4500
Justin Jackson,LAC,4500
Tyler Ervin,HOU,4500
Justin Davis,LAR,4500
Dontrell Hilliard,CLE,4500
Patrick DiMarco,BUF,4500
David Fluellen,TEN,4500
Jamize Olawale,DAL,4500
