Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Return TD,Fum Lost,2PT,POS
Javorius Allen,BAL,1.0,13.42,0.11,2.18,21.19,0.09,0.0,0.02,0.0,RB
C.J. Anderson,LA,1.0,17.12,0.1,0.41,4.63,0.03,0.0,0.02,0.0,RB
Alex Armah,CAR,1.0,3.69,0.03,0.31,1.2,0.03,0.0,0.0,0.01,RB
Kalen Ballage,MIA,1.0,10.3,0.08,0.58,6.62,0.03,0.0,0.02,0.0,RB
Peyton Barber,TB,1.0,61.35,0.37,1.33,10.83,0.06,0.0,0.06,0.01,RB
Kenjon Barner,CAR,1.0,8.46,0.05,0.21,1.33,0.02,0.0,0.02,0.0,RB
Kapri Bibbs,GB,1.0,13.05,0.1,1.82,17.24,0.09,0.0,0.01,0.0,RB
LeGarrette Blount,DET,1.0,25.71,0.17,0.47,2.11,0.02,0.0,0.03,0.0,RB
Alfred Blue,HOU,1.0,27.08,0.16,1.04,9.47,0.05,0.04,0.03,0.0,RB
Brandon Bolden,MIA,1.0,6.84,0.05,0.62,8.99,0.03,0.0,0.0,0.0,RB
Devontae Booker,DEN,1.0,21.87,0.1,2.69,23.14,0.13,0.0,0.0,0.0,RB
Mike Boone,MIN,1.0,9.11,0.07,0.36,2.67,0.02,0.0,0.01,0.0,RB
Matt Breida,SF,1.0,56.23,0.46,1.34,10.58,0.08,0.0,0.07,0.01,RB
Malcolm Brown,LA,1.0,15.59,0.09,0.37,3.49,0.01,0.0,0.03,0.0,RB
Trenton Cannon,NYJ,1.0,11.77,0.07,1.46,12.08,0.09,0.0,0.02,0.0,RB
Chris Carson,SEA,1.0,70.51,0.44,1.72,16.26,0.08,0.0,0.12,0.01,RB
Tra Carson,GB,1.0,4.26,0.03,0.59,4.62,0.03,0.0,0.01,0.0,RB
Nick Chubb,CLE,1.0,72.24,0.65,1.72,12.79,0.06,0.0,0.06,0.01,RB
Tarik Cohen,CHI,1.0,30.14,0.12,4.36,42.89,0.3,0.03,0.03,0.01,RB
Tevin Coleman,ATL,1.0,57.28,0.36,2.1,17.46,0.11,0.0,0.0,0.01,RB
Alex Collins,BAL,1.0,51.88,0.39,1.71,15.92,0.08,0.0,0.21,0.0,RB
James Conner,PIT,1.0,84.54,0.6,3.53,33.96,0.13,0.0,0.11,0.01,RB
Dalvin Cook,MIN,1.0,20.38,0.14,1.16,9.31,0.07,0.0,0.07,0.0,RB
Isaiah Crowell,NYJ,1.0,58.94,0.43,1.61,13.37,0.05,0.0,0.11,0.03,RB
Benny Cunningham,CHI,1.0,2.23,0.01,0.43,3.2,0.02,0.0,0.0,0.0,RB
Mike Davis,SEA,1.0,27.12,0.17,1.46,14.03,0.02,0.0,0.04,0.0,RB
James Develin,NE,1.0,0.0,0.01,0.6,4.3,0.04,0.0,0.0,0.0,RB
Patrick DiMarco,BUF,1.0,0.0,0.0,0.26,1.96,0.02,0.0,0.0,0.0,RB
Kenyan Drake,MIA,1.0,44.96,0.34,2.59,25.05,0.11,0.0,0.14,0.04,RB
Austin Ekeler,LAC,1.0,27.62,0.19,2.59,24.36,0.11,0.0,0.06,0.0,RB
Ezekiel Elliott,DAL,1.0,81.82,0.5,3.22,30.73,0.17,0.0,0.08,0.0,RB
Tyler Ervin,BAL,1.0,2.44,0.02,0.62,4.44,0.03,0.0,0.0,0.0,RB
David Fluellen,TEN,1.0,2.48,0.02,0.36,2.91,0.01,0.0,0.0,0.0,RB
Melvin Gordon,LAC,1.0,76.42,0.49,4.38,39.98,0.21,0.0,0.06,0.03,RB
Frank Gore,MIA,1.0,50.07,0.24,1.16,10.24,0.05,0.0,0.02,0.0,RB
Todd Gurley,LA,1.0,90.64,0.79,4.21,45.16,0.29,0.0,0.06,0.06,RB
C.J. Ham,MIN,1.0,1.2,0.02,0.75,5.25,0.04,0.0,0.0,0.0,RB
Derrick Henry,TEN,1.0,46.75,0.25,1.3,12.48,0.06,0.0,0.0,0.01,RB
Dontrell Hilliard,CLE,1.0,5.77,0.05,0.56,4.81,0.03,0.0,0.01,0.0,RB
Jordan Howard,CHI,1.0,62.71,0.42,1.3,9.04,0.06,0.0,0.08,0.0,RB
Buddy Howell,HOU,1.0,4.43,0.02,0.45,4.17,0.03,0.0,0.0,0.0,RB
Kareem Hunt,,1.0,82.7,0.66,3.42,35.88,0.28,0.0,0.04,0.0,RB
Mark Ingram,NO,1.0,43.77,0.31,2.54,20.15,0.07,0.0,0.07,0.09,RB
Chris Ivory,BUF,1.0,27.78,0.11,1.44,13.4,0.07,0.0,0.11,0.0,RB
Justin Jackson,LAC,1.0,4.4,0.02,0.39,2.3,0.01,0.0,0.01,0.0,RB
Andy Janovich,DEN,1.0,1.79,0.01,0.25,1.6,0.01,0.0,0.0,0.01,RB
Duke Johnson,CLE,1.0,18.64,0.16,2.98,25.66,0.16,0.0,0.0,0.06,RB
Kerryon Johnson,DET,1.0,60.85,0.35,2.83,25.71,0.12,0.0,0.04,0.01,RB
Aaron Jones,GB,1.0,60.78,0.42,1.89,13.76,0.06,0.0,0.02,0.01,RB
Kyle Juszczyk,SF,1.0,1.66,0.03,2.87,31.27,0.14,0.0,0.0,0.0,RB
Alvin Kamara,NO,1.0,57.25,0.48,6.1,51.98,0.3,0.27,0.05,0.07,RB
Dion Lewis,TEN,1.0,35.19,0.18,3.87,28.5,0.05,0.0,0.02,0.0,RB
Phillip Lindsay,DEN,1.0,62.19,0.4,2.54,22.15,0.1,0.07,0.03,0.01,RB
Zach Line,NO,1.0,0.0,0.0,0.45,2.94,0.02,0.0,0.0,0.0,RB
Tre Madden,SEA,1.0,3.43,0.02,0.39,2.64,0.01,0.0,0.0,0.01,RB
Doug Martin,OAK,1.0,60.86,0.36,1.75,14.84,0.06,0.0,0.17,0.03,RB
Christian McCaffrey,CAR,1.0,60.18,0.39,5.03,42.49,0.27,0.0,0.12,0.0,RB
LeSean McCoy,BUF,1.0,49.58,0.22,2.69,23.89,0.1,0.0,0.03,0.03,RB
Elijah McGuire,NYJ,1.0,17.17,0.09,1.72,17.39,0.1,0.0,0.01,0.04,RB
Lamar Miller,HOU,1.0,61.35,0.41,1.63,13.64,0.08,0.0,0.03,0.0,RB
Taquan Mizzell,CHI,1.0,5.55,0.03,0.43,2.77,0.01,0.0,0.01,0.0,RB
Alfred Morris,SF,1.0,32.43,0.23,0.78,6.6,0.04,0.0,0.03,0.0,RB
Raheem Mostert,SF,1.0,21.18,0.14,0.83,7.4,0.03,0.0,0.08,0.0,RB
Marcus Murphy,BUF,1.0,8.49,0.05,0.59,6.51,0.03,0.01,0.01,0.0,RB
Latavius Murray,MIN,1.0,69.09,0.48,2.13,16.28,0.06,0.0,0.04,0.0,RB
Roosevelt Nix,PIT,1.0,0.0,0.0,0.21,0.69,0.01,0.0,0.0,0.0,RB
Jamize Olawale,DAL,1.0,0.04,0.01,0.22,1.92,0.01,0.0,0.0,0.0,RB
Ricky Ortiz,ATL,1.0,0.08,0.01,0.57,2.59,0.02,0.0,0.0,0.0,RB
Rashaad Penny,SEA,1.0,12.03,0.07,0.29,2.76,0.01,0.0,0.01,0.0,RB
Samaje Perine,WAS,1.0,10.16,0.06,0.54,4.41,0.03,0.0,0.03,0.0,RB
Senorise Perry,MIA,1.0,6.45,0.04,0.51,6.21,0.03,0.0,0.01,0.0,RB
Adrian Peterson,WAS,1.0,85.27,0.57,2.01,19.6,0.11,0.0,0.2,0.0,RB
Jalen Richard,OAK,1.0,9.61,0.05,4.47,34.66,0.21,0.0,0.01,0.0,RB
Theo Riddick,DET,1.0,11.98,0.06,3.16,23.9,0.14,0.0,0.01,0.0,RB
Stevan Ridley,PIT,1.0,10.16,0.05,0.51,1.62,0.01,0.0,0.02,0.03,RB
