Player,Team,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,2PT
Alan Cross,TB,0.0,0.0,0.0,0,0,0,0,0,0.0
Anthony Firkser,TEN,0.0,2.2159628868103027,0.10249042510986328,0,0,0,0,0,0.0
Antonio Gates,LAC,1.8244160413742065,18.28499984741211,0.3,0,0,0,0,0,0.0
Antony Auclair,TB,0.25,2.9000000953674316,0.0,0,0,0,0,0,0.0
Austin Hooper,ATL,3.655045509338379,43.7,0.21943938732147217,0,0,0,0,0,0.0
Benjamin Watson,NO,2.139254570007324,34.453399658203125,0.21943938732147217,0,0,0,0,0,0.0
Blake Jarwin,DAL,1.4567369222640991,10.450966835021973,0.09207755327224731,0,0,0,0,0,0.0
Brian Parker,DEN,0.0,0.0,0.0,0,0,0,0,0,0.0
Cameron Brate,TB,1.4567369222640991,21.625093460083008,0.015043467283248901,0,0,0,0,0,0.0
Charles Clay,BUF,2.1844606399536133,16.92596435546875,0.039386749267578125,0,0,0,0,0,0.0
Chris Herndon,NYJ,2.1102304458618164,24.296480178833008,0.12050884962081909,0,0,0,0,0,0.0
Chris Manhertz,CAR,0.0,0.0,0.0,0,0,0,0,0,0.0
Dalton Schultz,DAL,0.20000000298023224,6.022012233734131,0.0873456597328186,0,0,0,0,0,0.0
Dan Arnold,NO,0.20000000298023224,2.3610949516296387,0.0,0,0,0,0,0,0.0
Daniel Brown,CHI,0.0,0.0,0.0,0,0,0,0,0,0.0
Darrell Daniels,ARI,0.0,0.0,0.0,0,0,0,0,0,0.0
Darren Fells,CLE,0.6000000238418579,9.774028778076172,0.05,0,0,0,0,0,0.0
David Morgan,MIN,0.20000000298023224,8.2,0.10990875959396362,0,0,0,0,0,0.0
David Njoku,CLE,3.655045509338379,40.05521011352539,0.24,0,0,0,0,0,0.0
Demetrius Harris,KC,1.14,10.0,0.09207755327224731,0,0,0,0,0,0.0
Deon Yelder,KC,0.0,0.0,0.0,0,0,0,0,0,0.0
Derek Carrier,OAK,0.41,4.097414970397949,0.0,0,0,0,0,0,0.0
Dion Sims,CHI,0.10000000149011612,1.3,0.0,0,0,0,0,0,0.0
Durham Smythe,MIA,0.04403416067361832,0.13901748126576852,0.0,0,0,0,0,0,0.0
Dwayne Allen,NE,0.0,17.474836349487305,0.13701388239860535,0,0,0,0,0,0.0
Ed Dickson,SEA,1.59,16.9,0.3,0,0,0,0,0,0.0
Eric Saubert,ATL,0.10000000149011612,0.4000000059604645,0.0,0,0,0,0,0,0.0
Eric Tomlinson,NYJ,0.30000001192092896,7.474025726318359,0.0,0,0,0,0,0,0.0
Garrett Celek,SF,0.20000000298023224,3.7918264865875244,0.2,0,0,0,0,0,0.0
George Kittle,SF,4.4,65.75788879394531,0.4608926475048065,0,0,0,0,0,0.0
Gerald Everett,LAR,1.4567369222640991,22.01506996154785,0.13303285837173462,0,0,0,0,0,0.0
Greg Olsen,CAR,4.195207118988037,47.12678909301758,0.5276230573654175,0,0,0,0,0,0.0
Hayden Hurst,BAL,1.4567369222640991,13.62,0.13303285837173462,0,0,0,0,0,0.0
Ian Thomas,CAR,0.20000000298023224,4.097414970397949,0.10249042510986328,0,0,0,0,0,0.0
Jared Cook,OAK,4.2,47.8,0.5881810784339905,0,0,0,0,0,0.0
Jason Croom,BUF,1.4567369222640991,13.043800354003906,0.09,0,0,0,0,0,0.0
Jeff Heuerman,DEN,2.1844606399536133,22.042022705078125,0.2,0,0,0,0,0,0.0
Jeremy Sprinkle,WAS,0.10000000149011612,1.2796001434326172,0.0,0,0,0,0,0,0.0
Jesse James,PIT,1.8244160413742065,22.042022705078125,0.1682257056236267,0,0,0,0,0,0.0
Jimmy Graham,GB,3.9,49.7,0.3276529312133789,0,0,0,0,0,0.0
Jonnu Smith,TEN,1.4567369222640991,13.043800354003906,0.1,0,0,0,0,0,0.0
Jordan Akins,HOU,0.4000000059604645,12.1,0.031105458736419678,0,0,0,0,0,0.0
Jordan Leggett,NYJ,0.48,7.111854076385498,0.10249042510986328,0,0,0,0,0,0.0
Jordan Reed,WAS,3.9966421127319336,40.8,0.2702321410179138,0,0,0,0,0,0.0
Jordan Thomas,HOU,1.4567369222640991,14.481328964233398,0.2,0,0,0,0,0,0.0
Josh Hill,NO,1.4567369222640991,10.934009552001953,0.1,0,0,0,0,0,0.0
Kyle Rudolph,MIN,3.5,34.8,0.27492767572402954,0,0,0,0,0,0.0
Lance Kendricks,GB,0.5,6.579704284667969,0.0,0,0,0,0,0,0.0
Lee Smith,OAK,0.0,0.0,0.0,0,0,0,0,0,0.0
Levine Toilolo,DET,0.4000000059604645,3.9,0.03041708469390869,0,0,0,0,0,0.0
Logan Paulsen,ATL,0.10000000149011612,0.7,0.10990875959396362,0,0,0,0,0,0.0
Logan Thomas,BUF,0.20000000298023224,2.4000000953674316,0.0,0,0,0,0,0,0.0
Luke Stocker,TEN,1.3,9.774028778076172,0.07992732524871826,0,0,0,0,0,0.0
Luke Willson,DET,1.4567369222640991,10.934009552001953,0.1,0,0,0,0,0,0.0
Marcedes Lewis,GB,0.0,0.0,0.0,0,0,0,0,0,0.0
Mark Andrews,BAL,1.8244160413742065,21.625093460083008,0.32355852560222254,0,0,0,0,0,0.0
Matt LaCosse,DEN,1.4567369222640991,16.305896759033203,0.027236521244049072,0,0,0,0,0,0.0
Michael Roberts,DET,1.3,8.274981498718262,0.0874592661857605,0,0,0,0,0,0.0
Mike Gesicki,MIA,1.4567369222640991,17.813167572021484,0.13303285837173462,0,0,0,0,0,0.0
MyCole Pruitt,TEN,0.0,0.0,0.0,0,0,0,0,0,0.0
Nick Boyle,BAL,1.4567369222640991,10.393054008483887,0.2,0,0,0,0,0,0.0
Nick O'Leary,MIA,1.4567369222640991,10.060990333557129,0.2,0,0,0,0,0,0.0
Nick Vannett,SEA,1.8244160413742065,20.91950225830078,0.3,0,0,0,0,0,0.0
O.J. Howard,TB,3.448080062866211,41.5,0.6119332313537598,0,0,0,0,0,0.0
Orson Charles,CLE,0.0,0.0,0.0,0,0,0,0,0,0.0
Rico Gathers,DAL,1.4567369222640991,9.452252020234218,0.06,0,0,0,0,0,0.0
Ross Dwelley,SF,0.0,0.0,0.0,0,0,0,0,0,0.0
Ryan Griffin,HOU,1.8244160413742065,20.0,0.10344642400741577,0,0,0,0,0,0.0
