Player,POS,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
Adam Thielen,WR,MIN,0.8,0.0,9.2,113.2,0.8
DeAndre Hopkins,WR,HOU,0.5,0.0,6.7,96.6,0.7
Davante Adams,WR,GB,0.0,0.0,7.4,100.1,0.7
Michael Thomas,WR,NO,0.0,0.0,7.6,94.1,0.7
Tyreek Hill,WR,KC,6.3,0.0,5.5,83.3,0.7
Julio Jones,WR,ATL,0.8,0.0,6.8,97.8,0.5
Antonio Brown,WR,PIT,0.0,0.0,7.0,87.7,0.7
Mike Evans,WR,TB,0.0,0.0,6.2,86.1,0.6
Brandin Cooks,WR,LAR,2.2,0.0,5.5,84.3,0.6
Robert Woods,WR,LAR,4.2,0.0,5.6,77.9,0.6
Keenan Allen,WR,LAC,1.5,0.0,6.5,77.2,0.5
Jarvis Landry,WR,CLE,0.1,0.0,6.3,77.4,0.5
Kenny Golladay,WR,DET,0.1,0.0,5.2,74.2,0.5
John Brown,WR,BAL,0.9,0.0,4.3,66.2,0.5
Devin Funchess,WR,CAR,0.0,0.0,4.2,58.4,0.7
Julian Edelman,WR,NE,2.3,0.0,5.5,64.4,0.5
JuJu Smith-Schuster,WR,PIT,0.0,0.0,5.8,74.3,0.3
Tyler Lockett,WR,SEA,3.4,0.0,3.5,54.3,0.5
Sammy Watkins,WR,KC,2.9,0.0,4.2,54.8,0.5
Michael Crabtree,WR,BAL,0.0,0.0,4.8,58.0,0.5
Doug Baldwin,WR,SEA,0.0,0.0,4.7,55.4,0.5
Corey Davis,WR,TEN,0.0,0.0,4.5,56.4,0.4
Taylor Gabriel,WR,CHI,3.6,0.0,4.6,52.4,0.4
Marquez Valdes-Scantling,WR,GB,0.1,0.0,3.6,54.0,0.4
DeSean Jackson,WR,TB,2.4,0.0,3.6,62.4,0.2
Tre'Quan Smith,WR,NO,0.0,0.0,3.7,49.3,0.5
Courtland Sutton,WR,DEN,0.1,0.0,4.0,59.5,0.3
Tyrell Williams,WR,LAC,0.7,0.0,2.8,46.9,0.4
DeVante Parker,WR,MIA,0.0,0.0,3.7,49.2,0.4
D.J. Moore,WR,CAR,5.9,0.0,4.0,54.0,0.2
Calvin Ridley,WR,ATL,1.7,0.0,3.4,46.2,0.3
Marquise Goodwin,WR,SF,2.3,0.0,3.1,48.9,0.3
Amari Cooper,WR,DAL,0.7,0.0,4.1,51.3,0.3
Jordy Nelson,WR,OAK,0.0,0.0,3.8,48.2,0.3
Randall Cobb,WR,GB,0.6,0.0,4.6,51.2,0.2
Chris Godwin,WR,TB,0.0,0.0,3.8,47.8,0.3
Mohamed Sanu,WR,ATL,0.2,0.0,3.8,45.4,0.2
Robby Anderson,WR,NYJ,0.3,0.0,2.8,42.4,0.3
Laquon Treadwell,WR,MIN,0.0,0.0,4.0,44.3,0.2
Danny Amendola,WR,MIA,0.1,0.0,4.5,45.2,0.2
David Moore,WR,SEA,0.3,0.0,2.4,37.2,0.3
Anthony Miller,WR,CHI,0.3,0.0,3.1,38.7,0.3
Cole Beasley,WR,DAL,0.0,0.0,3.9,41.7,0.2
Aldrick Robinson,WR,MIN,0.0,0.0,2.6,36.4,0.3
Mike Williams,WR,LAC,0.4,0.0,2.6,38.7,0.2
Seth Roberts,WR,OAK,0.0,0.0,3.6,41.4,0.2
Willie Snead,WR,BAL,0.5,0.0,3.7,41.6,0.2
Josh Doctson,WR,WAS,0.0,0.0,3.0,40.0,0.2
Michael Gallup,WR,DAL,0.0,0.0,2.1,30.6,0.3
Chris Hogan,WR,NE,0.1,0.0,2.5,35.0,0.2
Tajae Sharpe,WR,TEN,0.9,0.0,2.7,37.0,0.2
Antonio Callaway,WR,CLE,1.4,0.0,2.8,33.1,0.2
Kelvin Benjamin,WR,KC,0.0,0.0,2.7,37.4,0.1
Adam Humphries,WR,TB,0.5,0.0,3.3,35.8,0.1
Curtis Samuel,WR,CAR,3.5,0.0,2.0,27.4,0.2
T.J. Jones,WR,DET,0.0,0.0,2.6,33.4,0.1
Jermaine Kearse,WR,NYJ,0.0,0.0,2.7,31.7,0.2
Taywan Taylor,WR,TEN,0.5,0.0,2.8,34.7,0.1
Jakeem Grant,WR,MIA,1.0,0.0,2.4,29.6,0.1
Zay Jones,WR,BUF,0.0,0.0,3.0,34.5,0.1
Maurice Harris,WR,WAS,1.1,0.0,2.7,28.6,0.2
Rashard Higgins,WR,CLE,0.0,0.0,2.1,30.2,0.1
Tim Patrick,WR,DEN,0.7,0.0,1.9,24.9,0.2
Cordarrelle Patterson,WR,NE,11.8,0.1,1.1,13.5,0.1
Chris Conley,WR,KC,0.0,0.0,2.2,24.9,0.1
Allen Hurns,WR,DAL,0.0,0.0,1.7,22.0,0.1
Vyncint Smith,WR,HOU,0.2,0.0,1.5,21.7,0.1
Jarius Wright,WR,CAR,1.4,0.0,1.6,18.4,0.1
Brandon Powell,WR,DET,0.2,0.0,1.8,21.8,0.1
Kendrick Bourne,WR,SF,0.0,0.0,1.6,19.6,0.1
Damion Ratley,WR,CLE,0.2,0.0,1.5,21.0,0.1
Rishard Matthews,WR,NYJ,0.0,0.0,1.8,20.9,0.1
Ryan Switzer,WR,PIT,2.8,0.0,1.5,17.2,0.1
Josh Bellamy,WR,CHI,0.2,0.0,1.4,17.5,0.1
Travis Benjamin,WR,LAC,3.7,0.0,1.2,17.1,0.1
Equanimeous St. Brown,WR,GB,0.0,0.0,1.2,17.6,0.1
Josh Reynolds,WR,LAR,0.6,0.0,0.9,12.3,0.1
Michael Floyd,WR,WAS,0.0,0.0,1.1,13.7,0.1
Deontay Burnett,WR,NYJ,0.2,0.0,0.9,12.1,0.1
Chris Moore,WR,BAL,1.2,0.0,0.8,9.2,0.1
Charone Peake,WR,NYJ,0.0,0.0,0.7,11.0,0.0
Andre Holmes,WR,DEN,0.0,0.0,1.0,11.9,0.0
Jaron Brown,WR,SEA,0.0,0.0,0.5,7.6,0.1
Austin Carr,WR,NO,0.0,0.0,0.7,9.4,0.1
Justin Hardy,WR,ATL,0.0,0.0,0.7,8.6,0.1
Demarcus Robinson,WR,KC,0.0,0.0,0.7,8.6,0.1
Andre Roberts,WR,NYJ,0.3,0.0,0.9,10.7,0.0
Phillip Dorsett,WR,NE,0.0,0.0,0.5,7.1,0.1
Deonte Thompson,WR,BUF,0.0,0.0,0.8,8.8,0.0
Brandon Zylstra,WR,MIN,0.0,0.0,0.6,7.9,0.0
Dwayne Harris,WR,OAK,1.2,0.0,0.4,5.3,0.0
Leonte Carroo,WR,MIA,0.0,0.0,0.5,5.6,0.0
Marvin Hall,WR,ATL,0.0,0.0,0.6,7.4,0.0
Darius Jennings,WR,TEN,0.0,0.0,0.4,5.3,0.0
Breshad Perriman,WR,CLE,0.0,0.0,0.5,6.7,0.0
Geremy Davis,WR,LAC,0.1,0.0,0.3,3.6,0.0
Matthew Slater,WR,NE,0.0,0.0,0.2,3.0,0.0
JoJo Natson,WR,LAR,0.3,0.0,0.2,3.2,0.0
Darrius Heyward-Bey,WR,PIT,0.4,0.0,0.2,3.3,0.0
Cameron Batson,WR,TEN,0.0,0.0,0.3,3.1,0.0
Justin Watson,WR,TB,0.0,0.0,0.3,2.8,0.0
Russell Gage,WR,ATL,0.1,0.0,0.2,2.9,0.0
Richie James,WR,SF,0.0,0.0,0.2,2.6,0.0
Jehu Chesson,WR,WAS,0.0,0.0,0.3,2.5,0.0
Marcus Kemp,WR,KC,0.0,0.0,0.2,1.5,0.0
Javon Wims,WR,CHI,0.1,0.0,0.2,2.0,0.0
Ray-Ray McCloud,WR,BUF,0.0,0.0,0.2,1.5,0.0
Justin Hardee,WR,NO,0.0,0.0,0.0,0.0,0.0
