NFL $3.75M Roman Fantasy Football Millionaire [$1M to 1st]	$10.00	$3,750,000	150	441,176	421,953	22%	245.90	$1,000,000	156.98	$15.00
NFL $3M MEGA Millionaire [$1M to 1st]	$3,000.00	$3,000,000	33	1,111	1,065	18%	209.80	$1,000,000	164.32	$5,000.00
NFL $1M Play-Action [20 Entry Max]	$3.00	$1,000,000	150	396,353	0	25%		$0		$0.00
NFL $1M Play-Action [20 Entry Max]	$3.00	$1,000,000	20	396,353	396,353	25%	251.90	$100,000	154.32	$5.00
NFL $800K Wildcat [$150K to 1st]	$333.00	$800,000	80	2,669	2,669	21%	212.56	$150,000	161.08	$500.00
NFL $750K Bootleg [$100K to 1st]	$33.00	$750,000	150	26,504	23,940	24%	232.26	$100,000	156.72	$50.00
NFL $500K Power Sweep [3 Entry Max, $100K to 1st]	$150.00	$500,000	3	3,703	3,703	23%	225.56	$100,000	161.74	$225.00
NFL $200K Spy [Single Entry, $30K to 1st]	$100.00	$200,000	1	2,222	2,222	20%	217.40	$30,000	163.26	$200.00
NFL $200K Hard Count [5 Entry Max]	$20.00	$200,000	5	11,764	11,764	20%	236.50	$25,000	162.78	$40.00
NFL $200K First Down	$1.00	$200,000	20	237,812	237,812	25%	252.00	$10,000	153.60	$2.00
NFL MASSIVE $25 Double Up [Single Entry]	$25.00	$150,000	1	6,896	6,896	44%	225.56	$50	155.70	$50.00
NFL $150K Fair Catch [Single Entry]	$12.00	$150,000	1	14,705	14,705	24%	225.56	$15,000	159.20	$18.00
NFL $150K Red Zone [Single Entry]	$50.00	$150,000	1	3,409	3,409	24%	225.56	$15,000	162.30	$75.00
NFL MASSIVE $25 Double Up	$25.00	$150,000	150	6,896	6,896	44%	213.00	$50	159.80	$50.00
NFL $150K Nickel [3 Entry Max]	$5.00	$150,000	3	35,671	35,671	25%	259.06	$20,000	156.76	$8.00
NFL $142K Luxury Box	$1,500.00	$142,000	3	100	100	24%	197.20	$25,000	168.36	$2,500.00
$10M Fantasy Football World Championship Double Qualifier #60-61	$500.00	$129,222	9	300	267	3%	194.20	$0	177.16	$500.00
NFL $100K Super Booster [Top 100 Win $1,000]	$27.00	$100,000	129	4,319	4,258	2%	229.40	$1,000	187.26	$1,000.00
NFL MASSIVE $100 Double Up [Single Entry]	$100.00	$100,000	1	1,111	1,111	45%	221.70	$200	158.10	$200.00
NFL MASSIVE $5 Double Up	$5.00	$100,000	150	22,988	22,988	44%	213.20	$10	160.50	$10.00
NFL $100K Flea Flicker [$10K to 1st]	$5.00	$100,000	150	23,781	23,781	27%	242.30	$10,000	157.16	$8.00
NFL $100K Pylon [Single Entry]	$3.00	$100,000	1	39,635	39,635	25%	239.36	$10,000	155.58	$5.00
NFL $100K Spy [Single Entry, $10K to 1st]	$100.00	$100,000	1	1,111	1,111	25%	217.40	$10,000	162.62	$150.00
NFL MASSIVE $5 Double Up	$5.00	$100,000	150	22,988	22,988	44%	221.90	$10	159.80	$10.00
NFL $100K Slant	$9.00	$100,000	150	13,071	13,071	24%	239.36	$10,000	158.82	$15.00
NFL MASSIVE $50 Double Up [Single Entry]	$50.00	$100,000	1	2,272	2,272	44%	221.70	$100	157.40	$100.00
NFL $100K Thunderdome [Single Entry]	$5,300.00	$100,000	1	20	20	25%	194.20	$40,000	165.10	$10,000.00
NFL $100K Juke [3 Entry Max]	$400.00	$100,000	3	277	277	21%	197.20	$20,000	163.90	$800.00
NFL GIANT $10 Double Up	$10.00	$75,000	150	8,620	8,620	44%	219.50	$20	161.10	$20.00
NFL $75K Play-Action [$10K to 1st]	$3.00	$75,000	20	29,726	29,726	24%	235.90	$10,000	155.56	$5.00
NFL $75K Engage Eight [3 Entry Max]	$8.00	$75,000	3	11,029	11,029	26%	225.56	$7,500	157.86	$12.00
NFL GIANT $10 Double Up [Single Entry]	$10.00	$75,000	1	8,620	8,620	44%	225.56	$20	155.50	$20.00
NFL GIANT $250 Double Up [Single Entry]	$250.00	$75,000	1	333	333	45%	209.76	$500	158.20	$500.00
$10M Fantasy Football World Championship Qualifier #55	$5.00	$70,096	150	16,669	16,094	7%	232.30	$0	175.46	$5.00
